Protoss_Pylon 1192; Protoss_Opening FastObs; Protoss_Assimilator 2404; Protoss_Gateway 1884; Protoss_Robotics_Support_Bay 19100; Protoss_Arbiter_Tribunal 18508; Protoss_Robotics_Facility 6594; Protoss_Fleet_Beacon 0; Protoss_Stargate 16668; Protoss_Citadel_of_Adun 10340; Protoss_Forge 17324; Protoss_Templar_Archives 13714; Protoss_Photon_Cannon 18612; Protoss_Cybernetics_Core 2938; 
Protoss_Pylon 1225; Protoss_Opening FastObs; Protoss_Assimilator 2285; Protoss_Gateway 1890; Protoss_Robotics_Support_Bay 14490; Protoss_Arbiter_Tribunal 29225; Protoss_Robotics_Facility 5645; Protoss_Fleet_Beacon 0; Protoss_Stargate 27525; Protoss_Citadel_of_Adun 10670; Protoss_Forge 16050; Protoss_Templar_Archives 15960; Protoss_Photon_Cannon 19015; Protoss_Cybernetics_Core 2965; 
Protoss_Pylon 1250; Protoss_Opening FastExpand; Protoss_Assimilator 2660; Protoss_Gateway 2035; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 25295; Protoss_Robotics_Facility 8840; Protoss_Fleet_Beacon 0; Protoss_Stargate 22045; Protoss_Citadel_of_Adun 8180; Protoss_Forge 10105; Protoss_Templar_Archives 9800; Protoss_Photon_Cannon 10990; Protoss_Cybernetics_Core 3300; 
Protoss_Pylon 1175; Protoss_Opening FastObs; Protoss_Assimilator 2395; Protoss_Gateway 1880; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4655; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 13790; Protoss_Forge 18270; Protoss_Templar_Archives 19360; Protoss_Photon_Cannon 20460; Protoss_Cybernetics_Core 2945; 
Protoss_Pylon 1270; Protoss_Opening ReaverDrop; Protoss_Assimilator 1965; Protoss_Gateway 2520; Protoss_Robotics_Support_Bay 5945; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4625; Protoss_Fleet_Beacon 24625; Protoss_Stargate 23435; Protoss_Citadel_of_Adun 15945; Protoss_Forge 17245; Protoss_Templar_Archives 17420; Protoss_Photon_Cannon 18000; Protoss_Cybernetics_Core 3610; 
Protoss_Pylon 1150; Protoss_Opening ReaverDrop; Protoss_Assimilator 2385; Protoss_Gateway 2045; Protoss_Robotics_Support_Bay 6870; Protoss_Arbiter_Tribunal 22500; Protoss_Robotics_Facility 4600; Protoss_Fleet_Beacon 0; Protoss_Stargate 20325; Protoss_Citadel_of_Adun 7255; Protoss_Forge 17690; Protoss_Templar_Archives 8300; Protoss_Photon_Cannon 18495; Protoss_Cybernetics_Core 3200; 
Protoss_Pylon 1132; Protoss_Opening ReaverDrop; Protoss_Assimilator 2464; Protoss_Gateway 1900; Protoss_Robotics_Support_Bay 6750; Protoss_Arbiter_Tribunal 16128; Protoss_Robotics_Facility 5168; Protoss_Fleet_Beacon 36608; Protoss_Stargate 14036; Protoss_Citadel_of_Adun 11534; Protoss_Forge 14866; Protoss_Templar_Archives 14256; Protoss_Photon_Cannon 16206; Protoss_Cybernetics_Core 3124; 
Protoss_Pylon 1175; Protoss_Opening FastObs; Protoss_Assimilator 2400; Protoss_Gateway 1865; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4665; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 11380; Protoss_Forge 21780; Protoss_Templar_Archives 16395; Protoss_Photon_Cannon 23045; Protoss_Cybernetics_Core 2945; 
Protoss_Pylon 1225; Protoss_Opening FastDT; Protoss_Assimilator 2410; Protoss_Gateway 1985; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 11810; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 10610; Protoss_Forge 17705; Protoss_Templar_Archives 11895; Protoss_Photon_Cannon 18485; Protoss_Cybernetics_Core 3570; 
Protoss_Pylon 1150; Protoss_Opening ReaverDrop; Protoss_Assimilator 2385; Protoss_Gateway 2045; Protoss_Robotics_Support_Bay 6870; Protoss_Arbiter_Tribunal 22500; Protoss_Robotics_Facility 4600; Protoss_Fleet_Beacon 0; Protoss_Stargate 20325; Protoss_Citadel_of_Adun 7255; Protoss_Forge 17690; Protoss_Templar_Archives 8300; Protoss_Photon_Cannon 18495; Protoss_Cybernetics_Core 3200; 
Protoss_Pylon 1195; Protoss_Opening FastObs; Protoss_Assimilator 2170; Protoss_Gateway 1890; Protoss_Robotics_Support_Bay 18975; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 3960; Protoss_Fleet_Beacon 23640; Protoss_Stargate 21950; Protoss_Citadel_of_Adun 11760; Protoss_Forge 13085; Protoss_Templar_Archives 14780; Protoss_Photon_Cannon 17445; Protoss_Cybernetics_Core 2890; 
Protoss_Pylon 1265; Protoss_Opening Carrier; Protoss_Assimilator 7005; Protoss_Gateway 2025; Protoss_Robotics_Support_Bay 38915; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 17345; Protoss_Fleet_Beacon 13100; Protoss_Stargate 11795; Protoss_Citadel_of_Adun 16590; Protoss_Forge 4765; Protoss_Templar_Archives 27275; Protoss_Photon_Cannon 5575; Protoss_Cybernetics_Core 9235; 
Protoss_Pylon 1250; Protoss_Opening FastLegs; Protoss_Assimilator 2365; Protoss_Gateway 2195; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5750; Protoss_Fleet_Beacon 27905; Protoss_Stargate 26655; Protoss_Citadel_of_Adun 5260; Protoss_Forge 8775; Protoss_Templar_Archives 19995; Protoss_Photon_Cannon 10560; Protoss_Cybernetics_Core 3285; 
Protoss_Pylon 1250; Protoss_Opening FastLegs; Protoss_Assimilator 2365; Protoss_Gateway 2195; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5750; Protoss_Fleet_Beacon 27905; Protoss_Stargate 26655; Protoss_Citadel_of_Adun 5260; Protoss_Forge 8775; Protoss_Templar_Archives 19995; Protoss_Photon_Cannon 10560; Protoss_Cybernetics_Core 3285; 
Protoss_Pylon 1280; Protoss_Opening ReaverDrop; Protoss_Assimilator 2575; Protoss_Gateway 1990; Protoss_Robotics_Support_Bay 10035; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 8310; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 11105; Protoss_Forge 18880; Protoss_Templar_Archives 14660; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 7215; 
Protoss_Pylon 1250; Protoss_Opening FastObs; Protoss_Assimilator 2302; Protoss_Gateway 1880; Protoss_Robotics_Support_Bay 6828; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4144; Protoss_Fleet_Beacon 23808; Protoss_Stargate 21920; Protoss_Citadel_of_Adun 11278; Protoss_Forge 12748; Protoss_Templar_Archives 28032; Protoss_Photon_Cannon 13848; Protoss_Cybernetics_Core 2964; 
Protoss_Pylon 1260; Protoss_Opening FastObs; Protoss_Assimilator 2470; Protoss_Gateway 2010; Protoss_Robotics_Support_Bay 15785; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5940; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 12080; Protoss_Forge 10665; Protoss_Templar_Archives 13480; Protoss_Photon_Cannon 12940; Protoss_Cybernetics_Core 3175; 
Protoss_Pylon 1150; Protoss_Opening FastDT; Protoss_Assimilator 2425; Protoss_Gateway 2040; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 9580; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 4405; Protoss_Forge 9825; Protoss_Templar_Archives 5435; Protoss_Photon_Cannon 10570; Protoss_Cybernetics_Core 3085; 
Protoss_Pylon 1280; Protoss_Opening FastObs; Protoss_Assimilator 2425; Protoss_Gateway 2035; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5630; Protoss_Fleet_Beacon 21860; Protoss_Stargate 20390; Protoss_Citadel_of_Adun 11365; Protoss_Forge 13800; Protoss_Templar_Archives 12950; Protoss_Photon_Cannon 14860; Protoss_Cybernetics_Core 3225; 
Protoss_Pylon 1155; Protoss_Opening FastObs; Protoss_Assimilator 2375; Protoss_Gateway 1800; Protoss_Robotics_Support_Bay 6045; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4305; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 11340; Protoss_Forge 21970; Protoss_Templar_Archives 19635; Protoss_Photon_Cannon 23555; Protoss_Cybernetics_Core 3145; 
Protoss_Pylon 1290; Protoss_Opening FastDT; Protoss_Assimilator 2570; Protoss_Gateway 2030; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 11590; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 5840; Protoss_Forge 15240; Protoss_Templar_Archives 6895; Protoss_Photon_Cannon 19015; Protoss_Cybernetics_Core 3210; 
Protoss_Pylon 1265; Protoss_Opening Carrier; Protoss_Assimilator 7005; Protoss_Gateway 2025; Protoss_Robotics_Support_Bay 38915; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 17345; Protoss_Fleet_Beacon 13100; Protoss_Stargate 11795; Protoss_Citadel_of_Adun 16590; Protoss_Forge 4765; Protoss_Templar_Archives 27275; Protoss_Photon_Cannon 5575; Protoss_Cybernetics_Core 9235; 
Protoss_Pylon 1148; Protoss_Opening Carrier; Protoss_Assimilator 2402; Protoss_Gateway 2066; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 24336; Protoss_Fleet_Beacon 0; Protoss_Stargate 5764; Protoss_Citadel_of_Adun 9254; Protoss_Forge 23614; Protoss_Templar_Archives 11204; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3218; 
