Protoss_Pylon2 142; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 100; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 795; Protoss_Expansion 402; Protoss_Arbiter_Tribunal 771; Protoss_Robotics_Facility 274; Protoss_Fleet_Beacon 0; Protoss_Stargate 694; Protoss_Citadel_of_Adun 430; Protoss_Gateway2 235; Protoss_Forge 721; Protoss_Templar_Archives 571; Protoss_Photon_Cannon 775; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 144; Protoss_Pylon 51; Protoss_Opening nony; Protoss_Assimilator 95; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 603; Protoss_Expansion 308; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 235; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 444; Protoss_Gateway2 345; Protoss_Forge 668; Protoss_Templar_Archives 665; Protoss_Photon_Cannon 792; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 159; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 110; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 327; Protoss_Arbiter_Tribunal 1053; Protoss_Robotics_Facility 368; Protoss_Fleet_Beacon 0; Protoss_Stargate 918; Protoss_Citadel_of_Adun 340; Protoss_Gateway2 95; Protoss_Forge 421; Protoss_Templar_Archives 408; Protoss_Photon_Cannon 457; Protoss_Cybernetics_Core 137; 
Protoss_Pylon2 143; Protoss_Pylon 48; Protoss_Opening speedzeal; Protoss_Assimilator 99; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 631; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 193; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 574; Protoss_Gateway2 299; Protoss_Forge 761; Protoss_Templar_Archives 806; Protoss_Photon_Cannon 852; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 137; Protoss_Pylon 52; Protoss_Opening reaver_drop; Protoss_Assimilator 81; Protoss_Gateway 105; Protoss_Robotics_Support_Bay 247; Protoss_Expansion 414; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 192; Protoss_Fleet_Beacon 1026; Protoss_Stargate 976; Protoss_Citadel_of_Adun 664; Protoss_Gateway2 371; Protoss_Forge 718; Protoss_Templar_Archives 725; Protoss_Photon_Cannon 750; Protoss_Cybernetics_Core 150; 
Protoss_Pylon2 141; Protoss_Pylon 47; Protoss_Opening reaver_drop; Protoss_Assimilator 99; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 286; Protoss_Expansion 650; Protoss_Arbiter_Tribunal 937; Protoss_Robotics_Facility 191; Protoss_Fleet_Beacon 0; Protoss_Stargate 846; Protoss_Citadel_of_Adun 302; Protoss_Gateway2 451; Protoss_Forge 737; Protoss_Templar_Archives 345; Protoss_Photon_Cannon 770; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 149; Protoss_Pylon 47; Protoss_Opening reaver_drop; Protoss_Assimilator 102; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 281; Protoss_Expansion 399; Protoss_Arbiter_Tribunal 672; Protoss_Robotics_Facility 215; Protoss_Fleet_Beacon 0; Protoss_Stargate 584; Protoss_Citadel_of_Adun 480; Protoss_Gateway2 290; Protoss_Forge 619; Protoss_Templar_Archives 594; Protoss_Photon_Cannon 675; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 142; Protoss_Pylon 48; Protoss_Opening ; Protoss_Assimilator 100; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 416; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 194; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 474; Protoss_Gateway2 243; Protoss_Forge 907; Protoss_Templar_Archives 683; Protoss_Photon_Cannon 960; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 166; Protoss_Pylon 51; Protoss_Opening templar; Protoss_Assimilator 100; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 522; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 492; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 442; Protoss_Gateway2 179; Protoss_Forge 737; Protoss_Templar_Archives 495; Protoss_Photon_Cannon 770; Protoss_Cybernetics_Core 148; 
Protoss_Pylon2 141; Protoss_Pylon 47; Protoss_Opening reaver_drop; Protoss_Assimilator 99; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 286; Protoss_Expansion 650; Protoss_Arbiter_Tribunal 937; Protoss_Robotics_Facility 191; Protoss_Fleet_Beacon 0; Protoss_Stargate 846; Protoss_Citadel_of_Adun 302; Protoss_Gateway2 451; Protoss_Forge 737; Protoss_Templar_Archives 345; Protoss_Photon_Cannon 770; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 139; Protoss_Pylon 49; Protoss_Opening templar; Protoss_Assimilator 90; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 790; Protoss_Expansion 380; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 165; Protoss_Fleet_Beacon 985; Protoss_Stargate 914; Protoss_Citadel_of_Adun 490; Protoss_Gateway2 290; Protoss_Forge 545; Protoss_Templar_Archives 615; Protoss_Photon_Cannon 726; Protoss_Cybernetics_Core 120; 
