Protoss_Pylon2 127; Protoss_Pylon 54; Protoss_Opening ReaverDrop; Protoss_Assimilator 245; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 525; Protoss_Expansion 636; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 460; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 102; Protoss_Forge 662; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 248; 
Protoss_Pylon2 130; Protoss_Pylon 53; Protoss_Opening Unknown; Protoss_Assimilator 214; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 103; Protoss_Forge 287; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 319; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 156; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 301; Protoss_Gateway 142; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 120; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 445; Protoss_Fleet_Beacon 977; Protoss_Stargate 860; Protoss_Citadel_of_Adun 407; Protoss_Gateway2 171; Protoss_Forge 265; Protoss_Templar_Archives 583; Protoss_Photon_Cannon 304; Protoss_Cybernetics_Core 334; 
Protoss_Pylon2 123; Protoss_Pylon 51; Protoss_Opening Carrier; Protoss_Assimilator 101; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 527; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 536; Protoss_Fleet_Beacon 0; Protoss_Stargate 294; Protoss_Citadel_of_Adun 337; Protoss_Gateway2 352; Protoss_Forge 569; Protoss_Templar_Archives 448; Protoss_Photon_Cannon 621; Protoss_Cybernetics_Core 189; 
Protoss_Pylon2 126; Protoss_Pylon 48; Protoss_Opening Carrier; Protoss_Assimilator 230; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 870; Protoss_Expansion 633; Protoss_Arbiter_Tribunal 1122; Protoss_Robotics_Facility 784; Protoss_Fleet_Beacon 0; Protoss_Stargate 334; Protoss_Citadel_of_Adun 361; Protoss_Gateway2 101; Protoss_Forge 387; Protoss_Templar_Archives 522; Protoss_Photon_Cannon 486; Protoss_Cybernetics_Core 281; 
Protoss_Pylon2 128; Protoss_Pylon 52; Protoss_Opening Carrier; Protoss_Assimilator 228; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 666; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 602; Protoss_Fleet_Beacon 0; Protoss_Stargate 324; Protoss_Citadel_of_Adun 358; Protoss_Gateway2 100; Protoss_Forge 340; Protoss_Templar_Archives 418; Protoss_Photon_Cannon 446; Protoss_Cybernetics_Core 278; 
Protoss_Pylon2 126; Protoss_Pylon 48; Protoss_Opening Carrier; Protoss_Assimilator 230; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 870; Protoss_Expansion 633; Protoss_Arbiter_Tribunal 1122; Protoss_Robotics_Facility 784; Protoss_Fleet_Beacon 0; Protoss_Stargate 334; Protoss_Citadel_of_Adun 361; Protoss_Gateway2 101; Protoss_Forge 387; Protoss_Templar_Archives 522; Protoss_Photon_Cannon 486; Protoss_Cybernetics_Core 281; 
Protoss_Pylon2 128; Protoss_Pylon 52; Protoss_Opening Carrier; Protoss_Assimilator 228; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 666; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 602; Protoss_Fleet_Beacon 0; Protoss_Stargate 324; Protoss_Citadel_of_Adun 358; Protoss_Gateway2 100; Protoss_Forge 340; Protoss_Templar_Archives 418; Protoss_Photon_Cannon 446; Protoss_Cybernetics_Core 278; 
Protoss_Pylon2 162; Protoss_Pylon 54; Protoss_Opening Unknown; Protoss_Assimilator 134; Protoss_Gateway 88; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 320; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 314; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 253; Protoss_Gateway2 347; Protoss_Forge 115; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 148; Protoss_Cybernetics_Core 188; 
Protoss_Pylon2 155; Protoss_Pylon 51; Protoss_Opening Carrier; Protoss_Assimilator 85; Protoss_Gateway 101; Protoss_Robotics_Support_Bay 287; Protoss_Expansion 473; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 217; Protoss_Fleet_Beacon 0; Protoss_Stargate 183; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 690; Protoss_Forge 239; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 269; Protoss_Cybernetics_Core 142; 
Protoss_Pylon2 136; Protoss_Pylon 47; Protoss_Opening FastLegs; Protoss_Assimilator 108; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 378; Protoss_Gateway2 204; Protoss_Forge 148; Protoss_Templar_Archives 447; Protoss_Photon_Cannon 226; Protoss_Cybernetics_Core 332; 
