Terran_Control_Tower 14946; Terran_Comsat_Station 15992; Terran_Barracks 2012; Terran_Expansion 9034; Terran_Refinery 2806; Terran_Barracks2 12262; Terran_Missile_Turret 10486; Terran_Supply_Depot 1398; Terran_Engineering_Bay 7218; Terran_Science_Facility 0; Terran_Machine_Shop 5492; Terran_Armory 0; Terran_Starport 13160; Terran_Opening TwoFactory; Terran_Academy 14170; Terran_Bunker 6212; Terran_Factory 4052; 
Terran_Control_Tower 10330; Terran_Comsat_Station 12720; Terran_Barracks 2210; Terran_Expansion 7075; Terran_Refinery 2805; Terran_Barracks2 9120; Terran_Missile_Turret 10595; Terran_Supply_Depot 1435; Terran_Engineering_Bay 8180; Terran_Science_Facility 30750; Terran_Machine_Shop 5360; Terran_Armory 20900; Terran_Starport 8530; Terran_Opening TwoFactory; Terran_Academy 11345; Terran_Bunker 0; Terran_Factory 4040; 
Terran_Control_Tower 23270; Terran_Comsat_Station 9810; Terran_Barracks 2245; Terran_Expansion 7245; Terran_Refinery 2550; Terran_Barracks2 4370; Terran_Missile_Turret 13945; Terran_Supply_Depot 1465; Terran_Engineering_Bay 12825; Terran_Science_Facility 0; Terran_Machine_Shop 5085; Terran_Armory 0; Terran_Starport 20075; Terran_Opening SiegeExpand; Terran_Academy 8340; Terran_Bunker 4755; Terran_Factory 3800; 
Terran_Control_Tower 6480; Terran_Comsat_Station 18530; Terran_Barracks 2215; Terran_Expansion 10895; Terran_Refinery 2565; Terran_Barracks2 3805; Terran_Missile_Turret 9340; Terran_Supply_Depot 1395; Terran_Engineering_Bay 7735; Terran_Science_Facility 0; Terran_Machine_Shop 5610; Terran_Armory 5425; Terran_Starport 5200; Terran_Opening Bio; Terran_Academy 15595; Terran_Bunker 0; Terran_Factory 3895; 
Terran_Control_Tower 7045; Terran_Comsat_Station 14320; Terran_Barracks 2925; Terran_Expansion 10370; Terran_Refinery 2170; Terran_Barracks2 10995; Terran_Missile_Turret 9190; Terran_Supply_Depot 1520; Terran_Engineering_Bay 8235; Terran_Science_Facility 27900; Terran_Machine_Shop 5730; Terran_Armory 5550; Terran_Starport 5915; Terran_Opening TwoFactory; Terran_Academy 12975; Terran_Bunker 0; Terran_Factory 4300; 
Terran_Control_Tower 29900; Terran_Comsat_Station 13670; Terran_Barracks 2215; Terran_Expansion 11930; Terran_Refinery 2635; Terran_Barracks2 0; Terran_Missile_Turret 10410; Terran_Supply_Depot 1485; Terran_Engineering_Bay 9305; Terran_Science_Facility 27805; Terran_Machine_Shop 5425; Terran_Armory 0; Terran_Starport 22225; Terran_Opening Standard; Terran_Academy 12315; Terran_Bunker 0; Terran_Factory 4150; 
Terran_Control_Tower 22098; Terran_Comsat_Station 12392; Terran_Barracks 2074; Terran_Expansion 7486; Terran_Refinery 2470; Terran_Barracks2 6814; Terran_Missile_Turret 9638; Terran_Supply_Depot 1638; Terran_Engineering_Bay 8562; Terran_Science_Facility 23590; Terran_Machine_Shop 5040; Terran_Armory 14926; Terran_Starport 20498; Terran_Opening TwoFactory; Terran_Academy 11142; Terran_Bunker 0; Terran_Factory 3780; 
Terran_Control_Tower 6650; Terran_Comsat_Station 15975; Terran_Barracks 2065; Terran_Expansion 11140; Terran_Refinery 2665; Terran_Barracks2 0; Terran_Missile_Turret 9450; Terran_Supply_Depot 1455; Terran_Engineering_Bay 7465; Terran_Science_Facility 0; Terran_Machine_Shop 5530; Terran_Armory 0; Terran_Starport 5500; Terran_Opening FastDropship; Terran_Academy 13485; Terran_Bunker 10090; Terran_Factory 4215; 
Terran_Control_Tower 18915; Terran_Comsat_Station 7565; Terran_Barracks 2150; Terran_Expansion 12455; Terran_Refinery 5165; Terran_Barracks2 2640; Terran_Missile_Turret 10620; Terran_Supply_Depot 1450; Terran_Engineering_Bay 7685; Terran_Science_Facility 0; Terran_Machine_Shop 9445; Terran_Armory 0; Terran_Starport 17695; Terran_Opening Bio; Terran_Academy 4980; Terran_Bunker 0; Terran_Factory 7800; 
Terran_Control_Tower 29900; Terran_Comsat_Station 13670; Terran_Barracks 2215; Terran_Expansion 11930; Terran_Refinery 2635; Terran_Barracks2 0; Terran_Missile_Turret 10410; Terran_Supply_Depot 1485; Terran_Engineering_Bay 9305; Terran_Science_Facility 27805; Terran_Machine_Shop 5425; Terran_Armory 0; Terran_Starport 22225; Terran_Opening Standard; Terran_Academy 12315; Terran_Bunker 0; Terran_Factory 4150; 
Terran_Control_Tower 6555; Terran_Comsat_Station 10315; Terran_Barracks 2685; Terran_Expansion 7910; Terran_Refinery 2140; Terran_Barracks2 3985; Terran_Missile_Turret 23795; Terran_Supply_Depot 1455; Terran_Engineering_Bay 13860; Terran_Science_Facility 27030; Terran_Machine_Shop 5365; Terran_Armory 5340; Terran_Starport 5390; Terran_Opening Bio; Terran_Academy 8920; Terran_Bunker 0; Terran_Factory 4015; 
Terran_Control_Tower 24915; Terran_Comsat_Station 25630; Terran_Barracks 2215; Terran_Expansion 20250; Terran_Refinery 2610; Terran_Barracks2 14415; Terran_Missile_Turret 12895; Terran_Supply_Depot 1465; Terran_Engineering_Bay 11845; Terran_Science_Facility 54795; Terran_Machine_Shop 9565; Terran_Armory 18730; Terran_Starport 23730; Terran_Opening VultureHarass; Terran_Academy 23675; Terran_Bunker 4390; Terran_Factory 4215; 
Terran_Control_Tower 6125; Terran_Comsat_Station 15425; Terran_Barracks 2195; Terran_Expansion 8565; Terran_Refinery 2470; Terran_Barracks2 8795; Terran_Missile_Turret 8630; Terran_Supply_Depot 1475; Terran_Engineering_Bay 6695; Terran_Science_Facility 25760; Terran_Machine_Shop 5020; Terran_Armory 34125; Terran_Starport 4995; Terran_Opening FastDropship; Terran_Academy 13725; Terran_Bunker 25410; Terran_Factory 3760; 
Terran_Control_Tower 6125; Terran_Comsat_Station 15425; Terran_Barracks 2195; Terran_Expansion 8565; Terran_Refinery 2470; Terran_Barracks2 8795; Terran_Missile_Turret 8630; Terran_Supply_Depot 1475; Terran_Engineering_Bay 6695; Terran_Science_Facility 25760; Terran_Machine_Shop 5020; Terran_Armory 34125; Terran_Starport 4995; Terran_Opening FastDropship; Terran_Academy 13725; Terran_Bunker 25410; Terran_Factory 3760; 
Terran_Control_Tower 0; Terran_Comsat_Station 9015; Terran_Barracks 2365; Terran_Expansion 4560; Terran_Refinery 7150; Terran_Barracks2 2810; Terran_Missile_Turret 18235; Terran_Supply_Depot 1525; Terran_Engineering_Bay 16565; Terran_Science_Facility 0; Terran_Machine_Shop 10180; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 7375; Terran_Bunker 13745; Terran_Factory 8795; 
Terran_Control_Tower 24038; Terran_Comsat_Station 20452; Terran_Barracks 2128; Terran_Expansion 6590; Terran_Refinery 2534; Terran_Barracks2 4568; Terran_Missile_Turret 8502; Terran_Supply_Depot 1402; Terran_Engineering_Bay 7540; Terran_Science_Facility 0; Terran_Machine_Shop 5052; Terran_Armory 23116; Terran_Starport 19506; Terran_Opening SiegeExpand; Terran_Academy 16824; Terran_Bunker 0; Terran_Factory 3772; 
Terran_Control_Tower 0; Terran_Comsat_Station 14495; Terran_Barracks 2150; Terran_Expansion 9115; Terran_Refinery 2505; Terran_Barracks2 7545; Terran_Missile_Turret 10240; Terran_Supply_Depot 1435; Terran_Engineering_Bay 9250; Terran_Science_Facility 0; Terran_Machine_Shop 5095; Terran_Armory 19265; Terran_Starport 0; Terran_Opening TwoFactory; Terran_Academy 13155; Terran_Bunker 0; Terran_Factory 3820; 
Terran_Control_Tower 12555; Terran_Comsat_Station 14625; Terran_Barracks 2015; Terran_Expansion 10815; Terran_Refinery 2545; Terran_Barracks2 0; Terran_Missile_Turret 7875; Terran_Supply_Depot 1475; Terran_Engineering_Bay 6770; Terran_Science_Facility 0; Terran_Machine_Shop 5430; Terran_Armory 16635; Terran_Starport 11320; Terran_Opening TwoFactory; Terran_Academy 12635; Terran_Bunker 7480; Terran_Factory 4060; 
Terran_Control_Tower 6585; Terran_Comsat_Station 19805; Terran_Barracks 2265; Terran_Expansion 10985; Terran_Refinery 2535; Terran_Barracks2 8505; Terran_Missile_Turret 14810; Terran_Supply_Depot 1605; Terran_Engineering_Bay 13785; Terran_Science_Facility 0; Terran_Machine_Shop 5045; Terran_Armory 17530; Terran_Starport 5235; Terran_Opening FastDropship; Terran_Academy 18365; Terran_Bunker 0; Terran_Factory 3735; 
Terran_Control_Tower 15370; Terran_Comsat_Station 29480; Terran_Barracks 2145; Terran_Expansion 5965; Terran_Refinery 2570; Terran_Barracks2 6275; Terran_Missile_Turret 7390; Terran_Supply_Depot 1495; Terran_Engineering_Bay 6280; Terran_Science_Facility 0; Terran_Machine_Shop 4995; Terran_Armory 0; Terran_Starport 13265; Terran_Opening SiegeExpand; Terran_Academy 22640; Terran_Bunker 0; Terran_Factory 3735; 
Terran_Control_Tower 6315; Terran_Comsat_Station 18145; Terran_Barracks 2160; Terran_Expansion 10015; Terran_Refinery 2430; Terran_Barracks2 8725; Terran_Missile_Turret 9330; Terran_Supply_Depot 1440; Terran_Engineering_Bay 8175; Terran_Science_Facility 0; Terran_Machine_Shop 4930; Terran_Armory 15965; Terran_Starport 5140; Terran_Opening FastDropship; Terran_Academy 15290; Terran_Bunker 0; Terran_Factory 3655; 
Terran_Control_Tower 24915; Terran_Comsat_Station 25630; Terran_Barracks 2215; Terran_Expansion 20250; Terran_Refinery 2610; Terran_Barracks2 14415; Terran_Missile_Turret 12895; Terran_Supply_Depot 1465; Terran_Engineering_Bay 11845; Terran_Science_Facility 54795; Terran_Machine_Shop 9565; Terran_Armory 18730; Terran_Starport 23730; Terran_Opening VultureHarass; Terran_Academy 23675; Terran_Bunker 4390; Terran_Factory 4215; 
Terran_Control_Tower 6184; Terran_Comsat_Station 16010; Terran_Barracks 2156; Terran_Expansion 14808; Terran_Refinery 2536; Terran_Barracks2 11636; Terran_Missile_Turret 7958; Terran_Supply_Depot 1504; Terran_Engineering_Bay 6832; Terran_Science_Facility 0; Terran_Machine_Shop 5000; Terran_Armory 8950; Terran_Starport 5028; Terran_Opening FastDropship; Terran_Academy 14114; Terran_Bunker 12862; Terran_Factory 3746; 
Terran_Control_Tower 6315; Terran_Comsat_Station 18145; Terran_Barracks 2160; Terran_Expansion 10015; Terran_Refinery 2430; Terran_Barracks2 8725; Terran_Missile_Turret 9330; Terran_Supply_Depot 1440; Terran_Engineering_Bay 8175; Terran_Science_Facility 0; Terran_Machine_Shop 4930; Terran_Armory 15965; Terran_Starport 5140; Terran_Opening FastDropship; Terran_Academy 15290; Terran_Bunker 0; Terran_Factory 3655; 
Terran_Control_Tower 9564; Terran_Comsat_Station 8562; Terran_Barracks 2476; Terran_Expansion 5638; Terran_Refinery 2392; Terran_Barracks2 0; Terran_Missile_Turret 9046; Terran_Supply_Depot 1440; Terran_Engineering_Bay 7828; Terran_Science_Facility 0; Terran_Machine_Shop 5166; Terran_Armory 11984; Terran_Starport 7910; Terran_Opening SiegeExpand; Terran_Academy 7004; Terran_Bunker 0; Terran_Factory 3878; 
Terran_Control_Tower 6580; Terran_Comsat_Station 0; Terran_Barracks 2090; Terran_Expansion 11000; Terran_Refinery 2675; Terran_Barracks2 0; Terran_Missile_Turret 7490; Terran_Supply_Depot 1330; Terran_Engineering_Bay 6200; Terran_Science_Facility 0; Terran_Machine_Shop 5325; Terran_Armory 0; Terran_Starport 5290; Terran_Opening FastDropship; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 4000; 
Terran_Control_Tower 8385; Terran_Comsat_Station 12630; Terran_Barracks 2150; Terran_Expansion 9440; Terran_Refinery 2570; Terran_Barracks2 4605; Terran_Missile_Turret 8510; Terran_Supply_Depot 1405; Terran_Engineering_Bay 7295; Terran_Science_Facility 19535; Terran_Machine_Shop 5745; Terran_Armory 15500; Terran_Starport 6020; Terran_Opening VultureHarass; Terran_Academy 11170; Terran_Bunker 18820; Terran_Factory 3940; 
Terran_Control_Tower 6275; Terran_Comsat_Station 15605; Terran_Barracks 2180; Terran_Expansion 8810; Terran_Refinery 2625; Terran_Barracks2 3510; Terran_Missile_Turret 7660; Terran_Supply_Depot 1490; Terran_Engineering_Bay 6680; Terran_Science_Facility 0; Terran_Machine_Shop 5100; Terran_Armory 0; Terran_Starport 5135; Terran_Opening Bio; Terran_Academy 12210; Terran_Bunker 0; Terran_Factory 3845; 
Terran_Control_Tower 6290; Terran_Comsat_Station 13500; Terran_Barracks 2160; Terran_Expansion 8600; Terran_Refinery 2570; Terran_Barracks2 9485; Terran_Missile_Turret 9350; Terran_Supply_Depot 1445; Terran_Engineering_Bay 7580; Terran_Science_Facility 0; Terran_Machine_Shop 5085; Terran_Armory 16470; Terran_Starport 5120; Terran_Opening FastDropship; Terran_Academy 12125; Terran_Bunker 8740; Terran_Factory 3765; 
Terran_Control_Tower 7910; Terran_Comsat_Station 18780; Terran_Barracks 2205; Terran_Expansion 12455; Terran_Refinery 3445; Terran_Barracks2 2785; Terran_Missile_Turret 10300; Terran_Supply_Depot 1460; Terran_Engineering_Bay 9015; Terran_Science_Facility 22435; Terran_Machine_Shop 6525; Terran_Armory 0; Terran_Starport 6515; Terran_Opening Bio; Terran_Academy 17025; Terran_Bunker 15870; Terran_Factory 5215; 
Terran_Control_Tower 6125; Terran_Comsat_Station 15425; Terran_Barracks 2195; Terran_Expansion 8565; Terran_Refinery 2470; Terran_Barracks2 8795; Terran_Missile_Turret 8630; Terran_Supply_Depot 1475; Terran_Engineering_Bay 6695; Terran_Science_Facility 25760; Terran_Machine_Shop 5020; Terran_Armory 34125; Terran_Starport 4995; Terran_Opening FastDropship; Terran_Academy 13725; Terran_Bunker 25410; Terran_Factory 3760; 
Terran_Control_Tower 6466; Terran_Comsat_Station 16902; Terran_Barracks 2184; Terran_Expansion 8606; Terran_Refinery 2418; Terran_Barracks2 3582; Terran_Missile_Turret 10864; Terran_Supply_Depot 1558; Terran_Engineering_Bay 9842; Terran_Science_Facility 0; Terran_Machine_Shop 4972; Terran_Armory 20552; Terran_Starport 5334; Terran_Opening Bio; Terran_Academy 14306; Terran_Bunker 10428; Terran_Factory 3712; 
