Terran_Control_Tower 6116; Terran_Comsat_Station 6888; Terran_Barracks 2100; Terran_Expansion 8158; Terran_Refinery 2466; Terran_Barracks2 15344; Terran_Missile_Turret 11082; Terran_Supply_Depot 1390; Terran_Engineering_Bay 9914; Terran_Science_Facility 0; Terran_Machine_Shop 7688; Terran_Armory 5158; Terran_Starport 4974; Terran_Opening TwoFactory; Terran_Academy 5610; Terran_Bunker 0; Terran_Factory 3706; 
Terran_Control_Tower 6832; Terran_Comsat_Station 13786; Terran_Barracks 2020; Terran_Expansion 9674; Terran_Refinery 2614; Terran_Barracks2 10296; Terran_Missile_Turret 0; Terran_Supply_Depot 1424; Terran_Engineering_Bay 13904; Terran_Science_Facility 0; Terran_Machine_Shop 5670; Terran_Armory 5338; Terran_Starport 5496; Terran_Opening TwoFactory; Terran_Academy 11824; Terran_Bunker 0; Terran_Factory 4102; 
Terran_Control_Tower 7840; Terran_Comsat_Station 15090; Terran_Barracks 2210; Terran_Expansion 7335; Terran_Refinery 2600; Terran_Barracks2 33690; Terran_Missile_Turret 24325; Terran_Supply_Depot 1435; Terran_Engineering_Bay 18420; Terran_Science_Facility 0; Terran_Machine_Shop 11045; Terran_Armory 5085; Terran_Starport 6575; Terran_Opening TwoFactory; Terran_Academy 13340; Terran_Bunker 0; Terran_Factory 3790; 
Terran_Control_Tower 7125; Terran_Comsat_Station 14325; Terran_Barracks 2145; Terran_Expansion 8335; Terran_Refinery 2585; Terran_Barracks2 11035; Terran_Missile_Turret 10705; Terran_Supply_Depot 1410; Terran_Engineering_Bay 9520; Terran_Science_Facility 0; Terran_Machine_Shop 8150; Terran_Armory 5360; Terran_Starport 5830; Terran_Opening TwoFactory; Terran_Academy 12745; Terran_Bunker 0; Terran_Factory 3990; 
Terran_Control_Tower 6610; Terran_Comsat_Station 8962; Terran_Barracks 2580; Terran_Expansion 16180; Terran_Refinery 1880; Terran_Barracks2 14264; Terran_Missile_Turret 0; Terran_Supply_Depot 1466; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 6000; Terran_Armory 5158; Terran_Starport 5416; Terran_Opening TwoFactory; Terran_Academy 7396; Terran_Bunker 0; Terran_Factory 3854; 
Terran_Control_Tower 6576; Terran_Comsat_Station 25054; Terran_Barracks 2610; Terran_Expansion 14310; Terran_Refinery 1922; Terran_Barracks2 4086; Terran_Missile_Turret 9334; Terran_Supply_Depot 1436; Terran_Engineering_Bay 7960; Terran_Science_Facility 0; Terran_Machine_Shop 5298; Terran_Armory 19642; Terran_Starport 5282; Terran_Opening TwoFactory; Terran_Academy 21842; Terran_Bunker 0; Terran_Factory 4038; 
Terran_Control_Tower 9304; Terran_Comsat_Station 0; Terran_Barracks 2576; Terran_Expansion 14662; Terran_Refinery 1830; Terran_Barracks2 6652; Terran_Missile_Turret 21844; Terran_Supply_Depot 1364; Terran_Engineering_Bay 19030; Terran_Science_Facility 0; Terran_Machine_Shop 6080; Terran_Armory 5382; Terran_Starport 7774; Terran_Opening VultureHarass; Terran_Academy 8784; Terran_Bunker 4834; Terran_Factory 4026; 
Terran_Control_Tower 6268; Terran_Comsat_Station 15114; Terran_Barracks 2080; Terran_Expansion 12852; Terran_Refinery 2360; Terran_Barracks2 3774; Terran_Missile_Turret 10722; Terran_Supply_Depot 1598; Terran_Engineering_Bay 8726; Terran_Science_Facility 0; Terran_Machine_Shop 5908; Terran_Armory 10228; Terran_Starport 4900; Terran_Opening VultureHarass; Terran_Academy 13260; Terran_Bunker 0; Terran_Factory 3602; 
Terran_Control_Tower 13555; Terran_Comsat_Station 14745; Terran_Barracks 2565; Terran_Expansion 6940; Terran_Refinery 2500; Terran_Barracks2 3940; Terran_Missile_Turret 9660; Terran_Supply_Depot 1745; Terran_Engineering_Bay 7690; Terran_Science_Facility 13615; Terran_Machine_Shop 5645; Terran_Armory 5180; Terran_Starport 12390; Terran_Opening VultureHarass; Terran_Academy 12535; Terran_Bunker 0; Terran_Factory 3920; 
Terran_Control_Tower 9395; Terran_Comsat_Station 9790; Terran_Barracks 2215; Terran_Expansion 6915; Terran_Refinery 2630; Terran_Barracks2 7020; Terran_Missile_Turret 10185; Terran_Supply_Depot 1445; Terran_Engineering_Bay 9035; Terran_Science_Facility 13695; Terran_Machine_Shop 5390; Terran_Armory 7115; Terran_Starport 8180; Terran_Opening SiegeExpand; Terran_Academy 8370; Terran_Bunker 4840; Terran_Factory 4115; 
Terran_Control_Tower 7080; Terran_Comsat_Station 0; Terran_Barracks 2175; Terran_Expansion 11800; Terran_Refinery 2660; Terran_Barracks2 12815; Terran_Missile_Turret 8440; Terran_Supply_Depot 1510; Terran_Engineering_Bay 7360; Terran_Science_Facility 23115; Terran_Machine_Shop 5665; Terran_Armory 5510; Terran_Starport 5585; Terran_Opening FastDropship; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 4235; 
