Terran_Control_Tower 254; Terran_Comsat_Station 287; Terran_Barracks 87; Terran_Expansion 339; Terran_Refinery 102; Terran_Barracks2 639; Terran_Missile_Turret 461; Terran_Supply_Depot 57; Terran_Engineering_Bay 413; Terran_Science_Facility -1; Terran_Machine_Shop 320; Terran_Armory 214; Terran_Starport 207; Terran_Opening unknown; Terran_Academy 233; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 284; Terran_Comsat_Station 574; Terran_Barracks 84; Terran_Expansion 403; Terran_Refinery 108; Terran_Barracks2 429; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay 579; Terran_Science_Facility -1; Terran_Machine_Shop 236; Terran_Armory 222; Terran_Starport 229; Terran_Opening unknown; Terran_Academy 492; Terran_Bunker -1; Terran_Factory 170; 
Terran_Control_Tower 326; Terran_Comsat_Station 628; Terran_Barracks 92; Terran_Expansion 305; Terran_Refinery 108; Terran_Barracks2 0; Terran_Missile_Turret 1013; Terran_Supply_Depot 59; Terran_Engineering_Bay 767; Terran_Science_Facility -1; Terran_Machine_Shop 460; Terran_Armory 211; Terran_Starport 273; Terran_Opening two_facto; Terran_Academy 555; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 296; Terran_Comsat_Station 596; Terran_Barracks 89; Terran_Expansion 347; Terran_Refinery 107; Terran_Barracks2 459; Terran_Missile_Turret 446; Terran_Supply_Depot 58; Terran_Engineering_Bay 396; Terran_Science_Facility -1; Terran_Machine_Shop 339; Terran_Armory 223; Terran_Starport 242; Terran_Opening two_facto; Terran_Academy 531; Terran_Bunker -1; Terran_Factory 166; 
Terran_Control_Tower 275; Terran_Comsat_Station 373; Terran_Barracks 107; Terran_Expansion 674; Terran_Refinery 78; Terran_Barracks2 594; Terran_Missile_Turret -1; Terran_Supply_Depot 61; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 250; Terran_Armory 214; Terran_Starport 225; Terran_Opening unknown; Terran_Academy 308; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower 274; Terran_Comsat_Station 1043; Terran_Barracks 108; Terran_Expansion 596; Terran_Refinery 80; Terran_Barracks2 170; Terran_Missile_Turret 388; Terran_Supply_Depot 59; Terran_Engineering_Bay 331; Terran_Science_Facility -1; Terran_Machine_Shop 220; Terran_Armory 818; Terran_Starport 220; Terran_Opening unknown; Terran_Academy 910; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 387; Terran_Comsat_Station -1; Terran_Barracks 107; Terran_Expansion 610; Terran_Refinery 76; Terran_Barracks2 277; Terran_Missile_Turret 910; Terran_Supply_Depot 56; Terran_Engineering_Bay 792; Terran_Science_Facility -1; Terran_Machine_Shop 253; Terran_Armory 224; Terran_Starport 323; Terran_Opening two_facto; Terran_Academy 366; Terran_Bunker 201; Terran_Factory 167; 
Terran_Control_Tower 261; Terran_Comsat_Station 629; Terran_Barracks 86; Terran_Expansion 535; Terran_Refinery 98; Terran_Barracks2 157; Terran_Missile_Turret 446; Terran_Supply_Depot 66; Terran_Engineering_Bay 363; Terran_Science_Facility -1; Terran_Machine_Shop 246; Terran_Armory 426; Terran_Starport 204; Terran_Opening air; Terran_Academy 552; Terran_Bunker -1; Terran_Factory 150; 
Terran_Control_Tower 564; Terran_Comsat_Station 614; Terran_Barracks 106; Terran_Expansion 289; Terran_Refinery 104; Terran_Barracks2 164; Terran_Missile_Turret 402; Terran_Supply_Depot 72; Terran_Engineering_Bay 320; Terran_Science_Facility 567; Terran_Machine_Shop 235; Terran_Armory 215; Terran_Starport 516; Terran_Opening ; Terran_Academy 522; Terran_Bunker -1; Terran_Factory 163; 
Terran_Control_Tower 391; Terran_Comsat_Station 407; Terran_Barracks 92; Terran_Expansion 288; Terran_Refinery 109; Terran_Barracks2 292; Terran_Missile_Turret 424; Terran_Supply_Depot 60; Terran_Engineering_Bay 376; Terran_Science_Facility 570; Terran_Machine_Shop 224; Terran_Armory 296; Terran_Starport 340; Terran_Opening ; Terran_Academy 348; Terran_Bunker 201; Terran_Factory 171; 
Terran_Control_Tower 295; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion 491; Terran_Refinery 110; Terran_Barracks2 533; Terran_Missile_Turret 351; Terran_Supply_Depot 62; Terran_Engineering_Bay 306; Terran_Science_Facility 963; Terran_Machine_Shop 236; Terran_Armory 229; Terran_Starport 232; Terran_Opening air; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 176; 
