Terran_Control_Tower 9845; Terran_Comsat_Station 5375; Terran_Barracks 2745; Terran_Expansion 13605; Terran_Refinery 2080; Terran_Barracks2 5530; Terran_Missile_Turret 8010; Terran_Supply_Depot 1470; Terran_Engineering_Bay 3280; Terran_Science_Facility 9265; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 7905; Terran_Opening Bio; Terran_Academy 4020; Terran_Bunker 36230; Terran_Factory 6420; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 1680; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 2325; Terran_Missile_Turret 0; Terran_Supply_Depot 2605; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 0; Terran_Bunker 4590; Terran_Factory 0; 
Terran_Control_Tower 13570; Terran_Comsat_Station 8100; Terran_Barracks 2220; Terran_Expansion 9310; Terran_Refinery 2830; Terran_Barracks2 4230; Terran_Missile_Turret 22610; Terran_Supply_Depot 1475; Terran_Engineering_Bay 6655; Terran_Science_Facility 12935; Terran_Machine_Shop 9235; Terran_Armory 0; Terran_Starport 11110; Terran_Opening Bio; Terran_Academy 3545; Terran_Bunker 21265; Terran_Factory 7805; 
Terran_Control_Tower 9706; Terran_Comsat_Station 6064; Terran_Barracks 1990; Terran_Expansion 17350; Terran_Refinery 4008; Terran_Barracks2 2652; Terran_Missile_Turret 9988; Terran_Supply_Depot 1386; Terran_Engineering_Bay 8790; Terran_Science_Facility 9802; Terran_Machine_Shop 12104; Terran_Armory 0; Terran_Starport 8398; Terran_Opening Bio; Terran_Academy 4634; Terran_Bunker 16244; Terran_Factory 7008; 
Terran_Control_Tower 0; Terran_Comsat_Station 8380; Terran_Barracks 2205; Terran_Expansion 0; Terran_Refinery 5465; Terran_Barracks2 2790; Terran_Missile_Turret 0; Terran_Supply_Depot 1270; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 9415; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 6835; Terran_Bunker 7830; Terran_Factory 8070; 
Terran_Control_Tower 8484; Terran_Comsat_Station 11178; Terran_Barracks 2252; Terran_Expansion 15298; Terran_Refinery 2766; Terran_Barracks2 6284; Terran_Missile_Turret 11346; Terran_Supply_Depot 1290; Terran_Engineering_Bay 10264; Terran_Science_Facility 21056; Terran_Machine_Shop 8522; Terran_Armory 0; Terran_Starport 5382; Terran_Opening FastDropship; Terran_Academy 9674; Terran_Bunker 15910; Terran_Factory 4120; 
Terran_Control_Tower 0; Terran_Comsat_Station 7335; Terran_Barracks 1765; Terran_Expansion 0; Terran_Refinery 5270; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 2445; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 5900; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 25865; Terran_Comsat_Station 7675; Terran_Barracks 1860; Terran_Expansion 15260; Terran_Refinery 4830; Terran_Barracks2 16570; Terran_Missile_Turret 13040; Terran_Supply_Depot 2420; Terran_Engineering_Bay 9885; Terran_Science_Facility 25835; Terran_Machine_Shop 8580; Terran_Armory 32850; Terran_Starport 22750; Terran_Opening Standard; Terran_Academy 5965; Terran_Bunker 12990; Terran_Factory 7200; 
Terran_Control_Tower 20120; Terran_Comsat_Station 7515; Terran_Barracks 1705; Terran_Expansion 14890; Terran_Refinery 5390; Terran_Barracks2 15225; Terran_Missile_Turret 13645; Terran_Supply_Depot 2425; Terran_Engineering_Bay 11910; Terran_Science_Facility 20140; Terran_Machine_Shop 8600; Terran_Armory 23370; Terran_Starport 16390; Terran_Opening SiegeExpand; Terran_Academy 6245; Terran_Bunker 13585; Terran_Factory 7185; 
Terran_Control_Tower 0; Terran_Comsat_Station 7290; Terran_Barracks 1885; Terran_Expansion 0; Terran_Refinery 5505; Terran_Barracks2 13450; Terran_Missile_Turret 12115; Terran_Supply_Depot 2435; Terran_Engineering_Bay 10785; Terran_Science_Facility 0; Terran_Machine_Shop 8500; Terran_Armory 0; Terran_Starport 0; Terran_Opening Standard; Terran_Academy 5980; Terran_Bunker 13245; Terran_Factory 7195; 
Terran_Control_Tower 11632; Terran_Comsat_Station 5576; Terran_Barracks 2284; Terran_Expansion 9716; Terran_Refinery 2808; Terran_Barracks2 4448; Terran_Missile_Turret 15980; Terran_Supply_Depot 1324; Terran_Engineering_Bay 14424; Terran_Science_Facility 11600; Terran_Machine_Shop 7408; Terran_Armory 21152; Terran_Starport 7528; Terran_Opening Bio; Terran_Academy 3896; Terran_Bunker 11896; Terran_Factory 6112; 
Terran_Control_Tower 11715; Terran_Comsat_Station 8045; Terran_Barracks 1990; Terran_Expansion 13820; Terran_Refinery 5995; Terran_Barracks2 2645; Terran_Missile_Turret 10595; Terran_Supply_Depot 1415; Terran_Engineering_Bay 9010; Terran_Science_Facility 11630; Terran_Machine_Shop 12330; Terran_Armory 0; Terran_Starport 9070; Terran_Opening Bio; Terran_Academy 6760; Terran_Bunker 4175; Terran_Factory 7730; 
Terran_Control_Tower 9010; Terran_Comsat_Station 7435; Terran_Barracks 2075; Terran_Expansion 11350; Terran_Refinery 3760; Terran_Barracks2 2800; Terran_Missile_Turret 10925; Terran_Supply_Depot 1285; Terran_Engineering_Bay 9770; Terran_Science_Facility 7900; Terran_Machine_Shop 8760; Terran_Armory 0; Terran_Starport 6715; Terran_Opening Bio; Terran_Academy 6185; Terran_Bunker 10075; Terran_Factory 5230; 
Terran_Control_Tower 6786; Terran_Comsat_Station 6352; Terran_Barracks 2200; Terran_Expansion 8940; Terran_Refinery 3114; Terran_Barracks2 4574; Terran_Missile_Turret 11568; Terran_Supply_Depot 1464; Terran_Engineering_Bay 8024; Terran_Science_Facility 8402; Terran_Machine_Shop 8892; Terran_Armory 0; Terran_Starport 5652; Terran_Opening FastDropship; Terran_Academy 4910; Terran_Bunker 11162; Terran_Factory 4400; 
Terran_Control_Tower 18398; Terran_Comsat_Station 5706; Terran_Barracks 2216; Terran_Expansion 7580; Terran_Refinery 3936; Terran_Barracks2 3164; Terran_Missile_Turret 12544; Terran_Supply_Depot 1466; Terran_Engineering_Bay 10662; Terran_Science_Facility 18494; Terran_Machine_Shop 10500; Terran_Armory 0; Terran_Starport 17182; Terran_Opening Bio; Terran_Academy 4320; Terran_Bunker 9660; Terran_Factory 9144; 
Terran_Control_Tower 7688; Terran_Comsat_Station 7738; Terran_Barracks 2000; Terran_Expansion 13002; Terran_Refinery 3952; Terran_Barracks2 2632; Terran_Missile_Turret 9384; Terran_Supply_Depot 1414; Terran_Engineering_Bay 8092; Terran_Science_Facility 11816; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 6598; Terran_Opening Bio; Terran_Academy 6268; Terran_Bunker 0; Terran_Factory 5272; 
Terran_Control_Tower 8562; Terran_Comsat_Station 8062; Terran_Barracks 2812; Terran_Expansion 12260; Terran_Refinery 1972; Terran_Barracks2 5522; Terran_Missile_Turret 12464; Terran_Supply_Depot 1490; Terran_Engineering_Bay 4052; Terran_Science_Facility 8544; Terran_Machine_Shop 8900; Terran_Armory 0; Terran_Starport 7434; Terran_Opening Bio; Terran_Academy 6752; Terran_Bunker 10260; Terran_Factory 6046; 
Terran_Control_Tower 12548; Terran_Comsat_Station 6700; Terran_Barracks 2064; Terran_Expansion 10218; Terran_Refinery 4400; Terran_Barracks2 2666; Terran_Missile_Turret 15998; Terran_Supply_Depot 1394; Terran_Engineering_Bay 8396; Terran_Science_Facility 12032; Terran_Machine_Shop 8382; Terran_Armory 16642; Terran_Starport 10808; Terran_Opening Bio; Terran_Academy 5352; Terran_Bunker 12968; Terran_Factory 7100; 
