Terran_Control_Tower 410; Terran_Comsat_Station 223; Terran_Barracks 114; Terran_Expansion 566; Terran_Refinery 86; Terran_Barracks2 230; Terran_Missile_Turret 333; Terran_Supply_Depot 61; Terran_Engineering_Bay 136; Terran_Science_Facility 386; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 329; Terran_Opening unknown; Terran_Academy 167; Terran_Bunker 0; Terran_Factory 267; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 70; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 96; Terran_Missile_Turret -1; Terran_Supply_Depot 108; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker 191; Terran_Factory -1; 
Terran_Control_Tower 565; Terran_Comsat_Station 337; Terran_Barracks 92; Terran_Expansion 387; Terran_Refinery 117; Terran_Barracks2 176; Terran_Missile_Turret 942; Terran_Supply_Depot 61; Terran_Engineering_Bay 277; Terran_Science_Facility 538; Terran_Machine_Shop 384; Terran_Armory -1; Terran_Starport 462; Terran_Opening bio; Terran_Academy 147; Terran_Bunker 886; Terran_Factory 325; 
Terran_Control_Tower 404; Terran_Comsat_Station 252; Terran_Barracks 82; Terran_Expansion 722; Terran_Refinery 167; Terran_Barracks2 110; Terran_Missile_Turret 416; Terran_Supply_Depot 57; Terran_Engineering_Bay 366; Terran_Science_Facility 408; Terran_Machine_Shop 504; Terran_Armory -1; Terran_Starport 349; Terran_Opening drop; Terran_Academy 193; Terran_Bunker 676; Terran_Factory 292; 
Terran_Control_Tower -1; Terran_Comsat_Station 349; Terran_Barracks 91; Terran_Expansion -1; Terran_Refinery 227; Terran_Barracks2 116; Terran_Missile_Turret -1; Terran_Supply_Depot 52; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 392; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 284; Terran_Bunker 326; Terran_Factory 336; 
Terran_Control_Tower 353; Terran_Comsat_Station 465; Terran_Barracks 93; Terran_Expansion 637; Terran_Refinery 115; Terran_Barracks2 261; Terran_Missile_Turret 472; Terran_Supply_Depot 53; Terran_Engineering_Bay 427; Terran_Science_Facility 877; Terran_Machine_Shop 355; Terran_Armory -1; Terran_Starport 224; Terran_Opening bio; Terran_Academy 403; Terran_Bunker 662; Terran_Factory 171; 
Terran_Control_Tower -1; Terran_Comsat_Station 305; Terran_Barracks 73; Terran_Expansion -1; Terran_Refinery 219; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 101; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 245; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 1077; Terran_Comsat_Station 319; Terran_Barracks 77; Terran_Expansion 635; Terran_Refinery 201; Terran_Barracks2 690; Terran_Missile_Turret 543; Terran_Supply_Depot 100; Terran_Engineering_Bay 411; Terran_Science_Facility 1076; Terran_Machine_Shop 357; Terran_Armory 0; Terran_Starport 947; Terran_Opening two_facto; Terran_Academy 248; Terran_Bunker 541; Terran_Factory 300; 
Terran_Control_Tower 838; Terran_Comsat_Station 313; Terran_Barracks 71; Terran_Expansion 620; Terran_Refinery 224; Terran_Barracks2 634; Terran_Missile_Turret 568; Terran_Supply_Depot 101; Terran_Engineering_Bay 496; Terran_Science_Facility 839; Terran_Machine_Shop 358; Terran_Armory 973; Terran_Starport 682; Terran_Opening bio; Terran_Academy 260; Terran_Bunker 566; Terran_Factory 299; 
Terran_Control_Tower -1; Terran_Comsat_Station 303; Terran_Barracks 78; Terran_Expansion -1; Terran_Refinery 229; Terran_Barracks2 560; Terran_Missile_Turret 504; Terran_Supply_Depot 101; Terran_Engineering_Bay 449; Terran_Science_Facility -1; Terran_Machine_Shop 354; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 249; Terran_Bunker 551; Terran_Factory 299; 
Terran_Control_Tower 484; Terran_Comsat_Station 232; Terran_Barracks 95; Terran_Expansion 404; Terran_Refinery 117; Terran_Barracks2 185; Terran_Missile_Turret 665; Terran_Supply_Depot 55; Terran_Engineering_Bay 601; Terran_Science_Facility 483; Terran_Machine_Shop 308; Terran_Armory 881; Terran_Starport 313; Terran_Opening bio; Terran_Academy 162; Terran_Bunker 495; Terran_Factory 254; 
Terran_Control_Tower 488; Terran_Comsat_Station 335; Terran_Barracks 82; Terran_Expansion 575; Terran_Refinery 249; Terran_Barracks2 110; Terran_Missile_Turret 441; Terran_Supply_Depot 58; Terran_Engineering_Bay 375; Terran_Science_Facility 484; Terran_Machine_Shop 513; Terran_Armory -1; Terran_Starport 377; Terran_Opening two_facto; Terran_Academy 281; Terran_Bunker 173; Terran_Factory 322; 
Terran_Control_Tower 375; Terran_Comsat_Station 309; Terran_Barracks 86; Terran_Expansion 472; Terran_Refinery 156; Terran_Barracks2 116; Terran_Missile_Turret 455; Terran_Supply_Depot 53; Terran_Engineering_Bay 407; Terran_Science_Facility 329; Terran_Machine_Shop 365; Terran_Armory -1; Terran_Starport 279; Terran_Opening two_facto; Terran_Academy 257; Terran_Bunker 419; Terran_Factory 217; 
Terran_Control_Tower 282; Terran_Comsat_Station 264; Terran_Barracks 91; Terran_Expansion 372; Terran_Refinery 129; Terran_Barracks2 190; Terran_Missile_Turret 482; Terran_Supply_Depot 61; Terran_Engineering_Bay 334; Terran_Science_Facility 350; Terran_Machine_Shop 370; Terran_Armory -1; Terran_Starport 235; Terran_Opening bio; Terran_Academy 204; Terran_Bunker 465; Terran_Factory 183; 
Terran_Control_Tower 766; Terran_Comsat_Station 237; Terran_Barracks 92; Terran_Expansion 315; Terran_Refinery 164; Terran_Barracks2 131; Terran_Missile_Turret 522; Terran_Supply_Depot 61; Terran_Engineering_Bay 444; Terran_Science_Facility 770; Terran_Machine_Shop 437; Terran_Armory -1; Terran_Starport 715; Terran_Opening bio; Terran_Academy 180; Terran_Bunker 402; Terran_Factory 381; 
Terran_Control_Tower 320; Terran_Comsat_Station 322; Terran_Barracks 83; Terran_Expansion 541; Terran_Refinery 164; Terran_Barracks2 109; Terran_Missile_Turret 391; Terran_Supply_Depot 58; Terran_Engineering_Bay 337; Terran_Science_Facility 492; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 274; Terran_Opening unknown; Terran_Academy 261; Terran_Bunker -1; Terran_Factory 219; 
Terran_Control_Tower 356; Terran_Comsat_Station 335; Terran_Barracks 117; Terran_Expansion 510; Terran_Refinery 82; Terran_Barracks2 230; Terran_Missile_Turret 519; Terran_Supply_Depot 62; Terran_Engineering_Bay 168; Terran_Science_Facility 356; Terran_Machine_Shop 370; Terran_Armory -1; Terran_Starport 309; Terran_Opening unknown; Terran_Academy 281; Terran_Bunker 427; Terran_Factory 251; 
Terran_Control_Tower 522; Terran_Comsat_Station 279; Terran_Barracks 86; Terran_Expansion 425; Terran_Refinery 183; Terran_Barracks2 111; Terran_Missile_Turret 666; Terran_Supply_Depot 58; Terran_Engineering_Bay 349; Terran_Science_Facility 501; Terran_Machine_Shop 349; Terran_Armory 693; Terran_Starport 450; Terran_Opening two_facto; Terran_Academy 223; Terran_Bunker 540; Terran_Factory 295; 
Terran_Control_Tower 482; Terran_Comsat_Station 266; Terran_Barracks 93; Terran_Expansion 481; Terran_Refinery 153; Terran_Barracks2 127; Terran_Missile_Turret 698; Terran_Supply_Depot 60; Terran_Engineering_Bay 239; Terran_Science_Facility 463; Terran_Machine_Shop 411; Terran_Armory 0; Terran_Starport 411; Terran_Opening ; Terran_Academy 199; Terran_Bunker 609; Terran_Factory 339; 
Terran_Control_Tower 318; Terran_Comsat_Station 390; Terran_Barracks 107; Terran_Expansion 562; Terran_Refinery 81; Terran_Barracks2 325; Terran_Missile_Turret 487; Terran_Supply_Depot 58; Terran_Engineering_Bay 376; Terran_Science_Facility 429; Terran_Machine_Shop 544; Terran_Armory -1; Terran_Starport 229; Terran_Opening bio; Terran_Academy 324; Terran_Bunker 389; Terran_Factory 173; 
Terran_Control_Tower 337; Terran_Comsat_Station 333; Terran_Barracks 85; Terran_Expansion 576; Terran_Refinery 108; Terran_Barracks2 318; Terran_Missile_Turret 357; Terran_Supply_Depot 58; Terran_Engineering_Bay 163; Terran_Science_Facility 329; Terran_Machine_Shop 476; Terran_Armory 0; Terran_Starport 249; Terran_Opening bio; Terran_Academy 275; Terran_Bunker 584; Terran_Factory 194; 
Terran_Control_Tower 270; Terran_Comsat_Station 443; Terran_Barracks 93; Terran_Expansion 581; Terran_Refinery 107; Terran_Barracks2 153; Terran_Missile_Turret 748; Terran_Supply_Depot 63; Terran_Engineering_Bay 658; Terran_Science_Facility 425; Terran_Machine_Shop 423; Terran_Armory -1; Terran_Starport 222; Terran_Opening bio; Terran_Academy 391; Terran_Bunker 1002; Terran_Factory 164; 
Terran_Control_Tower 282; Terran_Comsat_Station 264; Terran_Barracks 91; Terran_Expansion 372; Terran_Refinery 129; Terran_Barracks2 190; Terran_Missile_Turret 482; Terran_Supply_Depot 61; Terran_Engineering_Bay 334; Terran_Science_Facility 350; Terran_Machine_Shop 370; Terran_Armory -1; Terran_Starport 235; Terran_Opening bio; Terran_Academy 204; Terran_Bunker 465; Terran_Factory 183; 
Terran_Control_Tower 766; Terran_Comsat_Station 237; Terran_Barracks 92; Terran_Expansion 315; Terran_Refinery 164; Terran_Barracks2 131; Terran_Missile_Turret 522; Terran_Supply_Depot 61; Terran_Engineering_Bay 444; Terran_Science_Facility 770; Terran_Machine_Shop 437; Terran_Armory -1; Terran_Starport 715; Terran_Opening bio; Terran_Academy 180; Terran_Bunker 402; Terran_Factory 381; 
Terran_Control_Tower 320; Terran_Comsat_Station 322; Terran_Barracks 83; Terran_Expansion 541; Terran_Refinery 164; Terran_Barracks2 109; Terran_Missile_Turret 391; Terran_Supply_Depot 58; Terran_Engineering_Bay 337; Terran_Science_Facility 492; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 274; Terran_Opening unknown; Terran_Academy 261; Terran_Bunker -1; Terran_Factory 219; 
Terran_Control_Tower 356; Terran_Comsat_Station 335; Terran_Barracks 117; Terran_Expansion 510; Terran_Refinery 82; Terran_Barracks2 230; Terran_Missile_Turret 519; Terran_Supply_Depot 62; Terran_Engineering_Bay 168; Terran_Science_Facility 356; Terran_Machine_Shop 370; Terran_Armory -1; Terran_Starport 309; Terran_Opening unknown; Terran_Academy 281; Terran_Bunker 427; Terran_Factory 251; 
Terran_Control_Tower 522; Terran_Comsat_Station 279; Terran_Barracks 86; Terran_Expansion 425; Terran_Refinery 183; Terran_Barracks2 111; Terran_Missile_Turret 666; Terran_Supply_Depot 58; Terran_Engineering_Bay 349; Terran_Science_Facility 501; Terran_Machine_Shop 349; Terran_Armory 693; Terran_Starport 450; Terran_Opening two_facto; Terran_Academy 223; Terran_Bunker 540; Terran_Factory 295; 
Terran_Control_Tower 482; Terran_Comsat_Station 266; Terran_Barracks 93; Terran_Expansion 481; Terran_Refinery 153; Terran_Barracks2 127; Terran_Missile_Turret 698; Terran_Supply_Depot 60; Terran_Engineering_Bay 239; Terran_Science_Facility 463; Terran_Machine_Shop 411; Terran_Armory 0; Terran_Starport 411; Terran_Opening ; Terran_Academy 199; Terran_Bunker 609; Terran_Factory 339; 
