Zerg_Hive 25785; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3015; Zerg_Extractor 6330; Zerg_Creep_Colony 4335; Zerg_Evolution_Chamber 12630; Zerg_Queens_Nest 20945; Zerg_Sunken_Colony 5325; Zerg_Spore_Colony 0; Zerg_Expansion 2390; Zerg_Hydralisk_Den 7410; Zerg_Greater_Spire 0; Zerg_Expansion2 6025; Zerg_Lair 14330; Zerg_Ultralisk_Cavern 0; Zerg_Spire 15900; Zerg_Building_Overlord 1215; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 1600; Zerg_Extractor 2198; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 4658; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 11248; Zerg_Lair 6214; Zerg_Ultralisk_Cavern 0; Zerg_Spire 8432; Zerg_Building_Overlord 2028; Zerg_Defiler_Mound 0; 
Zerg_Hive 25865; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3035; Zerg_Extractor 4690; Zerg_Creep_Colony 10875; Zerg_Evolution_Chamber 22515; Zerg_Queens_Nest 24605; Zerg_Sunken_Colony 11980; Zerg_Spore_Colony 0; Zerg_Expansion 2565; Zerg_Hydralisk_Den 10210; Zerg_Greater_Spire 0; Zerg_Expansion2 4410; Zerg_Lair 8950; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1405; Zerg_Defiler_Mound 27755; 
Zerg_Hive 0; Zerg_Opening HydraRush; Zerg_Spawning_Pool 1650; Zerg_Extractor 2195; Zerg_Creep_Colony 10825; Zerg_Evolution_Chamber 18625; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 11540; Zerg_Spore_Colony 0; Zerg_Expansion 4695; Zerg_Hydralisk_Den 7410; Zerg_Greater_Spire 0; Zerg_Expansion2 23855; Zerg_Lair 8955; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 2045; Zerg_Defiler_Mound 0; 
Zerg_Hive 27120; Zerg_Opening HydraMass; Zerg_Spawning_Pool 2405; Zerg_Extractor 6485; Zerg_Creep_Colony 5435; Zerg_Evolution_Chamber 10055; Zerg_Queens_Nest 25865; Zerg_Sunken_Colony 5830; Zerg_Spore_Colony 13225; Zerg_Expansion 3415; Zerg_Hydralisk_Den 15445; Zerg_Greater_Spire 0; Zerg_Expansion2 6015; Zerg_Lair 18915; Zerg_Ultralisk_Cavern 29040; Zerg_Spire 20525; Zerg_Building_Overlord 1265; Zerg_Defiler_Mound 30625; 
Zerg_Hive 21380; Zerg_Opening HydraMass; Zerg_Spawning_Pool 2170; Zerg_Extractor 2425; Zerg_Creep_Colony 6345; Zerg_Evolution_Chamber 8020; Zerg_Queens_Nest 19955; Zerg_Sunken_Colony 9125; Zerg_Spore_Colony 0; Zerg_Expansion 4175; Zerg_Hydralisk_Den 10050; Zerg_Greater_Spire 23225; Zerg_Expansion2 6145; Zerg_Lair 9305; Zerg_Ultralisk_Cavern 0; Zerg_Spire 13830; Zerg_Building_Overlord 1365; Zerg_Defiler_Mound 0; 
Zerg_Hive 27120; Zerg_Opening HydraMass; Zerg_Spawning_Pool 2405; Zerg_Extractor 6485; Zerg_Creep_Colony 5435; Zerg_Evolution_Chamber 10055; Zerg_Queens_Nest 25865; Zerg_Sunken_Colony 5830; Zerg_Spore_Colony 13225; Zerg_Expansion 3415; Zerg_Hydralisk_Den 15445; Zerg_Greater_Spire 0; Zerg_Expansion2 6015; Zerg_Lair 18915; Zerg_Ultralisk_Cavern 29040; Zerg_Spire 20525; Zerg_Building_Overlord 1265; Zerg_Defiler_Mound 30625; 
Zerg_Hive 21380; Zerg_Opening HydraMass; Zerg_Spawning_Pool 2170; Zerg_Extractor 2425; Zerg_Creep_Colony 6345; Zerg_Evolution_Chamber 8020; Zerg_Queens_Nest 19955; Zerg_Sunken_Colony 9125; Zerg_Spore_Colony 0; Zerg_Expansion 4175; Zerg_Hydralisk_Den 10050; Zerg_Greater_Spire 23225; Zerg_Expansion2 6145; Zerg_Lair 9305; Zerg_Ultralisk_Cavern 0; Zerg_Spire 13830; Zerg_Building_Overlord 1365; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 1660; Zerg_Extractor 2060; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 5325; Zerg_Hydralisk_Den 9505; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 4190; Zerg_Ultralisk_Cavern 0; Zerg_Spire 5790; Zerg_Building_Overlord 2230; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Standard; Zerg_Spawning_Pool 3660; Zerg_Extractor 3024; Zerg_Creep_Colony 8042; Zerg_Evolution_Chamber 7230; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 24300; Zerg_Spore_Colony 8496; Zerg_Expansion 2672; Zerg_Hydralisk_Den 6138; Zerg_Greater_Spire 0; Zerg_Expansion2 5766; Zerg_Lair 5008; Zerg_Ultralisk_Cavern 0; Zerg_Spire 26638; Zerg_Building_Overlord 1428; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3012; Zerg_Extractor 5598; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 2354; Zerg_Hydralisk_Den 6688; Zerg_Greater_Spire 0; Zerg_Expansion2 4704; Zerg_Lair 0; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1430; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Standard; Zerg_Spawning_Pool 2990; Zerg_Extractor 3738; Zerg_Creep_Colony 20804; Zerg_Evolution_Chamber 11142; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 21690; Zerg_Spore_Colony 0; Zerg_Expansion 2536; Zerg_Hydralisk_Den 5586; Zerg_Greater_Spire 0; Zerg_Expansion2 8096; Zerg_Lair 5264; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1334; Zerg_Defiler_Mound 0; 
Zerg_Hive 16200; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2755; Zerg_Extractor 3260; Zerg_Creep_Colony 4525; Zerg_Evolution_Chamber 12505; Zerg_Queens_Nest 14295; Zerg_Sunken_Colony 4900; Zerg_Spore_Colony 17110; Zerg_Expansion 2155; Zerg_Hydralisk_Den 42620; Zerg_Greater_Spire 18605; Zerg_Expansion2 10455; Zerg_Lair 8435; Zerg_Ultralisk_Cavern 64030; Zerg_Spire 10000; Zerg_Building_Overlord 3560; Zerg_Defiler_Mound 88405; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 1646; Zerg_Extractor 2086; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 5696; Zerg_Hydralisk_Den 13334; Zerg_Greater_Spire 0; Zerg_Expansion2 7056; Zerg_Lair 0; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 2482; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 1646; Zerg_Extractor 2086; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 5696; Zerg_Hydralisk_Den 13334; Zerg_Greater_Spire 0; Zerg_Expansion2 7056; Zerg_Lair 0; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 2482; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraRush; Zerg_Spawning_Pool 3142; Zerg_Extractor 3596; Zerg_Creep_Colony 12412; Zerg_Evolution_Chamber 18172; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 12832; Zerg_Spore_Colony 0; Zerg_Expansion 2708; Zerg_Hydralisk_Den 7160; Zerg_Greater_Spire 0; Zerg_Expansion2 9928; Zerg_Lair 8108; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1400; Zerg_Defiler_Mound 0; 
Zerg_Hive 14855; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3060; Zerg_Extractor 1590; Zerg_Creep_Colony 5650; Zerg_Evolution_Chamber 10680; Zerg_Queens_Nest 12810; Zerg_Sunken_Colony 6540; Zerg_Spore_Colony 0; Zerg_Expansion 2595; Zerg_Hydralisk_Den 8480; Zerg_Greater_Spire 0; Zerg_Expansion2 4160; Zerg_Lair 7330; Zerg_Ultralisk_Cavern 0; Zerg_Spire 25190; Zerg_Building_Overlord 1410; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 2172; Zerg_Extractor 6744; Zerg_Creep_Colony 5366; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 5766; Zerg_Spore_Colony 0; Zerg_Expansion 3198; Zerg_Hydralisk_Den 8748; Zerg_Greater_Spire 0; Zerg_Expansion2 4434; Zerg_Lair 8100; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1352; Zerg_Defiler_Mound 0; 
