Zerg_Hive 19595; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2835; Zerg_Extractor 1585; Zerg_Creep_Colony 11605; Zerg_Evolution_Chamber 23465; Zerg_Queens_Nest 17605; Zerg_Sunken_Colony 12030; Zerg_Spore_Colony 0; Zerg_Expansion 4885; Zerg_Hydralisk_Den 25680; Zerg_Greater_Spire 21435; Zerg_Expansion2 9055; Zerg_Lair 4080; Zerg_Ultralisk_Cavern 21615; Zerg_Spire 5870; Zerg_Building_Overlord 1460; Zerg_Defiler_Mound 25650; 
Zerg_Hive 0; Zerg_Opening HydraRush; Zerg_Spawning_Pool 3150; Zerg_Extractor 3360; Zerg_Creep_Colony 7390; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 7815; Zerg_Spore_Colony 0; Zerg_Expansion 2535; Zerg_Hydralisk_Den 6260; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 4610; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1380; Zerg_Defiler_Mound 0; 
Zerg_Hive 15820; Zerg_Opening HydraMass; Zerg_Spawning_Pool 2985; Zerg_Extractor 3375; Zerg_Creep_Colony 7370; Zerg_Evolution_Chamber 20590; Zerg_Queens_Nest 12500; Zerg_Sunken_Colony 7785; Zerg_Spore_Colony 0; Zerg_Expansion 2575; Zerg_Hydralisk_Den 9000; Zerg_Greater_Spire 0; Zerg_Expansion2 4560; Zerg_Lair 5905; Zerg_Ultralisk_Cavern 0; Zerg_Spire 16005; Zerg_Building_Overlord 1415; Zerg_Defiler_Mound 20850; 
Zerg_Hive 19262; Zerg_Opening Standard; Zerg_Spawning_Pool 3116; Zerg_Extractor 2510; Zerg_Creep_Colony 4368; Zerg_Evolution_Chamber 18126; Zerg_Queens_Nest 18198; Zerg_Sunken_Colony 4884; Zerg_Spore_Colony 0; Zerg_Expansion 2456; Zerg_Hydralisk_Den 5588; Zerg_Greater_Spire 0; Zerg_Expansion2 9782; Zerg_Lair 4454; Zerg_Ultralisk_Cavern 30104; Zerg_Spire 6060; Zerg_Building_Overlord 1344; Zerg_Defiler_Mound 21472; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 2455; Zerg_Extractor 1520; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 8525; Zerg_Hydralisk_Den 4515; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 3725; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1200; Zerg_Defiler_Mound 0; 
Zerg_Hive 21118; Zerg_Opening Lurker; Zerg_Spawning_Pool 3298; Zerg_Extractor 3458; Zerg_Creep_Colony 5028; Zerg_Evolution_Chamber 7890; Zerg_Queens_Nest 12560; Zerg_Sunken_Colony 5448; Zerg_Spore_Colony 9310; Zerg_Expansion 3002; Zerg_Hydralisk_Den 5954; Zerg_Greater_Spire 0; Zerg_Expansion2 11182; Zerg_Lair 5150; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1418; Zerg_Defiler_Mound 24318; 
Zerg_Hive 0; Zerg_Opening HydraRush; Zerg_Spawning_Pool 1690; Zerg_Extractor 2010; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 0; Zerg_Hydralisk_Den 4355; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 3550; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 2325; Zerg_Defiler_Mound 0; 
Zerg_Hive 23955; Zerg_Opening Lurker; Zerg_Spawning_Pool 3075; Zerg_Extractor 3335; Zerg_Creep_Colony 29675; Zerg_Evolution_Chamber 16675; Zerg_Queens_Nest 22795; Zerg_Sunken_Colony 30435; Zerg_Spore_Colony 0; Zerg_Expansion 2650; Zerg_Hydralisk_Den 5885; Zerg_Greater_Spire 31255; Zerg_Expansion2 16345; Zerg_Lair 4730; Zerg_Ultralisk_Cavern 28775; Zerg_Spire 25630; Zerg_Building_Overlord 1525; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 3130; Zerg_Extractor 3355; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 19010; Zerg_Queens_Nest 28325; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 2650; Zerg_Hydralisk_Den 7965; Zerg_Greater_Spire 0; Zerg_Expansion2 15910; Zerg_Lair 4600; Zerg_Ultralisk_Cavern 0; Zerg_Spire 12505; Zerg_Building_Overlord 1425; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 2310; Zerg_Extractor 5250; Zerg_Creep_Colony 5160; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 5590; Zerg_Spore_Colony 0; Zerg_Expansion 3145; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 4230; Zerg_Lair 7190; Zerg_Ultralisk_Cavern 0; Zerg_Spire 8725; Zerg_Building_Overlord 1445; Zerg_Defiler_Mound 0; 
Zerg_Hive 24884; Zerg_Opening HydraRush; Zerg_Spawning_Pool 3376; Zerg_Extractor 1524; Zerg_Creep_Colony 4904; Zerg_Evolution_Chamber 11956; Zerg_Queens_Nest 23888; Zerg_Sunken_Colony 7036; Zerg_Spore_Colony 0; Zerg_Expansion 2712; Zerg_Hydralisk_Den 4768; Zerg_Greater_Spire 28608; Zerg_Expansion2 13432; Zerg_Lair 5260; Zerg_Ultralisk_Cavern 0; Zerg_Spire 6960; Zerg_Building_Overlord 1360; Zerg_Defiler_Mound 0; 
Zerg_Hive 25815; Zerg_Opening Lurker; Zerg_Spawning_Pool 3090; Zerg_Extractor 6240; Zerg_Creep_Colony 6015; Zerg_Evolution_Chamber 20465; Zerg_Queens_Nest 24480; Zerg_Sunken_Colony 6420; Zerg_Spore_Colony 0; Zerg_Expansion 2610; Zerg_Hydralisk_Den 8750; Zerg_Greater_Spire 0; Zerg_Expansion2 12640; Zerg_Lair 7730; Zerg_Ultralisk_Cavern 27980; Zerg_Spire 13715; Zerg_Building_Overlord 1355; Zerg_Defiler_Mound 0; 
Zerg_Hive 19580; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3245; Zerg_Extractor 5210; Zerg_Creep_Colony 5305; Zerg_Evolution_Chamber 13865; Zerg_Queens_Nest 18465; Zerg_Sunken_Colony 5695; Zerg_Spore_Colony 0; Zerg_Expansion 2685; Zerg_Hydralisk_Den 7270; Zerg_Greater_Spire 0; Zerg_Expansion2 4740; Zerg_Lair 6730; Zerg_Ultralisk_Cavern 21545; Zerg_Spire 9905; Zerg_Building_Overlord 1380; Zerg_Defiler_Mound 0; 
Zerg_Hive 18720; Zerg_Opening Standard; Zerg_Spawning_Pool 3146; Zerg_Extractor 3606; Zerg_Creep_Colony 5264; Zerg_Evolution_Chamber 11816; Zerg_Queens_Nest 17580; Zerg_Sunken_Colony 5730; Zerg_Spore_Colony 0; Zerg_Expansion 2198; Zerg_Hydralisk_Den 5916; Zerg_Greater_Spire 21866; Zerg_Expansion2 7780; Zerg_Lair 5132; Zerg_Ultralisk_Cavern 33346; Zerg_Spire 13984; Zerg_Building_Overlord 1404; Zerg_Defiler_Mound 20660; 
Zerg_Hive 23560; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3078; Zerg_Extractor 4368; Zerg_Creep_Colony 5526; Zerg_Evolution_Chamber 11734; Zerg_Queens_Nest 21684; Zerg_Sunken_Colony 6272; Zerg_Spore_Colony 0; Zerg_Expansion 2650; Zerg_Hydralisk_Den 6192; Zerg_Greater_Spire 33048; Zerg_Expansion2 4270; Zerg_Lair 15526; Zerg_Ultralisk_Cavern 0; Zerg_Spire 27298; Zerg_Building_Overlord 1348; Zerg_Defiler_Mound 27280; 
