Zerg_Hive 1052; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 109; Zerg_Extractor 99; Zerg_Creep_Colony 423; Zerg_Evolution_Chamber 404; Zerg_Queens_Nest 1003; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 444; Zerg_Expansion 148; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 434; Zerg_Lair 174; Zerg_Ultralisk_Cavern 0; Zerg_Spire 238; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 108; Zerg_Extractor 67; Zerg_Creep_Colony 468; Zerg_Evolution_Chamber 439; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 861; Zerg_Spore_Colony 487; Zerg_Expansion 160; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 423; Zerg_Lair 183; Zerg_Ultralisk_Cavern 0; Zerg_Spire 247; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 109; Zerg_Extractor 65; Zerg_Creep_Colony 320; Zerg_Evolution_Chamber 289; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 869; Zerg_Spore_Colony 336; Zerg_Expansion 195; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 754; Zerg_Lair 162; Zerg_Ultralisk_Cavern 0; Zerg_Spire 229; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 122; Zerg_Extractor 68; Zerg_Creep_Colony 292; Zerg_Evolution_Chamber 279; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 1014; Zerg_Spore_Colony 311; Zerg_Expansion 101; Zerg_Hydralisk_Den 513; Zerg_Greater_Spire 0; Zerg_Expansion2 439; Zerg_Lair 183; Zerg_Ultralisk_Cavern 0; Zerg_Spire 247; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 1052; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 109; Zerg_Extractor 99; Zerg_Creep_Colony 423; Zerg_Evolution_Chamber 404; Zerg_Queens_Nest 1003; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 444; Zerg_Expansion 148; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 434; Zerg_Lair 174; Zerg_Ultralisk_Cavern 0; Zerg_Spire 238; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 108; Zerg_Extractor 67; Zerg_Creep_Colony 468; Zerg_Evolution_Chamber 439; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 861; Zerg_Spore_Colony 487; Zerg_Expansion 160; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 423; Zerg_Lair 183; Zerg_Ultralisk_Cavern 0; Zerg_Spire 247; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 109; Zerg_Extractor 65; Zerg_Creep_Colony 320; Zerg_Evolution_Chamber 289; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 869; Zerg_Spore_Colony 336; Zerg_Expansion 195; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 754; Zerg_Lair 162; Zerg_Ultralisk_Cavern 0; Zerg_Spire 229; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 122; Zerg_Extractor 68; Zerg_Creep_Colony 292; Zerg_Evolution_Chamber 279; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 1014; Zerg_Spore_Colony 311; Zerg_Expansion 101; Zerg_Hydralisk_Den 513; Zerg_Greater_Spire 0; Zerg_Expansion2 439; Zerg_Lair 183; Zerg_Ultralisk_Cavern 0; Zerg_Spire 247; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 98; Zerg_Extractor 93; Zerg_Creep_Colony 328; Zerg_Evolution_Chamber 309; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 892; Zerg_Spore_Colony 402; Zerg_Expansion 149; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 581; Zerg_Lair 185; Zerg_Ultralisk_Cavern 0; Zerg_Spire 251; Zerg_Building_Overlord 62; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 121; Zerg_Extractor 97; Zerg_Creep_Colony 409; Zerg_Evolution_Chamber 369; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 474; Zerg_Expansion 163; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 170; Zerg_Lair 190; Zerg_Ultralisk_Cavern 0; Zerg_Spire 256; Zerg_Building_Overlord 63; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 98; Zerg_Extractor 93; Zerg_Creep_Colony 328; Zerg_Evolution_Chamber 309; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 892; Zerg_Spore_Colony 402; Zerg_Expansion 149; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 581; Zerg_Lair 185; Zerg_Ultralisk_Cavern 0; Zerg_Spire 251; Zerg_Building_Overlord 62; Zerg_Defiler_Mound 0; 
