@relation Starcraft_PvP_Protoss_openings

@attribute ProtossPylon numeric
@attribute ProtossSecondPylon numeric
@attribute ProtossFirstGas numeric
@attribute ProtossSecondGas numeric
@attribute ProtossFirstExpansion numeric
@attribute ProtossSecondExpansion numeric
@attribute ProtossThirdExpansion numeric
@attribute ProtossFourthExpansion numeric
@attribute ProtossGateway numeric
@attribute ProtossSecondGatway numeric
@attribute ProtossThirdGatway numeric
@attribute ProtossFourthGatway numeric
@attribute ProtossCore numeric
@attribute ProtossZealot numeric
@attribute ProtossGoon numeric
@attribute ProtossRange numeric
@attribute ProtossForge numeric
@attribute ProtossCannon numeric
@attribute ProtossGroundWeapons1 numeric
@attribute ProtossGroundArmor1 numeric
@attribute ProtossShields1 numeric
@attribute ProtossGroundWeapons2 numeric
@attribute ProtossGroundArmor2 numeric
@attribute ProtossShields2 numeric
@attribute ProtossCitadel numeric
@attribute ProtossLegs numeric
@attribute ProtossArchives numeric
@attribute ProtossTemplar numeric
@attribute ProtossArchon numeric
@attribute ProtossStorm numeric
@attribute ProtossDarkTemplar numeric
@attribute ProtossDarkArchon numeric
@attribute ProtossMaelstorm numeric
@attribute ProtossRoboBay numeric
@attribute ProtossShuttle numeric
@attribute ProtossShuttleSpeed numeric
@attribute ProtossRoboSupport numeric
@attribute ProtossReavor numeric
@attribute ProtossReavorDamage numeric
@attribute ProtossReavorCapacity numeric
@attribute ProtossObservory numeric
@attribute ProtossObs numeric
@attribute ProtossStargate numeric
@attribute ProtossCorsair numeric
@attribute ProtossDisruptionWeb numeric
@attribute ProtossFleetBeason numeric
@attribute ProtossCarrier numeric
@attribute ProtossCarrierCapacity numeric
@attribute ProtossTribunal numeric
@attribute ProtossArbitor numeric
@attribute ProtossStatis numeric
@attribute ProtossRecall numeric
@attribute ProtossAirWeapons1 numeric
@attribute ProtossAirArmor1 numeric
@attribute ProtossAirWeapons2 numeric
@attribute ProtossAirArmor2 numeric
@attribute midBuild {two_gates,fast_dt,templar,speedzeal,corsair,nony,reaver_drop}

@data
1260,3100,3330,25115,22740,-1,-1,-1,1955,2555,6570,10280,6185,2945,8065,7400,9305,15035,13225,-1,-1,-1,-1,-1,23120,25460,27370,28660,29475,-1,30150,-1,-1,15315,-1,-1,-1,-1,-1,-1,16710,17300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1190,3175,5235,17060,8205,8550,21160,26690,1875,2520,6225,15970,5730,2945,7540,6755,8260,9110,16865,28325,-1,22870,32490,-1,11705,13080,13180,17225,18015,20430,14380,-1,-1,18130,-1,-1,-1,-1,-1,-1,19965,22785,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1175,3425,2410,13215,9700,12840,18645,25095,2040,12235,14525,14675,3080,13450,4110,7035,10890,15330,11700,-1,-1,16075,-1,-1,10100,12260,11545,13105,17525,13055,13880,-1,-1,4465,7920,9885,5775,6415,-1,-1,7415,8385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23065,-1,-1,speedzeal
1225,3355,2480,9640,6560,15810,-1,-1,1915,3750,8260,8990,2950,-1,3945,5710,14970,18830,-1,-1,-1,-1,-1,-1,15990,-1,-1,-1,-1,-1,-1,-1,-1,6830,12845,14290,12880,23115,-1,-1,8195,9570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1195,3160,1785,16140,8740,14395,18895,-1,2385,6170,6810,10340,3425,11455,9075,8835,6465,15720,23815,-1,-1,28380,-1,-1,4670,10855,6360,13005,17395,12950,7385,-1,-1,5235,6530,26010,24825,-1,-1,-1,11350,14010,4425,5565,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,corsair
1185,3235,2335,24390,10140,28935,-1,-1,1840,7000,15370,16780,2840,13580,4390,5440,15265,16165,16255,-1,-1,-1,-1,-1,15690,16820,19775,22355,23460,26240,21100,-1,-1,4040,5340,-1,-1,-1,-1,-1,5615,6170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1200,3884,3762,14914,2928,21198,-1,-1,3444,4800,7298,10782,4456,15618,5440,6550,20904,21850,21762,26012,-1,26016,-1,-1,14976,16610,19952,21376,23952,21328,-1,-1,-1,22884,28218,-1,-1,-1,-1,-1,25998,26924,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1192,3286,2580,13678,11202,15718,-1,-1,1876,5316,6612,7790,2982,3478,3996,4610,20224,23090,21332,-1,-1,26686,-1,-1,22194,25318,25292,27060,-1,27038,26738,-1,-1,9226,16748,-1,16974,17518,-1,-1,12162,12704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
710,1920,1375,9840,7540,8730,9550,-1,1480,19295,-1,-1,7025,15735,19245,-1,1705,2475,19235,-1,9605,-1,-1,13860,15810,18250,18280,-1,-1,-1,-1,-1,-1,8310,9650,10675,9735,10650,13205,19195,-1,-1,19405,-1,-1,-1,-1,-1,-1,-1,-1,-1,13850,18180,-1,-1,reaver_drop
355,1265,775,12080,7195,19310,-1,-1,1020,1335,1845,3650,2160,2505,3285,-1,2190,2910,12330,-1,15070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13100,14560,15145,14550,15175,-1,15405,-1,-1,14810,-1,-1,16295,-1,-1,-1,-1,-1,-1,15725,-1,-1,-1,
1265,3515,2470,20560,11830,15515,-1,-1,2065,6825,7665,15330,3100,7875,4750,5275,23810,24775,24725,-1,-1,-1,-1,-1,5390,6425,16430,23845,26110,23705,17670,-1,-1,4290,5650,-1,-1,-1,-1,-1,5725,7120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1230,3835,2195,-1,17615,23850,-1,-1,1950,5600,7840,10460,2975,10135,7205,9785,21425,-1,-1,-1,-1,-1,-1,-1,4010,9810,5330,11935,17700,11665,6380,-1,-1,4625,5955,-1,-1,-1,-1,-1,6755,7365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1246,2998,9754,-1,-1,-1,-1,-1,1900,2394,4506,12090,11216,2968,13176,12458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1240,3102,2408,-1,-1,-1,-1,-1,1980,3988,5624,9996,9476,2968,16584,16098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1250,3405,2565,15965,12185,20385,-1,-1,1960,8290,11440,15245,3055,-1,4110,6305,-1,-1,-1,-1,-1,-1,-1,-1,20640,-1,-1,-1,-1,-1,-1,-1,-1,5435,6925,9555,7025,7595,-1,-1,8480,9130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1205,3670,2445,16400,13995,17355,-1,-1,2070,4810,7760,11330,3115,15050,4300,5760,8505,10470,9710,15150,23150,-1,18570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4955,-1,-1,-1,-1,-1,-1,6510,7140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1272,1422,4640,-1,16722,17860,-1,-1,2042,2566,6782,10700,6386,3066,8296,7942,18888,-1,19884,-1,-1,-1,-1,-1,14204,15306,15928,-1,-1,-1,17200,-1,-1,10518,13376,-1,-1,-1,-1,-1,11852,12582,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1178,3638,2524,-1,17342,-1,-1,-1,1946,4192,4596,13526,3166,4156,7090,8752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1178,3348,4950,15342,9728,-1,-1,-1,1932,2626,9892,10640,6502,3004,7974,7526,15378,-1,16254,16262,-1,-1,17390,-1,15300,-1,-1,-1,-1,-1,-1,-1,-1,11708,-1,-1,-1,-1,-1,-1,13754,15148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1244,3358,6360,-1,15604,16186,-1,-1,2038,2772,5678,10552,6622,3068,7734,9128,17386,-1,-1,-1,-1,-1,-1,-1,11808,-1,13640,-1,-1,-1,14690,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1195,3160,4195,-1,15345,-1,-1,-1,1920,2585,9140,-1,4960,2935,6375,6325,15605,16645,-1,-1,-1,-1,-1,-1,16205,-1,-1,-1,-1,-1,-1,-1,-1,8115,16270,-1,16245,17175,-1,-1,9440,11650,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1145,2530,3060,18320,13710,-1,-1,-1,1775,5240,9455,14905,4430,2780,7500,7385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5765,7470,-1,8375,9080,-1,-1,8885,9575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1198,2800,3116,16584,9588,14600,-1,-1,1880,4230,11486,11938,3732,2876,4718,-1,6714,7716,13438,-1,-1,-1,-1,-1,4886,11586,6206,9706,16696,10486,7188,-1,-1,14450,-1,-1,-1,-1,-1,-1,16434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1170,3390,2400,-1,8872,17880,-1,-1,1854,5732,11418,12226,3030,13012,4024,4170,17840,-1,-1,-1,-1,-1,-1,-1,12000,13060,14158,-1,-1,-1,15216,-1,-1,6830,-1,-1,-1,-1,-1,-1,8138,8722,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1216,3168,2512,11156,9460,18264,34972,-1,1972,5798,10224,10558,4128,2996,5418,5282,14230,15186,14968,21256,-1,20428,-1,-1,10846,12438,11952,13472,14270,18186,13020,20366,-1,6684,13164,38612,36892,37744,-1,-1,8026,8584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1164,3024,2364,15308,7304,13170,25148,38000,1820,5758,8738,9702,3742,2830,4896,5034,13896,14696,14762,18770,31114,37370,24514,35368,8528,9630,12250,13294,14242,32504,34898,-1,-1,6330,33908,-1,-1,-1,-1,-1,7616,8158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1230,3144,-1,-1,-1,-1,-1,-1,1968,2738,4586,-1,-1,2950,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1122,3358,2410,-1,-1,-1,-1,-1,1882,4224,-1,-1,2966,5004,3974,4982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1190,2995,2640,3550,15170,-1,-1,-1,2110,6525,16425,17950,5950,3160,7050,7765,11790,12670,16135,-1,-1,20435,-1,-1,8935,16170,9940,11115,-1,11175,11110,-1,-1,10235,11525,-1,-1,-1,-1,-1,13135,18560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1155,2800,6570,15895,5980,12730,24440,-1,1865,6290,10115,14580,7610,2855,8810,14225,6850,8000,8460,20385,-1,15370,-1,-1,8715,12020,10090,19085,-1,18665,11095,-1,-1,13900,20625,-1,-1,-1,-1,-1,15280,17750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1250,3200,3755,-1,8475,13265,-1,-1,1990,2625,-1,-1,5350,2990,6510,6490,9220,9960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1240,3165,2505,15640,10845,-1,-1,-1,1990,3535,12645,14760,4355,3050,5635,13415,8775,9800,15490,-1,-1,-1,-1,-1,5755,12010,6765,8855,12205,8215,7785,-1,-1,14500,-1,-1,-1,-1,-1,-1,15995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1275,3690,1850,15490,11185,13900,18610,18690,2330,5415,15005,16140,3355,-1,9535,-1,5245,6055,22740,-1,-1,-1,-1,-1,4380,-1,5585,15555,-1,16765,6615,7445,-1,8320,9650,-1,-1,-1,-1,-1,10850,17280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fast_dt
1260,3645,1790,11630,8825,13755,-1,-1,2340,13530,14520,16690,3420,-1,4445,5205,8260,9495,10495,15495,20395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4655,6095,7145,6085,7930,-1,-1,6190,6855,19375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1275,4035,6320,15150,2815,-1,-1,-1,3110,3585,-1,-1,12690,4110,-1,-1,7455,8175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13835,15270,16085,15220,15935,-1,-1,15355,15895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1195,3155,2495,14840,12130,15920,16945,20795,2130,6200,11230,17465,3845,3125,5055,14665,-1,-1,-1,-1,-1,-1,-1,-1,4905,-1,6040,-1,-1,-1,7110,18520,-1,5330,6645,13665,12730,14010,-1,-1,10355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1210,3610,2540,-1,13250,-1,-1,-1,1995,9240,10100,14480,3230,3830,4350,8635,15495,20065,-1,-1,-1,-1,-1,-1,15170,-1,16475,18690,19785,18740,20890,-1,-1,5895,7300,-1,7330,8230,-1,-1,8085,8790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,reaver_drop
1245,3690,2590,13530,10290,22275,22800,-1,2150,8870,12130,15155,3320,17165,4565,15115,18645,-1,-1,-1,-1,-1,-1,-1,15930,16950,17565,19105,20810,19080,-1,-1,-1,4405,5750,10710,6080,6630,-1,-1,6960,8770,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,reaver_drop
1215,3510,2275,24070,11320,15180,19785,27255,2720,13700,20365,20770,5305,3815,6550,13850,9390,11715,10210,-1,-1,32165,-1,-1,7060,14550,8200,9275,-1,9260,9740,-1,-1,6505,8950,-1,-1,-1,-1,-1,7815,8400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,templar
1195,3195,3545,12620,11405,14865,21840,26825,1830,2405,15230,16180,4355,2820,5555,8705,14690,16100,18355,21200,-1,28470,28495,-1,21230,26555,23620,25000,30975,25050,-1,-1,-1,5940,7605,-1,7580,8930,-1,-1,7305,9770,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1285,3790,1915,-1,9455,14810,17925,-1,2515,10785,17225,18840,3510,4985,7145,13385,7185,8015,19750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4785,6070,7915,7130,7945,-1,-1,14995,-1,4505,5650,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,corsair
1240,3665,1885,13385,9020,19220,-1,-1,2395,12070,12825,16300,3390,-1,4380,10940,9955,10700,20860,-1,-1,-1,-1,-1,20830,-1,22655,24080,-1,24290,-1,-1,-1,4710,6045,6665,6125,7250,-1,-1,6010,6570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,reaver_drop
1275,3675,2525,23930,9945,23745,-1,-1,2170,7545,24090,-1,3225,5090,4490,7555,11145,14260,13650,17705,24560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4410,5710,10100,5880,6455,-1,-1,7785,8335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,reaver_drop
1270,3580,2500,10400,7520,14155,20305,23360,1970,7970,8745,11595,3070,14550,4060,6085,14460,21185,15680,22345,-1,24530,-1,-1,11110,20205,12655,14325,26350,14945,-1,-1,-1,5130,26200,-1,-1,-1,-1,-1,6455,7005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1225,3125,5665,17005,14135,17070,23810,27925,1805,2365,10965,15355,6610,2795,7630,7725,7950,8865,11360,18300,-1,18310,22875,-1,10405,12030,13480,16780,21635,15555,14630,-1,-1,9775,16680,-1,-1,-1,-1,-1,11205,12450,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1280,3250,2530,15640,11440,18310,23055,24395,1985,3660,15580,16010,4975,3130,11155,11795,9975,13240,10745,17645,26805,16630,21730,-1,6095,7975,7510,13810,18600,17920,8580,-1,-1,6875,11555,-1,27705,-1,-1,-1,8230,10170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1195,3275,2545,-1,10835,17480,-1,-1,1985,5535,11320,11780,3850,3075,4955,7040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6200,8925,-1,8690,9870,-1,-1,7670,8250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1235,2845,2740,-1,8640,15075,-1,-1,1915,10425,11065,11375,4020,3460,5020,5230,12080,-1,15485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6050,11715,-1,7430,8745,-1,-1,7525,8075,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1210,2905,2530,13860,9910,-1,-1,-1,1980,10790,14825,15120,3810,3885,5045,5620,13940,16595,14680,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5170,6545,8545,7015,7940,15465,-1,6720,7310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1285,3610,2500,-1,14895,-1,-1,-1,2070,5570,9170,12215,3150,-1,4150,5980,6840,9570,7570,12980,-1,-1,-1,-1,15455,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
1255,3105,2535,-1,-1,-1,-1,-1,1970,3450,9175,14665,5720,2955,7430,7740,-1,-1,-1,-1,-1,-1,-1,-1,11480,-1,12565,17780,-1,-1,13680,-1,-1,6795,-1,-1,-1,-1,-1,-1,8135,8800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1265,3280,2395,-1,10275,-1,-1,-1,2035,6320,7450,12030,3835,3130,4840,-1,-1,-1,-1,-1,-1,-1,-1,-1,5500,6810,8310,10940,11760,-1,9835,-1,-1,10990,-1,-1,-1,-1,-1,-1,12710,13385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1345,3380,4745,16205,14255,18755,-1,-1,2040,2745,9905,15485,6310,3090,7465,-1,9325,10185,12030,-1,-1,12385,-1,-1,7400,8665,8455,10600,11585,15645,9485,-1,-1,17920,-1,-1,-1,-1,-1,-1,19885,20490,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1170,2880,5110,14110,10025,19675,25675,28680,1805,3675,10770,13570,6030,2820,7160,7135,16660,17565,17555,-1,-1,22220,-1,-1,11805,17860,14530,16575,21295,16270,15635,-1,-1,8865,15235,-1,-1,-1,-1,-1,10335,10945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1195,3070,2535,-1,15410,16310,-1,-1,1960,4310,11020,-1,3685,2950,4680,5235,19185,-1,-1,-1,-1,-1,-1,-1,18620,-1,-1,-1,-1,-1,-1,-1,-1,5980,7395,-1,7330,8570,-1,-1,12850,14180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1235,2870,2510,-1,13015,20160,-1,-1,2080,5525,8745,14950,4880,3100,5945,6975,24140,24930,-1,-1,-1,-1,-1,-1,14875,-1,16120,-1,-1,-1,17375,-1,-1,6385,15885,-1,14845,-1,-1,-1,7790,8700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_gates
1290,3595,2580,13660,11165,17535,20710,-1,1980,5615,6290,12060,3150,13815,4195,4680,17310,18415,18395,22130,-1,22590,-1,-1,13025,14065,15705,17235,18695,16885,-1,-1,-1,7135,-1,-1,-1,-1,-1,-1,8435,8985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nony
