@relation Starcraft_PvT_Protoss_openings

@attribute ProtossPylon numeric
@attribute ProtossSecondPylon numeric
@attribute ProtossFirstGas numeric
@attribute ProtossSecondGas numeric
@attribute ProtossFirstExpansion numeric
@attribute ProtossSecondExpansion numeric
@attribute ProtossThirdExpansion numeric
@attribute ProtossFourthExpansion numeric
@attribute ProtossGateway numeric
@attribute ProtossSecondGatway numeric
@attribute ProtossThirdGatway numeric
@attribute ProtossFourthGatway numeric
@attribute ProtossCore numeric
@attribute ProtossZealot numeric
@attribute ProtossGoon numeric
@attribute ProtossRange numeric
@attribute ProtossForge numeric
@attribute ProtossCannon numeric
@attribute ProtossGroundWeapons1 numeric
@attribute ProtossGroundArmor1 numeric
@attribute ProtossShields1 numeric
@attribute ProtossGroundWeapons2 numeric
@attribute ProtossGroundArmor2 numeric
@attribute ProtossShields2 numeric
@attribute ProtossCitadel numeric
@attribute ProtossLegs numeric
@attribute ProtossArchives numeric
@attribute ProtossTemplar numeric
@attribute ProtossArchon numeric
@attribute ProtossStorm numeric
@attribute ProtossDarkTemplar numeric
@attribute ProtossDarkArchon numeric
@attribute ProtossMaelstorm numeric
@attribute ProtossRoboBay numeric
@attribute ProtossShuttle numeric
@attribute ProtossShuttleSpeed numeric
@attribute ProtossRoboSupport numeric
@attribute ProtossReavor numeric
@attribute ProtossReavorDamage numeric
@attribute ProtossReavorCapacity numeric
@attribute ProtossObservory numeric
@attribute ProtossObs numeric
@attribute ProtossStargate numeric
@attribute ProtossCorsair numeric
@attribute ProtossDisruptionWeb numeric
@attribute ProtossFleetBeason numeric
@attribute ProtossCarrier numeric
@attribute ProtossCarrierCapacity numeric
@attribute ProtossTribunal numeric
@attribute ProtossArbitor numeric
@attribute ProtossStatis numeric
@attribute ProtossRecall numeric
@attribute ProtossAirWeapons1 numeric
@attribute ProtossAirArmor1 numeric
@attribute ProtossAirWeapons2 numeric
@attribute ProtossAirArmor2 numeric
@attribute midBuild {fast_dt,templar,reaver_drop}

@data
1192,3428,2404,16418,9668,10834,13242,17470,1884,5650,11280,13946,2938,11658,4002,4550,17324,18612,18628,20598,28686,22692,27696,-1,10340,11466,13714,16278,26182,14702,-1,-1,-1,6594,11948,-1,19100,-1,-1,-1,8204,8850,16668,-1,-1,-1,-1,-1,18508,19560,29706,23826,-1,-1,-1,-1,
1225,3470,2285,11205,7405,12975,16805,21660,1890,8295,8725,10615,2965,9890,3995,4555,16050,19015,18265,19760,40760,23455,28285,-1,10670,11725,15960,17970,20205,-1,-1,-1,-1,5645,11010,15820,14490,-1,-1,-1,6995,7605,27525,-1,-1,-1,-1,-1,29225,30440,-1,33455,-1,-1,-1,-1,
1250,3820,2660,10265,7870,17475,21240,22675,2035,2285,10455,11480,3300,14640,4475,4675,10105,10990,18345,-1,-1,25615,-1,-1,8180,12280,9800,16455,18380,-1,11210,-1,-1,8840,10515,-1,-1,-1,-1,-1,11690,12610,22045,-1,-1,-1,-1,-1,25295,26665,-1,-1,-1,-1,-1,-1,
1175,3440,2395,-1,15165,18865,22210,-1,1880,7195,8935,16750,2945,8995,3975,6795,18270,20460,19225,-1,-1,-1,-1,-1,13790,14990,19360,21960,-1,23100,21530,-1,-1,4655,7545,-1,-1,-1,-1,-1,6065,6765,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1270,3305,1965,18965,9955,13100,20195,25495,2520,8905,17320,18370,3610,19590,5320,5790,17245,18000,20590,40435,50570,25340,-1,55550,15945,21535,17420,18475,22810,19760,-1,-1,-1,4625,7260,6560,5945,8090,10475,-1,6055,6945,23435,-1,-1,24625,26660,26695,-1,-1,-1,-1,25375,50620,37005,-1,reaver_drop
1150,3395,2385,19980,15615,36595,37970,-1,2045,10825,17365,17535,3200,15185,4195,11235,17690,18495,18555,-1,-1,27950,-1,-1,7255,17465,8300,15155,29795,15100,9605,-1,-1,4600,6085,-1,6870,7515,-1,-1,8400,8985,20325,-1,-1,-1,-1,-1,22500,23530,25215,-1,-1,-1,-1,-1,reaver_drop
1132,3582,2464,17254,9584,11112,20310,22122,1900,6976,11752,12202,3124,11996,4118,5880,14866,16206,21194,32012,34920,30180,36386,-1,11534,12616,14256,41268,-1,-1,-1,-1,-1,5168,6578,-1,6750,7398,-1,-1,7940,8632,14036,-1,-1,36608,-1,-1,16128,17574,20624,20940,-1,-1,-1,-1,reaver_drop
1175,3415,2400,-1,9990,19935,-1,-1,1865,5845,11260,12795,2945,8220,3970,5110,21780,23045,-1,-1,-1,-1,-1,-1,11380,15330,16395,20380,21605,-1,-1,-1,-1,4665,8115,-1,-1,-1,-1,-1,6025,6625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1225,3995,2410,2900,12540,21040,23235,-1,1985,4315,15775,15980,3570,15955,4585,8990,17705,18485,18500,-1,-1,24805,-1,-1,10610,17180,11895,15810,22890,15625,12920,-1,-1,11810,22720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,templar
1150,3395,2385,19980,15615,36595,37970,-1,2045,10825,17365,17535,3200,15185,4195,11235,17690,18495,18555,-1,-1,27950,-1,-1,7255,17465,8300,15155,29795,15100,9605,-1,-1,4600,6085,-1,6870,7515,-1,-1,8400,8985,20325,-1,-1,-1,-1,-1,22500,23530,25215,-1,-1,-1,-1,-1,reaver_drop
