@relation Starcraft_PvT_Terran_openings

@attribute TerranDepot numeric
@attribute TerranGas numeric
@attribute TerranSecondGas numeric
@attribute TerranExpansion numeric
@attribute TerranSecondExpansion numeric
@attribute TerranThirdExpansion numeric
@attribute TerranFourthExpansion numeric
@attribute TerranBarracks numeric
@attribute TerranSecondBarracks numeric
@attribute TerranThirdBarracks numeric
@attribute TerranMarine numeric
@attribute TerranMedic numeric
@attribute TerranFirebat numeric
@attribute TerranBunker numeric
@attribute TerranAcademy numeric
@attribute TerranStem numeric
@attribute TerranComsat numeric
@attribute TerranEbay numeric
@attribute TerranTurret numeric
@attribute TerranInfantryAttack1 numeric
@attribute TerranInfantryArmor1 numeric
@attribute TerranInfantryAttack2 numeric
@attribute TerranInfantryArmor2 numeric
@attribute TerranFactory numeric
@attribute TerranSecondFactory numeric
@attribute TerranThirdFactory numeric
@attribute TerranMachineShop numeric
@attribute TerranSiege numeric
@attribute TerranMines numeric
@attribute TerranVulture numeric
@attribute TerranTank numeric
@attribute TerranGoliath numeric
@attribute TerranArmory numeric
@attribute TerranSecondArmory numeric
@attribute TerranMetalAttack1 numeric
@attribute TerranMetalArmor1 numeric
@attribute TerranMetalAttack2 numeric
@attribute TerranMetalArmor2 numeric
@attribute TerranStarport numeric
@attribute TerranControlTower numeric
@attribute TerranWraith numeric
@attribute TerranCloak numeric
@attribute TerranDropship numeric
@attribute TerranValkyrie numeric
@attribute TerranScienceFacility numeric
@attribute TerranVessel numeric
@attribute TerranGhost numeric
@attribute TerranNuke numeric
@attribute TerranBattlecruiser numeric
@attribute TerranAirAttack numeric
@attribute TerranAirArmor numeric
@attribute midBuild {bio,early}

@data
1398,2806,12830,9034,11846,13710,14084,2012,12262,-1,3264,-1,-1,6212,14170,-1,15992,7218,10486,-1,-1,-1,-1,4052,4192,4940,5492,6922,8212,6330,6140,-1,-1,-1,-1,-1,-1,-1,13160,14946,-1,-1,15920,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1435,2805,10405,7075,12910,14600,17580,2210,9120,18415,3575,-1,46740,-1,11345,61135,12720,8180,10595,-1,-1,-1,-1,4040,4810,8065,5360,9230,6025,6150,6015,35730,20900,28065,24110,24115,29845,29870,8530,10330,-1,-1,10980,-1,30750,-1,38770,39645,-1,-1,-1,two_facto
1465,2550,22220,7245,19225,23355,26665,2245,4370,7950,4575,-1,-1,4755,8340,-1,9810,12825,13945,-1,-1,-1,-1,3800,9190,-1,5085,5960,10155,9935,5835,-1,-1,-1,-1,-1,-1,-1,20075,23270,-1,-1,24975,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1395,2565,14405,10895,13405,13820,15700,2215,3805,-1,-1,-1,-1,-1,15595,-1,18530,7735,9340,-1,-1,-1,-1,3895,5330,15865,5610,7590,-1,-1,6245,6835,5425,-1,14735,20055,-1,-1,5200,6480,17140,-1,7285,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1520,2170,18485,10370,13885,14320,23790,2925,10995,19260,-1,-1,-1,-1,12975,-1,14320,8235,9190,-1,-1,-1,-1,4300,4955,17365,5730,8350,-1,-1,6375,6855,5550,26115,20120,45450,45435,49560,5915,7045,-1,-1,7720,-1,27900,-1,-1,-1,34710,26180,27755,two_facto
1485,2635,15855,11930,15015,22555,25325,2215,-1,-1,3500,-1,-1,-1,12315,-1,13670,9305,10410,-1,-1,-1,-1,4150,5730,13475,5425,12695,6525,6855,6060,-1,-1,-1,-1,-1,-1,-1,22225,29900,24510,-1,-1,-1,27805,31105,-1,-1,-1,-1,-1,vultures
1638,2470,16492,7486,14568,19230,23368,2074,6814,7108,3496,-1,-1,-1,11142,-1,12392,8562,9638,-1,-1,-1,-1,3780,4904,10992,5040,7614,5898,6474,5660,17008,14926,24114,17614,-1,25134,-1,20498,22098,-1,-1,-1,-1,23590,25176,-1,-1,-1,-1,-1,two_facto
1455,2665,15755,11140,13710,22060,-1,2065,-1,-1,3550,-1,-1,10090,13485,-1,15975,7465,9450,-1,-1,-1,-1,4215,9230,12465,5530,6285,9950,11030,6165,-1,-1,-1,-1,-1,-1,-1,5500,6650,-1,-1,7380,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1450,5165,14700,12455,-1,-1,-1,2150,2640,6705,3425,6570,22145,-1,4980,6240,7565,7685,10620,-1,-1,-1,-1,7800,13475,20120,9445,11065,10315,10325,11045,-1,-1,-1,-1,-1,-1,-1,17695,18915,-1,-1,20645,-1,-1,-1,-1,-1,-1,-1,-1,bio
1485,2635,15855,11930,15015,22555,25325,2215,-1,-1,3500,-1,-1,-1,12315,-1,13670,9305,10410,-1,-1,-1,-1,4150,5730,13475,5425,12695,6525,6855,6060,-1,-1,-1,-1,-1,-1,-1,22225,29900,24510,-1,-1,-1,27805,31105,-1,-1,-1,-1,-1,vultures
