@relation Starcraft_PvZ_Zerg_openings

@attribute ZergPool numeric
@attribute ZergOverlord numeric
@attribute ZergZergling numeric
@attribute ZergZerglingSpeed numeric
@attribute ZergCrackling numeric
@attribute ZergBurrow numeric
@attribute ZergGas numeric
@attribute ZergSecondGas numeric
@attribute ZergSecondHatch numeric
@attribute ZergThirdHatch numeric
@attribute ZergFourthHatch numeric
@attribute ZergFifthHatch numeric
@attribute ZergSixthHatch numeric
@attribute ZergSeventhHatch numeric
@attribute ZergHydraDen numeric
@attribute ZergHydra numeric
@attribute ZergHydraRange numeric
@attribute ZergHydraSpeed numeric
@attribute ZergLurker numeric
@attribute ZergLair numeric
@attribute ZergSpire numeric
@attribute ZergMutalisk numeric
@attribute ZergScourge numeric
@attribute ZergAirAttack numeric
@attribute ZergAirArmor numeric
@attribute ZergQueenNest numeric
@attribute ZergQueen numeric
@attribute ZergHive numeric
@attribute ZergGreaterSpire numeric
@attribute ZergGardian numeric
@attribute ZergDevour numeric
@attribute ZergUltraliskCavern numeric
@attribute ZergUltralisk numeric
@attribute ZergUltraliskArmor numeric
@attribute ZergUltraliskSpeed numeric
@attribute ZergDefilerMound numeric
@attribute ZergDefiler numeric
@attribute ZergConsume numeric
@attribute ZergevoDen numeric
@attribute ZergMeleeWeapons1 numeric
@attribute ZergRangeWeapons1 numeric
@attribute ZergGroundArmor1 numeric
@attribute ZergMeleeWeapons2 numeric
@attribute ZergRangeWeapons2 numeric
@attribute ZergGroundArmor2 numeric
@attribute ZergCreep numeric
@attribute ZergSunken numeric
@attribute ZergSpore numeric
@attribute midBuild {speedlings,fast_mutas,mutas,lurkers,hydras}

@data
3015,1215,4285,12365,28250,-1,6330,13190,2390,6025,17550,18605,27000,28730,7410,8685,10020,8245,-1,14330,15900,-1,-1,-1,-1,20945,-1,25785,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12630,25835,13350,17260,-1,17430,21360,4335,5325,-1,unknown
1600,2028,2880,3546,-1,-1,2198,-1,4658,11248,-1,-1,-1,-1,-1,-1,-1,-1,-1,6214,8432,10348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,speedlings
3035,1405,4295,6515,-1,5935,4690,9045,2565,4410,7520,8760,9805,14160,10210,11655,24775,22140,13905,8950,-1,-1,-1,-1,-1,24605,-1,25865,-1,-1,-1,-1,-1,-1,-1,27755,-1,-1,22515,-1,24370,-1,-1,-1,-1,10875,11980,-1,speedlings
1650,2045,2930,3575,-1,8420,2195,-1,4695,23855,31150,-1,-1,-1,7410,8140,-1,-1,13180,8955,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18625,-1,28405,20235,-1,32735,-1,10825,11540,-1,speedlings
2405,1265,3825,7890,29000,15430,6485,13880,3415,6015,9130,13090,16900,17070,15445,25550,25395,17700,-1,18915,20525,22455,22760,23515,-1,25865,47810,27120,-1,-1,-1,29040,35060,33370,30590,30625,-1,31750,10055,22140,22155,22150,27040,27050,27045,5435,5830,13225,speedlings
2170,1365,3445,3700,-1,27665,2425,10885,4175,6145,14620,16230,16975,18720,10050,11960,16360,14795,12710,9305,13830,16920,15940,-1,-1,19955,-1,21380,23225,25115,31390,-1,-1,-1,-1,-1,-1,-1,8020,-1,-1,16065,-1,-1,20180,6345,9125,-1,speedlings
2405,1265,3825,7890,29000,15430,6485,13880,3415,6015,9130,13090,16900,17070,15445,25550,25395,17700,-1,18915,20525,22455,22760,23515,-1,25865,47810,27120,-1,-1,-1,29040,35060,33370,30590,30625,-1,31750,10055,22140,22155,22150,27040,27050,27045,5435,5830,13225,speedlings
2170,1365,3445,3700,-1,27665,2425,10885,4175,6145,14620,16230,16975,18720,10050,11960,16360,14795,12710,9305,13830,16920,15940,-1,-1,19955,-1,21380,23225,25115,31390,-1,-1,-1,-1,-1,-1,-1,8020,-1,-1,16065,-1,-1,20180,6345,9125,-1,speedlings
1660,2230,2925,8110,-1,-1,2060,9450,5325,-1,-1,-1,-1,-1,9505,-1,-1,-1,-1,4190,5790,7720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,unknown
3660,1428,18734,22538,-1,-1,3024,-1,2672,5766,13224,17704,19078,-1,6138,6782,9840,7298,-1,5008,26638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7230,-1,7966,12132,-1,16646,23804,8042,24300,8496,hydras
