@relation Starcraft_TvT_Terran_openings

@attribute TerranDepot numeric
@attribute TerranGas numeric
@attribute TerranSecondGas numeric
@attribute TerranExpansion numeric
@attribute TerranSecondExpansion numeric
@attribute TerranThirdExpansion numeric
@attribute TerranFourthExpansion numeric
@attribute TerranBarracks numeric
@attribute TerranSecondBarracks numeric
@attribute TerranThirdBarracks numeric
@attribute TerranMarine numeric
@attribute TerranMedic numeric
@attribute TerranFirebat numeric
@attribute TerranBunker numeric
@attribute TerranAcademy numeric
@attribute TerranStem numeric
@attribute TerranComsat numeric
@attribute TerranEbay numeric
@attribute TerranTurret numeric
@attribute TerranInfantryAttack1 numeric
@attribute TerranInfantryArmor1 numeric
@attribute TerranInfantryAttack2 numeric
@attribute TerranInfantryArmor2 numeric
@attribute TerranFactory numeric
@attribute TerranSecondFactory numeric
@attribute TerranThirdFactory numeric
@attribute TerranMachineShop numeric
@attribute TerranSiege numeric
@attribute TerranMines numeric
@attribute TerranVulture numeric
@attribute TerranTank numeric
@attribute TerranGoliath numeric
@attribute TerranArmory numeric
@attribute TerranSecondArmory numeric
@attribute TerranMetalAttack1 numeric
@attribute TerranMetalArmor1 numeric
@attribute TerranMetalAttack2 numeric
@attribute TerranMetalArmor2 numeric
@attribute TerranStarport numeric
@attribute TerranControlTower numeric
@attribute TerranWraith numeric
@attribute TerranCloak numeric
@attribute TerranDropship numeric
@attribute TerranValkyrie numeric
@attribute TerranScienceFacility numeric
@attribute TerranVessel numeric
@attribute TerranGhost numeric
@attribute TerranNuke numeric
@attribute TerranBattlecruiser numeric
@attribute TerranAirAttack numeric
@attribute TerranAirArmor numeric
@attribute midBuild {two_facto,vultures,air}

@data
1390,2466,10804,8158,14348,16532,17686,2100,15344,-1,-1,-1,-1,-1,5610,-1,6888,9914,11082,-1,-1,-1,-1,3706,4606,16974,7688,8314,-1,-1,8412,6396,5158,-1,16582,-1,-1,-1,4974,6116,-1,-1,6728,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1424,2614,13568,9674,12106,15474,16162,2020,10296,-1,3282,-1,-1,-1,11824,-1,13786,13904,-1,-1,-1,-1,-1,4102,4904,13724,5670,9892,-1,-1,9886,6598,5338,-1,-1,-1,-1,-1,5496,6832,-1,-1,7636,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1435,2600,9385,7335,9945,10370,14660,2210,33690,33735,3470,-1,-1,-1,13340,-1,15090,18420,24325,-1,-1,-1,-1,3790,5065,8235,11045,12300,-1,5400,11920,6320,5085,-1,19610,-1,-1,-1,6575,7840,9010,9015,11895,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1410,2585,10675,8335,15470,18855,22455,2145,11035,38885,3410,-1,-1,-1,12745,-1,14325,9520,10705,-1,-1,-1,-1,3990,5305,12635,8150,9155,-1,5410,8800,6715,5360,5420,13520,-1,-1,-1,5830,7125,-1,-1,7905,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1466,1880,-1,16180,20102,29236,-1,2580,14264,-1,-1,-1,-1,-1,7396,-1,8962,-1,-1,-1,-1,-1,-1,3854,4620,5114,6000,28428,21582,5626,28384,6688,5158,-1,-1,-1,-1,-1,5416,6610,-1,-1,7218,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1436,1922,22324,14310,17434,19360,21288,2610,4086,17172,4248,-1,-1,-1,21842,-1,25054,7960,9334,-1,-1,-1,-1,4038,4880,-1,5298,7180,-1,-1,5906,21120,19642,-1,-1,-1,-1,-1,5282,6576,11742,-1,7310,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1364,1830,11784,14662,15058,16576,19122,2576,6652,7042,3816,-1,-1,4834,8784,-1,-1,19030,21844,-1,-1,-1,-1,4026,5416,-1,6080,14318,-1,5390,14026,6802,5382,-1,6730,-1,-1,-1,7774,9304,-1,-1,9948,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1598,2360,-1,12852,16676,-1,-1,2080,3774,4710,3856,-1,-1,-1,13260,-1,15114,8726,10722,-1,-1,-1,-1,3602,5616,19892,5908,7248,11352,4874,6964,23816,10228,-1,-1,-1,-1,-1,4900,6268,-1,-1,6894,-1,-1,-1,-1,-1,-1,-1,-1,air
1745,2500,9155,6940,9110,17180,18705,2565,3940,24270,-1,38605,-1,-1,12535,-1,14745,7690,9660,-1,-1,-1,-1,3920,8385,15815,5645,9225,-1,5170,6405,7175,5180,15775,6520,12245,16740,17115,12390,13555,23185,23235,14620,-1,13615,42960,27280,66560,41100,22560,28190,
1445,2630,11785,6915,8885,9260,9645,2215,7020,9295,3495,-1,-1,4840,8370,-1,9790,9035,10185,-1,-1,-1,-1,4115,14455,15825,5390,6250,-1,-1,6005,-1,7115,20755,8740,43700,20580,-1,8180,9395,45255,45280,10690,14350,13695,-1,-1,-1,22760,14790,22445,
