@relation Starcraft_TvZ_Terran_openings

@attribute TerranDepot numeric
@attribute TerranGas numeric
@attribute TerranSecondGas numeric
@attribute TerranExpansion numeric
@attribute TerranSecondExpansion numeric
@attribute TerranThirdExpansion numeric
@attribute TerranFourthExpansion numeric
@attribute TerranBarracks numeric
@attribute TerranSecondBarracks numeric
@attribute TerranThirdBarracks numeric
@attribute TerranMarine numeric
@attribute TerranMedic numeric
@attribute TerranFirebat numeric
@attribute TerranBunker numeric
@attribute TerranAcademy numeric
@attribute TerranStem numeric
@attribute TerranComsat numeric
@attribute TerranEbay numeric
@attribute TerranTurret numeric
@attribute TerranInfantryAttack1 numeric
@attribute TerranInfantryArmor1 numeric
@attribute TerranInfantryAttack2 numeric
@attribute TerranInfantryArmor2 numeric
@attribute TerranFactory numeric
@attribute TerranSecondFactory numeric
@attribute TerranThirdFactory numeric
@attribute TerranMachineShop numeric
@attribute TerranSiege numeric
@attribute TerranMines numeric
@attribute TerranVulture numeric
@attribute TerranTank numeric
@attribute TerranGoliath numeric
@attribute TerranArmory numeric
@attribute TerranSecondArmory numeric
@attribute TerranMetalAttack1 numeric
@attribute TerranMetalArmor1 numeric
@attribute TerranMetalAttack2 numeric
@attribute TerranMetalArmor2 numeric
@attribute TerranStarport numeric
@attribute TerranControlTower numeric
@attribute TerranWraith numeric
@attribute TerranCloak numeric
@attribute TerranDropship numeric
@attribute TerranValkyrie numeric
@attribute TerranScienceFacility numeric
@attribute TerranVessel numeric
@attribute TerranGhost numeric
@attribute TerranNuke numeric
@attribute TerranBattlecruiser numeric
@attribute TerranAirAttack numeric
@attribute TerranAirArmor numeric
@attribute midBuild {bio,early}

@data
1470,2080,33865,13605,15160,15315,16270,2745,5530,10120,4090,5850,42260,36230,4020,17345,5375,3280,8010,4455,9390,14410,30190,6420,7845,-1,-1,-1,-1,10380,-1,-1,-1,-1,-1,-1,-1,-1,7905,9845,-1,-1,12010,-1,9265,10570,-1,-1,-1,-1,-1,bio
2605,-1,-1,-1,-1,-1,-1,1680,2325,-1,3215,-1,-1,4590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1475,2830,16155,9310,18430,26960,29885,2220,4230,4595,4070,5400,4810,21265,3545,4965,8100,6655,22610,12250,8150,16980,17000,7805,30345,-1,9235,10765,-1,17055,10745,-1,-1,-1,-1,-1,-1,-1,11110,13570,13995,-1,16575,-1,12935,14245,-1,-1,-1,-1,-1,bio
1386,4008,-1,17350,27836,-1,-1,1990,2652,14108,3250,5916,6236,16244,4634,5942,6064,8790,9988,10638,16034,15990,-1,7008,-1,-1,12104,12878,-1,-1,14024,-1,-1,-1,-1,-1,-1,-1,8398,9706,-1,-1,11328,-1,9802,14136,-1,-1,-1,-1,-1,air
1270,5465,-1,-1,-1,-1,-1,2205,2790,-1,3510,8455,-1,7830,6835,-1,8380,-1,-1,-1,-1,-1,-1,8070,-1,-1,9415,-1,-1,-1,10075,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1290,2766,17646,15298,21006,25090,26080,2252,6284,9402,3722,11566,11132,15910,9674,16464,11178,10264,11346,12430,16606,22184,-1,4120,18750,19756,8522,9160,-1,-1,9142,-1,-1,-1,-1,-1,-1,-1,5382,8484,6668,14394,9444,-1,21056,22870,-1,-1,-1,-1,-1,bio
2445,5270,-1,-1,-1,-1,-1,1765,-1,-1,3090,-1,-1,-1,5900,7305,7335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
2420,4830,17980,15260,15955,21890,24955,1860,16570,22635,3100,8045,7590,12990,5965,7545,7675,9885,13040,10915,15050,27315,28895,7200,15110,44210,8580,9525,-1,11195,9210,37900,32850,-1,42885,42910,-1,-1,22750,25865,34560,39810,27275,-1,25835,28765,-1,-1,-1,37185,37205,two_facto
2425,5390,20065,14890,22225,29530,-1,1705,15225,23290,3065,7670,8510,13585,6245,7580,7515,11910,13645,12970,17140,21190,25640,7185,-1,-1,8600,11600,-1,27340,9455,-1,23370,25050,26580,28265,-1,-1,16390,20120,-1,-1,20880,-1,20140,21220,-1,-1,-1,-1,-1,bio
2435,5505,-1,-1,-1,-1,-1,1885,13450,-1,3135,8195,7320,13245,5980,10530,7290,10785,12115,12835,-1,-1,-1,7195,-1,-1,8500,9170,-1,-1,9630,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
