@relation Starcraft_TvZ_Zerg_openings

@attribute ZergPool numeric
@attribute ZergOverlord numeric
@attribute ZergZergling numeric
@attribute ZergZerglingSpeed numeric
@attribute ZergCrackling numeric
@attribute ZergBurrow numeric
@attribute ZergGas numeric
@attribute ZergSecondGas numeric
@attribute ZergSecondHatch numeric
@attribute ZergThirdHatch numeric
@attribute ZergFourthHatch numeric
@attribute ZergFifthHatch numeric
@attribute ZergSixthHatch numeric
@attribute ZergSeventhHatch numeric
@attribute ZergHydraDen numeric
@attribute ZergHydra numeric
@attribute ZergHydraRange numeric
@attribute ZergHydraSpeed numeric
@attribute ZergLurker numeric
@attribute ZergLair numeric
@attribute ZergSpire numeric
@attribute ZergMutalisk numeric
@attribute ZergScourge numeric
@attribute ZergAirAttack numeric
@attribute ZergAirArmor numeric
@attribute ZergQueenNest numeric
@attribute ZergQueen numeric
@attribute ZergHive numeric
@attribute ZergGreaterSpire numeric
@attribute ZergGardian numeric
@attribute ZergDevour numeric
@attribute ZergUltraliskCavern numeric
@attribute ZergUltralisk numeric
@attribute ZergUltraliskArmor numeric
@attribute ZergUltraliskSpeed numeric
@attribute ZergDefilerMound numeric
@attribute ZergDefiler numeric
@attribute ZergConsume numeric
@attribute ZergevoDen numeric
@attribute ZergMeleeWeapons1 numeric
@attribute ZergRangeWeapons1 numeric
@attribute ZergGroundArmor1 numeric
@attribute ZergMeleeWeapons2 numeric
@attribute ZergRangeWeapons2 numeric
@attribute ZergGroundArmor2 numeric
@attribute ZergCreep numeric
@attribute ZergSunken numeric
@attribute ZergSpore numeric
@attribute midBuild {fast_mutas,mutas,lurkers,hydras}

@data
2835,1460,39205,40800,43250,-1,1585,11455,4885,9055,20190,21930,22370,23325,25680,26370,30510,26385,51325,4080,5870,7770,8325,9870,-1,17605,-1,19595,21435,28245,-1,21615,24090,35135,27055,25650,-1,-1,23465,43890,24270,24285,-1,30750,30760,11605,12030,-1,
3150,1380,4440,-1,-1,-1,3360,-1,2535,-1,-1,-1,-1,-1,6260,-1,-1,-1,-1,4610,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7390,7815,-1,
2985,1415,4255,16130,17675,-1,3375,14225,2575,4560,11500,19825,20995,26125,9000,9825,-1,-1,11730,5905,16005,-1,18150,-1,-1,12500,14000,15820,-1,-1,-1,-1,-1,-1,-1,20850,21865,21845,20590,21790,-1,-1,26795,-1,-1,7370,7785,-1,lurkers
3116,1344,4530,-1,-1,4348,2510,12216,2456,9782,10670,13090,19150,20938,5588,14190,21022,18978,16204,4454,6060,7950,24990,10962,-1,18198,-1,19262,-1,-1,-1,30104,32264,-1,31522,21472,22698,25628,18126,30950,18954,18944,-1,23548,23562,4368,4884,-1,fast_mutas
2455,1200,3865,4075,-1,-1,1520,2225,8525,-1,-1,-1,-1,-1,4515,6810,-1,-1,7395,3725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,lurkers
3298,1418,4638,-1,-1,-1,3458,7454,3002,11182,11828,15612,19864,-1,5954,8270,21026,10900,9260,5150,-1,-1,-1,-1,-1,12560,13864,21118,-1,-1,-1,-1,-1,-1,-1,24318,25668,-1,7890,-1,10136,21044,-1,15124,-1,5028,5448,9310,lurkers
1690,2325,2990,4660,-1,-1,2010,-1,-1,-1,-1,-1,-1,-1,4355,-1,-1,-1,-1,3550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
3075,1525,4365,7280,25965,7600,3335,16800,2650,16345,17650,19935,31835,33110,5885,7860,34080,20310,8580,4730,25630,29375,34705,-1,-1,22795,-1,23955,31255,33240,-1,28775,-1,-1,-1,-1,-1,-1,16675,17750,47270,17760,24595,-1,24605,29675,30435,-1,lurkers
3130,1425,4385,5730,-1,27910,3355,21275,2650,15910,23120,24950,26150,26470,7965,8910,27980,25985,11865,4600,12505,14600,23235,-1,-1,28325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19010,19850,-1,19855,24750,-1,24765,-1,-1,-1,lurkers
2310,1445,3590,8045,-1,-1,5250,7615,3145,4230,-1,-1,-1,-1,-1,-1,-1,-1,-1,7190,8725,10625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5160,5590,-1,mutas
