@relation Starcraft_ZvZ_Zerg_openings

@attribute ZergPool numeric
@attribute ZergOverlord numeric
@attribute ZergZergling numeric
@attribute ZergZerglingSpeed numeric
@attribute ZergCrackling numeric
@attribute ZergBurrow numeric
@attribute ZergGas numeric
@attribute ZergSecondGas numeric
@attribute ZergSecondHatch numeric
@attribute ZergThirdHatch numeric
@attribute ZergFourthHatch numeric
@attribute ZergFifthHatch numeric
@attribute ZergSixthHatch numeric
@attribute ZergSeventhHatch numeric
@attribute ZergHydraDen numeric
@attribute ZergHydra numeric
@attribute ZergHydraRange numeric
@attribute ZergHydraSpeed numeric
@attribute ZergLurker numeric
@attribute ZergLair numeric
@attribute ZergSpire numeric
@attribute ZergMutalisk numeric
@attribute ZergScourge numeric
@attribute ZergAirAttack numeric
@attribute ZergAirArmor numeric
@attribute ZergQueenNest numeric
@attribute ZergQueen numeric
@attribute ZergHive numeric
@attribute ZergGreaterSpire numeric
@attribute ZergGardian numeric
@attribute ZergDevour numeric
@attribute ZergUltraliskCavern numeric
@attribute ZergUltralisk numeric
@attribute ZergUltraliskArmor numeric
@attribute ZergUltraliskSpeed numeric
@attribute ZergDefilerMound numeric
@attribute ZergDefiler numeric
@attribute ZergConsume numeric
@attribute ZergevoDen numeric
@attribute ZergMeleeWeapons1 numeric
@attribute ZergRangeWeapons1 numeric
@attribute ZergGroundArmor1 numeric
@attribute ZergMeleeWeapons2 numeric
@attribute ZergRangeWeapons2 numeric
@attribute ZergGroundArmor2 numeric
@attribute ZergCreep numeric
@attribute ZergSunken numeric
@attribute ZergSpore numeric
@attribute midBuild {speedlings,early}

@data
2635,1360,3895,4620,28355,22960,2380,12750,3555,10425,22495,23050,29060,37350,-1,-1,-1,-1,-1,4185,5715,7585,8715,13840,17925,24080,-1,25250,27820,-1,32400,-1,-1,-1,-1,-1,-1,-1,9705,21180,-1,-1,-1,-1,-1,10160,-1,10665,speedlings
2605,1440,4090,6240,-1,-1,1630,2380,3855,10160,17670,25970,30445,32410,38095,39695,-1,-1,40820,4410,5940,7845,8175,11690,15705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10545,-1,-1,-1,-1,-1,-1,11240,20680,11700,fast_mutas
2622,1344,3884,11928,-1,-1,1564,20646,4694,18116,25614,-1,-1,-1,-1,-1,-1,-1,-1,3898,5518,7508,7430,9040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6958,-1,-1,-1,-1,-1,-1,7694,20876,8082,fast_mutas
2932,1354,4192,4948,-1,-1,1636,3096,2428,10550,19382,25704,-1,-1,12312,13042,16428,13796,22948,4408,5948,-1,7802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6696,7968,12322,13468,-1,-1,19980,7028,24346,7474,speedlings
2635,1360,3895,4620,28355,22960,2380,12750,3555,10425,22495,23050,29060,37350,-1,-1,-1,-1,-1,4185,5715,7585,8715,13840,17925,24080,-1,25250,27820,-1,32400,-1,-1,-1,-1,-1,-1,-1,9705,21180,-1,-1,-1,-1,-1,10160,-1,10665,speedlings
2605,1440,4090,6240,-1,-1,1630,2380,3855,10160,17670,25970,30445,32410,38095,39695,-1,-1,40820,4410,5940,7845,8175,11690,15705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10545,-1,-1,-1,-1,-1,-1,11240,20680,11700,fast_mutas
2622,1344,3884,11928,-1,-1,1564,20646,4694,18116,25614,-1,-1,-1,-1,-1,-1,-1,-1,3898,5518,7508,7430,9040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6958,-1,-1,-1,-1,-1,-1,7694,20876,8082,fast_mutas
2932,1354,4192,4948,-1,-1,1636,3096,2428,10550,19382,25704,-1,-1,12312,13042,16428,13796,22948,4408,5948,-1,7802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6696,7968,12322,13468,-1,-1,19980,7028,24346,7474,speedlings
2360,1495,3700,6280,-1,-1,2245,15695,3585,13950,-1,-1,-1,-1,-1,-1,-1,-1,-1,4445,6035,8210,20215,24150,13145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7435,17920,-1,-1,-1,-1,-1,7895,21410,9655,fast_mutas
2915,1535,4350,6320,-1,-1,2340,15655,3925,4090,12015,14435,24215,-1,-1,-1,-1,-1,-1,4565,6155,8115,8175,15565,9535,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8860,-1,-1,-1,-1,-1,-1,9835,-1,11385,fast_mutas
2360,1495,3700,6280,-1,-1,2245,15695,3585,13950,-1,-1,-1,-1,-1,-1,-1,-1,-1,4445,6035,8210,20215,24150,13145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7435,17920,-1,-1,-1,-1,-1,7895,21410,9655,fast_mutas
2915,1535,4350,6320,-1,-1,2340,15655,3925,4090,12015,14435,24215,-1,-1,-1,-1,-1,-1,4565,6155,8115,8175,15565,9535,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8860,-1,-1,-1,-1,-1,-1,9835,-1,11385,fast_mutas
2330,1435,3575,5535,-1,-1,2720,11955,4095,10040,-1,-1,-1,-1,-1,-1,-1,-1,-1,5020,6545,8400,11205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fast_mutas
1670,2310,2960,3350,-1,-1,1990,8590,4590,7935,-1,-1,-1,-1,-1,-1,-1,-1,-1,5340,6870,10005,8925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,speedlings
3570,1330,4925,5150,-1,-1,3435,6470,2725,7055,12170,15030,19795,-1,-1,-1,-1,-1,-1,4885,6415,8465,28545,12700,8660,18165,-1,19190,21270,32145,25930,-1,-1,-1,-1,-1,-1,-1,23515,-1,-1,-1,-1,-1,-1,15320,15715,24615,unknown
3750,1440,5850,5500,-1,-1,3505,6865,2825,7290,16000,17535,24140,-1,25750,27975,30220,26865,-1,5110,6695,9215,8615,12625,8590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12010,-1,28740,-1,-1,-1,-1,5190,5570,12695,speedlings
2640,1400,3900,3915,-1,-1,1590,2355,4710,13900,-1,-1,-1,-1,-1,-1,-1,-1,-1,5200,7010,9395,8890,15770,19880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9940,10660,-1,-1,-1,-1,-1,11885,-1,12515,speedlings
1660,2230,2945,5485,-1,-1,1910,15065,4145,13770,-1,-1,-1,-1,-1,-1,-1,-1,-1,4600,7300,10575,9200,-1,17760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14000,-1,-1,-1,-1,-1,-1,14410,-1,14825,
3550,1460,4860,7075,-1,-1,2985,6710,2730,6935,9845,-1,-1,-1,-1,-1,-1,-1,-1,4845,6380,10250,8270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9920,10315,-1,mutas
3385,1340,5170,15685,-1,-1,2755,5540,2625,17850,-1,-1,-1,-1,-1,-1,-1,-1,-1,4640,6180,8045,8065,-1,8125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8500,-1,-1,-1,-1,-1,-1,4820,5215,9350,fast_mutas
