@relation Starcraft_PvZ_Protoss

@attribute ProtossPylon numeric
@attribute ProtossSecondPylon numeric
@attribute ProtossFirstGas numeric
@attribute ProtossSecondGas numeric
@attribute ProtossFirstExpansion numeric
@attribute ProtossSecondExpansion numeric
@attribute ProtossThirdExpansion numeric
@attribute ProtossFourthExpansion numeric
@attribute ProtossGateway numeric
@attribute ProtossSecondGatway numeric
@attribute ProtossThirdGatway numeric
@attribute ProtossFourthGatway numeric
@attribute ProtossCore numeric
@attribute ProtossZealot numeric
@attribute ProtossGoon numeric
@attribute ProtossRange numeric
@attribute ProtossForge numeric
@attribute ProtossCannon numeric
@attribute ProtossGroundWeapons1 numeric
@attribute ProtossGroundArmor1 numeric
@attribute ProtossShields1 numeric
@attribute ProtossGroundWeapons2 numeric
@attribute ProtossGroundArmor2 numeric
@attribute ProtossShields2 numeric
@attribute ProtossCitadel numeric
@attribute ProtossLegs numeric
@attribute ProtossArchives numeric
@attribute ProtossTemplar numeric
@attribute ProtossArchon numeric
@attribute ProtossStorm numeric
@attribute ProtossDarkTemplar numeric
@attribute ProtossDarkArchon numeric
@attribute ProtossMaelstorm numeric
@attribute ProtossRoboBay numeric
@attribute ProtossShuttle numeric
@attribute ProtossShuttleSpeed numeric
@attribute ProtossRoboSupport numeric
@attribute ProtossReavor numeric
@attribute ProtossReavorDamage numeric
@attribute ProtossReavorCapacity numeric
@attribute ProtossObservory numeric
@attribute ProtossObs numeric
@attribute ProtossStargate numeric
@attribute ProtossCorsair numeric
@attribute ProtossDisruptionWeb numeric
@attribute ProtossFleetBeason numeric
@attribute ProtossCarrier numeric
@attribute ProtossCarrierCapacity numeric
@attribute ProtossTribunal numeric
@attribute ProtossArbitor numeric
@attribute ProtossStatis numeric
@attribute ProtossRecall numeric
@attribute ProtossAirWeapons1 numeric
@attribute ProtossAirArmor1 numeric
@attribute ProtossAirWeapons2 numeric
@attribute ProtossAirArmor2 numeric
@attribute midBuild {FastLegs,FastDT,FastObs,ReaverDrop,Carrier,FastExpand,Unknown}

@data
1305,3065,5900,16740,15280,24440,27485,-1,1900,2465,11650,20435,5970,2890,6995,7660,15900,-1,16655,21215,-1,-1,25780,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11045,12370,19200,12620,13420,-1,-1,19380,20465,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ReaverDrop
1290,3132,5144,-1,-1,-1,-1,-1,1902,2478,9124,9536,-1,2896,-1,-1,6896,7662,8006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Unknown
1225,3745,7235,8195,2900,17205,20880,24475,3415,4115,9405,12385,8035,4470,9090,10740,6370,7315,8670,9465,21225,15415,17270,25495,9785,10795,14010,18315,20240,-1,15445,-1,-1,10700,17255,-1,-1,-1,-1,-1,13050,15105,20645,-1,-1,23450,25635,26630,-1,-1,-1,-1,26700,21195,-1,21730,FastExpand
1230,2955,2445,-1,12650,13725,32160,-1,2035,8465,9485,-1,4555,3070,5875,-1,13665,14920,15285,29540,-1,19890,-1,-1,8100,9255,10765,12605,13450,12945,-1,-1,-1,12875,14315,-1,-1,-1,-1,-1,14375,14955,7075,8605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Carrier
1175,3025,5520,18005,15210,17250,18925,27025,1800,2430,11170,13195,6765,2815,7955,22160,9290,11665,10055,23605,25470,15300,27650,30390,8675,9700,12550,16600,17405,18240,14225,-1,-1,18835,20430,21680,20900,35585,33040,50555,20975,21585,8020,9210,-1,-1,-1,-1,26935,29050,30920,-1,25505,40135,-1,-1,Carrier
1270,3095,5480,20470,15995,18985,22225,28130,1880,2420,11995,21115,6685,2910,8705,21300,8180,10715,8925,-1,-1,23835,-1,-1,8595,9700,10050,11085,18120,11535,12175,-1,-1,14455,-1,-1,-1,-1,-1,-1,15865,16755,7780,29820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Carrier
1175,3025,5520,18005,15210,17250,18925,27025,1800,2430,11170,13195,6765,2815,7955,22160,9290,11665,10055,23605,25470,15300,27650,30390,8675,9700,12550,16600,17405,18240,14225,-1,-1,18835,20430,21680,20900,35585,33040,50555,20975,21585,8020,9210,-1,-1,-1,-1,26935,29050,30920,-1,25505,40135,-1,-1,Carrier
1270,3095,5480,20470,15995,18985,22225,28130,1880,2420,11995,21115,6685,2910,8705,21300,8180,10715,8925,-1,-1,23835,-1,-1,8595,9700,10050,11085,18120,11535,12175,-1,-1,14455,-1,-1,-1,-1,-1,-1,15865,16755,7780,29820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Carrier
1300,3905,3220,-1,7690,-1,-1,-1,2115,8345,9255,-1,4525,-1,5760,8040,2770,3575,5010,9655,-1,-1,-1,-1,6085,-1,-1,-1,-1,-1,-1,-1,-1,7545,-1,-1,-1,-1,-1,-1,8910,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Unknown
1224,3722,2040,17200,11370,14900,22746,23402,2428,16576,-1,-1,3416,-1,-1,-1,5736,6464,26168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5220,6676,7796,6898,7656,10362,-1,-1,-1,4404,5548,-1,-1,-1,-1,-1,-1,-1,-1,9132,-1,-1,-1,Carrier
