Protoss_Pylon2 129; Protoss_Pylon 52; Protoss_Opening FastObs; Protoss_Assimilator 138; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 947; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 638; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 963; Protoss_Gateway2 106; Protoss_Forge 387; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 626; Protoss_Cybernetics_Core 257; 
Protoss_Pylon2 132; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 218; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 341; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 755; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 487; Protoss_Gateway2 105; Protoss_Forge 344; Protoss_Templar_Archives 549; Protoss_Photon_Cannon 379; Protoss_Cybernetics_Core 238; 
Protoss_Pylon2 142; Protoss_Pylon 48; Protoss_Opening ReaverDrop; Protoss_Assimilator 100; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 240; Protoss_Expansion 404; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 186; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 420; Protoss_Gateway2 509; Protoss_Forge 453; Protoss_Templar_Archives 481; Protoss_Photon_Cannon 638; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 139; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 103; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 536; Protoss_Expansion 273; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 284; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 666; Protoss_Gateway2 156; Protoss_Forge 623; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 784; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 131; Protoss_Pylon 49; Protoss_Opening Carrier; Protoss_Assimilator 74; Protoss_Gateway 99; Protoss_Robotics_Support_Bay 1034; Protoss_Expansion 364; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 218; Protoss_Fleet_Beacon 0; Protoss_Stargate 184; Protoss_Citadel_of_Adun 194; Protoss_Gateway2 257; Protoss_Forge 269; Protoss_Templar_Archives 265; Protoss_Photon_Cannon 655; Protoss_Cybernetics_Core 142; 
Protoss_Pylon2 134; Protoss_Pylon 49; Protoss_Opening FastObs; Protoss_Assimilator 97; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 422; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 168; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 653; Protoss_Gateway2 291; Protoss_Forge 636; Protoss_Templar_Archives 823; Protoss_Photon_Cannon 673; Protoss_Cybernetics_Core 118; 
Protoss_Pylon2 161; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 156; Protoss_Gateway 143; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 122; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 953; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 624; Protoss_Gateway2 200; Protoss_Forge 871; Protoss_Templar_Archives 831; Protoss_Photon_Cannon 910; Protoss_Cybernetics_Core 185; 
Protoss_Pylon2 136; Protoss_Pylon 49; Protoss_Opening FastObs; Protoss_Assimilator 107; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 707; Protoss_Expansion 466; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 384; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 924; Protoss_Gateway2 221; Protoss_Forge 842; Protoss_Templar_Archives 1053; Protoss_Photon_Cannon 962; Protoss_Cybernetics_Core 124; 
Protoss_Pylon2 80; Protoss_Pylon 29; Protoss_Opening FastExpand; Protoss_Assimilator 57; Protoss_Gateway 61; Protoss_Robotics_Support_Bay 405; Protoss_Expansion 314; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 346; Protoss_Fleet_Beacon 0; Protoss_Stargate 808; Protoss_Citadel_of_Adun 658; Protoss_Gateway2 803; Protoss_Forge 71; Protoss_Templar_Archives 761; Protoss_Photon_Cannon 103; Protoss_Cybernetics_Core 292; 
Protoss_Pylon2 52; Protoss_Pylon 14; Protoss_Opening FastExpand; Protoss_Assimilator 32; Protoss_Gateway 42; Protoss_Robotics_Support_Bay 606; Protoss_Expansion 299; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 545; Protoss_Fleet_Beacon 678; Protoss_Stargate 617; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 55; Protoss_Forge 91; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 121; Protoss_Cybernetics_Core 90; 
Protoss_Pylon2 146; Protoss_Pylon 52; Protoss_Opening FastObs; Protoss_Assimilator 102; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 492; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 178; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 224; Protoss_Gateway2 284; Protoss_Forge 992; Protoss_Templar_Archives 684; Protoss_Photon_Cannon 1032; Protoss_Cybernetics_Core 129; 
