Terran_Control_Tower 622; Terran_Comsat_Station 666; Terran_Barracks 83; Terran_Expansion 376; Terran_Refinery 116; Terran_Barracks2 510; Terran_Missile_Turret 436; Terran_Supply_Depot 58; Terran_Engineering_Bay 300; Terran_Science_Facility -1; Terran_Machine_Shop 228; Terran_Armory -1; Terran_Starport 548; Terran_Opening rax_fe; Terran_Academy 590; Terran_Bunker 258; Terran_Factory 168; 
Terran_Control_Tower 430; Terran_Comsat_Station 530; Terran_Barracks 92; Terran_Expansion 294; Terran_Refinery 116; Terran_Barracks2 380; Terran_Missile_Turret 441; Terran_Supply_Depot 59; Terran_Engineering_Bay 340; Terran_Science_Facility 0; Terran_Machine_Shop 223; Terran_Armory 870; Terran_Starport 355; Terran_Opening two_facto; Terran_Academy 472; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 969; Terran_Comsat_Station 408; Terran_Barracks 93; Terran_Expansion 301; Terran_Refinery 106; Terran_Barracks2 182; Terran_Missile_Turret 581; Terran_Supply_Depot 61; Terran_Engineering_Bay 534; Terran_Science_Facility -1; Terran_Machine_Shop 211; Terran_Armory -1; Terran_Starport 836; Terran_Opening rax_fe; Terran_Academy 347; Terran_Bunker 198; Terran_Factory 158; 
Terran_Control_Tower 270; Terran_Comsat_Station 772; Terran_Barracks 92; Terran_Expansion 453; Terran_Refinery 106; Terran_Barracks2 158; Terran_Missile_Turret 389; Terran_Supply_Depot 58; Terran_Engineering_Bay 322; Terran_Science_Facility -1; Terran_Machine_Shop 233; Terran_Armory 226; Terran_Starport 216; Terran_Opening unknown; Terran_Academy 649; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 293; Terran_Comsat_Station 596; Terran_Barracks 121; Terran_Expansion 432; Terran_Refinery 90; Terran_Barracks2 458; Terran_Missile_Turret 382; Terran_Supply_Depot 63; Terran_Engineering_Bay 343; Terran_Science_Facility 0; Terran_Machine_Shop 238; Terran_Armory 231; Terran_Starport 246; Terran_Opening two_facto; Terran_Academy 540; Terran_Bunker -1; Terran_Factory 179; 
Terran_Control_Tower 0; Terran_Comsat_Station 569; Terran_Barracks 92; Terran_Expansion 497; Terran_Refinery 109; Terran_Barracks2 -1; Terran_Missile_Turret 433; Terran_Supply_Depot 61; Terran_Engineering_Bay 387; Terran_Science_Facility 0; Terran_Machine_Shop 226; Terran_Armory -1; Terran_Starport 926; Terran_Opening vultures; Terran_Academy 513; Terran_Bunker -1; Terran_Factory 172; 
Terran_Control_Tower 920; Terran_Comsat_Station 516; Terran_Barracks 86; Terran_Expansion 311; Terran_Refinery 102; Terran_Barracks2 283; Terran_Missile_Turret 401; Terran_Supply_Depot 68; Terran_Engineering_Bay 356; Terran_Science_Facility 982; Terran_Machine_Shop 210; Terran_Armory 621; Terran_Starport 854; Terran_Opening two_facto; Terran_Academy 464; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 277; Terran_Comsat_Station 665; Terran_Barracks 86; Terran_Expansion 464; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 393; Terran_Supply_Depot 60; Terran_Engineering_Bay 311; Terran_Science_Facility -1; Terran_Machine_Shop 230; Terran_Armory -1; Terran_Starport 229; Terran_Opening drop; Terran_Academy 561; Terran_Bunker 420; Terran_Factory 175; 
Terran_Control_Tower 788; Terran_Comsat_Station 315; Terran_Barracks 89; Terran_Expansion 518; Terran_Refinery 215; Terran_Barracks2 110; Terran_Missile_Turret 442; Terran_Supply_Depot 60; Terran_Engineering_Bay 320; Terran_Science_Facility -1; Terran_Machine_Shop 393; Terran_Armory -1; Terran_Starport 737; Terran_Opening bio; Terran_Academy 207; Terran_Bunker -1; Terran_Factory 325; 
Terran_Control_Tower 0; Terran_Comsat_Station 569; Terran_Barracks 92; Terran_Expansion 497; Terran_Refinery 109; Terran_Barracks2 -1; Terran_Missile_Turret 433; Terran_Supply_Depot 61; Terran_Engineering_Bay 387; Terran_Science_Facility 0; Terran_Machine_Shop 226; Terran_Armory -1; Terran_Starport 926; Terran_Opening vultures; Terran_Academy 513; Terran_Bunker -1; Terran_Factory 172; 
Terran_Control_Tower 273; Terran_Comsat_Station 429; Terran_Barracks 111; Terran_Expansion 329; Terran_Refinery 89; Terran_Barracks2 166; Terran_Missile_Turret 991; Terran_Supply_Depot 60; Terran_Engineering_Bay 577; Terran_Science_Facility 0; Terran_Machine_Shop 223; Terran_Armory 222; Terran_Starport 224; Terran_Opening drop; Terran_Academy 371; Terran_Bunker -1; Terran_Factory 167; 
