Terran_Control_Tower 622; Terran_Comsat_Station 666; Terran_Barracks 83; Terran_Expansion 376; Terran_Refinery 116; Terran_Barracks2 510; Terran_Missile_Turret 436; Terran_Supply_Depot 58; Terran_Engineering_Bay 300; Terran_Science_Facility -1; Terran_Machine_Shop 228; Terran_Armory -1; Terran_Starport 548; Terran_Opening ; Terran_Academy 590; Terran_Bunker 258; Terran_Factory 168; 
Terran_Control_Tower 430; Terran_Comsat_Station 530; Terran_Barracks 92; Terran_Expansion 294; Terran_Refinery 116; Terran_Barracks2 380; Terran_Missile_Turret 441; Terran_Supply_Depot 59; Terran_Engineering_Bay 340; Terran_Science_Facility 0; Terran_Machine_Shop 223; Terran_Armory 870; Terran_Starport 355; Terran_Opening two_facto; Terran_Academy 472; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 969; Terran_Comsat_Station 408; Terran_Barracks 93; Terran_Expansion 301; Terran_Refinery 106; Terran_Barracks2 182; Terran_Missile_Turret 581; Terran_Supply_Depot 61; Terran_Engineering_Bay 534; Terran_Science_Facility -1; Terran_Machine_Shop 211; Terran_Armory -1; Terran_Starport 836; Terran_Opening ; Terran_Academy 347; Terran_Bunker 198; Terran_Factory 158; 
Terran_Control_Tower 270; Terran_Comsat_Station 772; Terran_Barracks 92; Terran_Expansion 453; Terran_Refinery 106; Terran_Barracks2 158; Terran_Missile_Turret 389; Terran_Supply_Depot 58; Terran_Engineering_Bay 322; Terran_Science_Facility -1; Terran_Machine_Shop 233; Terran_Armory 226; Terran_Starport 216; Terran_Opening unknown; Terran_Academy 649; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 293; Terran_Comsat_Station 596; Terran_Barracks 121; Terran_Expansion 432; Terran_Refinery 90; Terran_Barracks2 458; Terran_Missile_Turret 382; Terran_Supply_Depot 63; Terran_Engineering_Bay 343; Terran_Science_Facility 0; Terran_Machine_Shop 238; Terran_Armory 231; Terran_Starport 246; Terran_Opening two_facto; Terran_Academy 540; Terran_Bunker -1; Terran_Factory 179; 
Terran_Control_Tower 0; Terran_Comsat_Station 569; Terran_Barracks 92; Terran_Expansion 497; Terran_Refinery 109; Terran_Barracks2 -1; Terran_Missile_Turret 433; Terran_Supply_Depot 61; Terran_Engineering_Bay 387; Terran_Science_Facility 0; Terran_Machine_Shop 226; Terran_Armory -1; Terran_Starport 926; Terran_Opening vultures; Terran_Academy 513; Terran_Bunker -1; Terran_Factory 172; 
Terran_Control_Tower 277; Terran_Comsat_Station 665; Terran_Barracks 86; Terran_Expansion 464; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 393; Terran_Supply_Depot 60; Terran_Engineering_Bay 311; Terran_Science_Facility -1; Terran_Machine_Shop 230; Terran_Armory -1; Terran_Starport 229; Terran_Opening air; Terran_Academy 561; Terran_Bunker 420; Terran_Factory 175; 
Terran_Control_Tower 788; Terran_Comsat_Station 315; Terran_Barracks 89; Terran_Expansion 518; Terran_Refinery 215; Terran_Barracks2 110; Terran_Missile_Turret 442; Terran_Supply_Depot 60; Terran_Engineering_Bay 320; Terran_Science_Facility -1; Terran_Machine_Shop 393; Terran_Armory -1; Terran_Starport 737; Terran_Opening ; Terran_Academy 207; Terran_Bunker -1; Terran_Factory 325; 
Terran_Control_Tower 0; Terran_Comsat_Station 569; Terran_Barracks 92; Terran_Expansion 497; Terran_Refinery 109; Terran_Barracks2 -1; Terran_Missile_Turret 433; Terran_Supply_Depot 61; Terran_Engineering_Bay 387; Terran_Science_Facility 0; Terran_Machine_Shop 226; Terran_Armory -1; Terran_Starport 926; Terran_Opening vultures; Terran_Academy 513; Terran_Bunker -1; Terran_Factory 172; 
Terran_Control_Tower 273; Terran_Comsat_Station 429; Terran_Barracks 111; Terran_Expansion 329; Terran_Refinery 89; Terran_Barracks2 166; Terran_Missile_Turret 991; Terran_Supply_Depot 60; Terran_Engineering_Bay 577; Terran_Science_Facility 0; Terran_Machine_Shop 223; Terran_Armory 222; Terran_Starport 224; Terran_Opening air; Terran_Academy 371; Terran_Bunker -1; Terran_Factory 167; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening ; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 255; Terran_Comsat_Station 642; Terran_Barracks 91; Terran_Expansion 356; Terran_Refinery 102; Terran_Barracks2 366; Terran_Missile_Turret 359; Terran_Supply_Depot 61; Terran_Engineering_Bay 278; Terran_Science_Facility 1073; Terran_Machine_Shop 209; Terran_Armory 0; Terran_Starport 208; Terran_Opening air; Terran_Academy 571; Terran_Bunker 1058; Terran_Factory 156; 
Terran_Control_Tower 255; Terran_Comsat_Station 642; Terran_Barracks 91; Terran_Expansion 356; Terran_Refinery 102; Terran_Barracks2 366; Terran_Missile_Turret 359; Terran_Supply_Depot 61; Terran_Engineering_Bay 278; Terran_Science_Facility 1073; Terran_Machine_Shop 209; Terran_Armory 0; Terran_Starport 208; Terran_Opening air; Terran_Academy 571; Terran_Bunker 1058; Terran_Factory 156; 
Terran_Control_Tower -1; Terran_Comsat_Station 375; Terran_Barracks 98; Terran_Expansion 190; Terran_Refinery 297; Terran_Barracks2 117; Terran_Missile_Turret 759; Terran_Supply_Depot 63; Terran_Engineering_Bay 690; Terran_Science_Facility -1; Terran_Machine_Shop 424; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 307; Terran_Bunker 572; Terran_Factory 366; 
Terran_Control_Tower 1001; Terran_Comsat_Station 852; Terran_Barracks 88; Terran_Expansion 274; Terran_Refinery 105; Terran_Barracks2 190; Terran_Missile_Turret 354; Terran_Supply_Depot 58; Terran_Engineering_Bay 314; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory 963; Terran_Starport 812; Terran_Opening ; Terran_Academy 701; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 523; Terran_Comsat_Station 609; Terran_Barracks 83; Terran_Expansion 450; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret 328; Terran_Supply_Depot 61; Terran_Engineering_Bay 282; Terran_Science_Facility -1; Terran_Machine_Shop 226; Terran_Armory 693; Terran_Starport 471; Terran_Opening two_facto; Terran_Academy 526; Terran_Bunker 311; Terran_Factory 169; 
Terran_Control_Tower 274; Terran_Comsat_Station 825; Terran_Barracks 94; Terran_Expansion 457; Terran_Refinery 105; Terran_Barracks2 354; Terran_Missile_Turret 617; Terran_Supply_Depot 66; Terran_Engineering_Bay 574; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory 730; Terran_Starport 218; Terran_Opening air; Terran_Academy 765; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 263; Terran_Comsat_Station 756; Terran_Barracks 90; Terran_Expansion 417; Terran_Refinery 101; Terran_Barracks2 363; Terran_Missile_Turret 388; Terran_Supply_Depot 60; Terran_Engineering_Bay 340; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 665; Terran_Starport 214; Terran_Opening air; Terran_Academy 637; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening ; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 257; Terran_Comsat_Station 667; Terran_Barracks 89; Terran_Expansion 617; Terran_Refinery 105; Terran_Barracks2 484; Terran_Missile_Turret 331; Terran_Supply_Depot 62; Terran_Engineering_Bay 284; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory 372; Terran_Starport 209; Terran_Opening air; Terran_Academy 588; Terran_Bunker 535; Terran_Factory 156; 
Terran_Control_Tower 263; Terran_Comsat_Station 756; Terran_Barracks 90; Terran_Expansion 417; Terran_Refinery 101; Terran_Barracks2 363; Terran_Missile_Turret 388; Terran_Supply_Depot 60; Terran_Engineering_Bay 340; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 665; Terran_Starport 214; Terran_Opening air; Terran_Academy 637; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 398; Terran_Comsat_Station 356; Terran_Barracks 103; Terran_Expansion 234; Terran_Refinery 99; Terran_Barracks2 -1; Terran_Missile_Turret 376; Terran_Supply_Depot 60; Terran_Engineering_Bay 326; Terran_Science_Facility -1; Terran_Machine_Shop 215; Terran_Armory 499; Terran_Starport 329; Terran_Opening air; Terran_Academy 291; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower 274; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 458; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 312; Terran_Supply_Depot 55; Terran_Engineering_Bay 258; Terran_Science_Facility -1; Terran_Machine_Shop 221; Terran_Armory -1; Terran_Starport 220; Terran_Opening air; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 166; 
Terran_Control_Tower 349; Terran_Comsat_Station 526; Terran_Barracks 89; Terran_Expansion 393; Terran_Refinery 107; Terran_Barracks2 191; Terran_Missile_Turret 354; Terran_Supply_Depot 58; Terran_Engineering_Bay 303; Terran_Science_Facility 813; Terran_Machine_Shop 239; Terran_Armory 645; Terran_Starport 250; Terran_Opening air; Terran_Academy 465; Terran_Bunker 784; Terran_Factory 164; 
Terran_Control_Tower 261; Terran_Comsat_Station 650; Terran_Barracks 90; Terran_Expansion 367; Terran_Refinery 109; Terran_Barracks2 146; Terran_Missile_Turret 319; Terran_Supply_Depot 62; Terran_Engineering_Bay 278; Terran_Science_Facility -1; Terran_Machine_Shop 212; Terran_Armory -1; Terran_Starport 213; Terran_Opening air; Terran_Academy 508; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower 262; Terran_Comsat_Station 562; Terran_Barracks 90; Terran_Expansion 358; Terran_Refinery 107; Terran_Barracks2 395; Terran_Missile_Turret 389; Terran_Supply_Depot 60; Terran_Engineering_Bay 315; Terran_Science_Facility -1; Terran_Machine_Shop 211; Terran_Armory 686; Terran_Starport 213; Terran_Opening air; Terran_Academy 505; Terran_Bunker 364; Terran_Factory 156; 
Terran_Control_Tower 329; Terran_Comsat_Station 782; Terran_Barracks 91; Terran_Expansion 518; Terran_Refinery 143; Terran_Barracks2 116; Terran_Missile_Turret 429; Terran_Supply_Depot 60; Terran_Engineering_Bay 375; Terran_Science_Facility 934; Terran_Machine_Shop 271; Terran_Armory -1; Terran_Starport 271; Terran_Opening air; Terran_Academy 709; Terran_Bunker 661; Terran_Factory 217; 
Terran_Control_Tower 255; Terran_Comsat_Station 642; Terran_Barracks 91; Terran_Expansion 356; Terran_Refinery 102; Terran_Barracks2 366; Terran_Missile_Turret 359; Terran_Supply_Depot 61; Terran_Engineering_Bay 278; Terran_Science_Facility 1073; Terran_Machine_Shop 209; Terran_Armory 0; Terran_Starport 208; Terran_Opening air; Terran_Academy 571; Terran_Bunker 1058; Terran_Factory 156; 
Terran_Control_Tower 260; Terran_Comsat_Station 593; Terran_Barracks 92; Terran_Expansion 345; Terran_Refinery 110; Terran_Barracks2 -1; Terran_Missile_Turret 408; Terran_Supply_Depot 61; Terran_Engineering_Bay 363; Terran_Science_Facility 0; Terran_Machine_Shop 213; Terran_Armory 1059; Terran_Starport 214; Terran_Opening air; Terran_Academy 537; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower -1; Terran_Comsat_Station 603; Terran_Barracks 89; Terran_Expansion 379; Terran_Refinery 104; Terran_Barracks2 314; Terran_Missile_Turret 426; Terran_Supply_Depot 59; Terran_Engineering_Bay 385; Terran_Science_Facility -1; Terran_Machine_Shop 212; Terran_Armory 802; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 548; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 84; Terran_Expansion -1; Terran_Refinery 107; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 222; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 170; 
Terran_Control_Tower 407; Terran_Comsat_Station 551; Terran_Barracks 90; Terran_Expansion 342; Terran_Refinery 104; Terran_Barracks2 308; Terran_Missile_Turret 312; Terran_Supply_Depot 63; Terran_Engineering_Bay 255; Terran_Science_Facility -1; Terran_Machine_Shop 213; Terran_Armory 1067; Terran_Starport 329; Terran_Opening two_facto; Terran_Academy 426; Terran_Bunker 358; Terran_Factory 155; 
Terran_Control_Tower 696; Terran_Comsat_Station 548; Terran_Barracks 89; Terran_Expansion 298; Terran_Refinery 100; Terran_Barracks2 305; Terran_Missile_Turret 421; Terran_Supply_Depot 58; Terran_Engineering_Bay 378; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory 678; Terran_Starport 368; Terran_Opening air; Terran_Academy 479; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 473; Terran_Comsat_Station 835; Terran_Barracks 82; Terran_Expansion 562; Terran_Refinery 103; Terran_Barracks2 715; Terran_Missile_Turret 952; Terran_Supply_Depot 57; Terran_Engineering_Bay 851; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory 859; Terran_Starport 425; Terran_Opening unknown; Terran_Academy 713; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 1001; Terran_Comsat_Station 852; Terran_Barracks 88; Terran_Expansion 274; Terran_Refinery 105; Terran_Barracks2 190; Terran_Missile_Turret 354; Terran_Supply_Depot 58; Terran_Engineering_Bay 314; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory 963; Terran_Starport 812; Terran_Opening ; Terran_Academy 701; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion 365; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 62; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station 938; Terran_Barracks 100; Terran_Expansion 622; Terran_Refinery 103; Terran_Barracks2 832; Terran_Missile_Turret 509; Terran_Supply_Depot 60; Terran_Engineering_Bay 302; Terran_Science_Facility -1; Terran_Machine_Shop 313; Terran_Armory 881; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 884; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 387; Terran_Comsat_Station 259; Terran_Barracks 139; Terran_Expansion 116; Terran_Refinery 151; Terran_Barracks2 196; Terran_Missile_Turret 407; Terran_Supply_Depot 56; Terran_Engineering_Bay 364; Terran_Science_Facility 884; Terran_Machine_Shop 255; Terran_Armory 677; Terran_Starport 342; Terran_Opening air; Terran_Academy 202; Terran_Bunker 320; Terran_Factory 200; 
Terran_Control_Tower 263; Terran_Comsat_Station 756; Terran_Barracks 90; Terran_Expansion 417; Terran_Refinery 101; Terran_Barracks2 363; Terran_Missile_Turret 388; Terran_Supply_Depot 60; Terran_Engineering_Bay 340; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 665; Terran_Starport 214; Terran_Opening air; Terran_Academy 637; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower -1; Terran_Comsat_Station 501; Terran_Barracks 99; Terran_Expansion 241; Terran_Refinery 115; Terran_Barracks2 -1; Terran_Missile_Turret 551; Terran_Supply_Depot 59; Terran_Engineering_Bay 482; Terran_Science_Facility -1; Terran_Machine_Shop 231; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 437; Terran_Bunker 364; Terran_Factory 175; 
Terran_Control_Tower 473; Terran_Comsat_Station 835; Terran_Barracks 82; Terran_Expansion 562; Terran_Refinery 103; Terran_Barracks2 715; Terran_Missile_Turret 952; Terran_Supply_Depot 57; Terran_Engineering_Bay 851; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory 859; Terran_Starport 425; Terran_Opening unknown; Terran_Academy 713; Terran_Bunker -1; Terran_Factory 155; 
