Zerg_Hive 1074; Zerg_Opening unknown; Zerg_Spawning_Pool 125; Zerg_Extractor 263; Zerg_Creep_Colony 180; Zerg_Evolution_Chamber 526; Zerg_Queens_Nest 872; Zerg_Sunken_Colony 221; Zerg_Spore_Colony -1; Zerg_Expansion 99; Zerg_Hydralisk_Den 308; Zerg_Greater_Spire -1; Zerg_Expansion2 251; Zerg_Lair 597; Zerg_Ultralisk_Cavern -1; Zerg_Spire 662; Zerg_Building_Overlord 50; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 66; Zerg_Extractor 91; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 194; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 468; Zerg_Lair 258; Zerg_Ultralisk_Cavern -1; Zerg_Spire 351; Zerg_Building_Overlord 84; Zerg_Defiler_Mound -1; 
Zerg_Hive 1077; Zerg_Opening speedlings; Zerg_Spawning_Pool 126; Zerg_Extractor 195; Zerg_Creep_Colony 453; Zerg_Evolution_Chamber 938; Zerg_Queens_Nest 1025; Zerg_Sunken_Colony 499; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 425; Zerg_Greater_Spire -1; Zerg_Expansion2 183; Zerg_Lair 372; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 68; Zerg_Extractor 91; Zerg_Creep_Colony 451; Zerg_Evolution_Chamber 776; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 480; Zerg_Spore_Colony -1; Zerg_Expansion 195; Zerg_Hydralisk_Den 308; Zerg_Greater_Spire -1; Zerg_Expansion2 993; Zerg_Lair 373; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 85; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening speedlings; Zerg_Spawning_Pool 100; Zerg_Extractor 270; Zerg_Creep_Colony 226; Zerg_Evolution_Chamber 418; Zerg_Queens_Nest 1077; Zerg_Sunken_Colony 242; Zerg_Spore_Colony 551; Zerg_Expansion 142; Zerg_Hydralisk_Den 643; Zerg_Greater_Spire -1; Zerg_Expansion2 250; Zerg_Lair 788; Zerg_Ultralisk_Cavern 0; Zerg_Spire 855; Zerg_Building_Overlord 52; Zerg_Defiler_Mound 0; 
Zerg_Hive 890; Zerg_Opening speedlings; Zerg_Spawning_Pool 90; Zerg_Extractor 101; Zerg_Creep_Colony 264; Zerg_Evolution_Chamber 334; Zerg_Queens_Nest 831; Zerg_Sunken_Colony 380; Zerg_Spore_Colony -1; Zerg_Expansion 173; Zerg_Hydralisk_Den 418; Zerg_Greater_Spire 967; Zerg_Expansion2 256; Zerg_Lair 387; Zerg_Ultralisk_Cavern -1; Zerg_Spire 576; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening speedlings; Zerg_Spawning_Pool 100; Zerg_Extractor 270; Zerg_Creep_Colony 226; Zerg_Evolution_Chamber 418; Zerg_Queens_Nest 1077; Zerg_Sunken_Colony 242; Zerg_Spore_Colony 551; Zerg_Expansion 142; Zerg_Hydralisk_Den 643; Zerg_Greater_Spire -1; Zerg_Expansion2 250; Zerg_Lair 788; Zerg_Ultralisk_Cavern 0; Zerg_Spire 855; Zerg_Building_Overlord 52; Zerg_Defiler_Mound 0; 
Zerg_Hive 890; Zerg_Opening speedlings; Zerg_Spawning_Pool 90; Zerg_Extractor 101; Zerg_Creep_Colony 264; Zerg_Evolution_Chamber 334; Zerg_Queens_Nest 831; Zerg_Sunken_Colony 380; Zerg_Spore_Colony -1; Zerg_Expansion 173; Zerg_Hydralisk_Den 418; Zerg_Greater_Spire 967; Zerg_Expansion2 256; Zerg_Lair 387; Zerg_Ultralisk_Cavern -1; Zerg_Spire 576; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening unknown; Zerg_Spawning_Pool 69; Zerg_Extractor 85; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 221; Zerg_Hydralisk_Den 396; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 174; Zerg_Ultralisk_Cavern -1; Zerg_Spire 241; Zerg_Building_Overlord 92; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 152; Zerg_Extractor 126; Zerg_Creep_Colony 335; Zerg_Evolution_Chamber 301; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 1012; Zerg_Spore_Colony 354; Zerg_Expansion 111; Zerg_Hydralisk_Den 255; Zerg_Greater_Spire -1; Zerg_Expansion2 240; Zerg_Lair 208; Zerg_Ultralisk_Cavern -1; Zerg_Spire 0; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 125; Zerg_Extractor 233; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 98; Zerg_Hydralisk_Den 278; Zerg_Greater_Spire -1; Zerg_Expansion2 196; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening unknown; Zerg_Spawning_Pool 124; Zerg_Extractor 155; Zerg_Creep_Colony 866; Zerg_Evolution_Chamber 464; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 903; Zerg_Spore_Colony -1; Zerg_Expansion 105; Zerg_Hydralisk_Den 232; Zerg_Greater_Spire -1; Zerg_Expansion2 337; Zerg_Lair 219; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 675; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 114; Zerg_Extractor 135; Zerg_Creep_Colony 188; Zerg_Evolution_Chamber 521; Zerg_Queens_Nest 595; Zerg_Sunken_Colony 204; Zerg_Spore_Colony 712; Zerg_Expansion 89; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 775; Zerg_Expansion2 435; Zerg_Lair 351; Zerg_Ultralisk_Cavern 0; Zerg_Spire 416; Zerg_Building_Overlord 148; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 68; Zerg_Extractor 86; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 237; Zerg_Hydralisk_Den 555; Zerg_Greater_Spire -1; Zerg_Expansion2 294; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 103; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 68; Zerg_Extractor 86; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 237; Zerg_Hydralisk_Den 555; Zerg_Greater_Spire -1; Zerg_Expansion2 294; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 103; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 130; Zerg_Extractor 149; Zerg_Creep_Colony 517; Zerg_Evolution_Chamber 757; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 534; Zerg_Spore_Colony -1; Zerg_Expansion 112; Zerg_Hydralisk_Den 298; Zerg_Greater_Spire -1; Zerg_Expansion2 413; Zerg_Lair 337; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
