Zerg_Hive 816; Zerg_Opening ; Zerg_Spawning_Pool 118; Zerg_Extractor 66; Zerg_Creep_Colony 483; Zerg_Evolution_Chamber 977; Zerg_Queens_Nest 733; Zerg_Sunken_Colony 501; Zerg_Spore_Colony -1; Zerg_Expansion 203; Zerg_Hydralisk_Den 1070; Zerg_Greater_Spire 893; Zerg_Expansion2 377; Zerg_Lair 170; Zerg_Ultralisk_Cavern 900; Zerg_Spire 244; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 1068; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 131; Zerg_Extractor 140; Zerg_Creep_Colony 307; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 325; Zerg_Spore_Colony -1; Zerg_Expansion 105; Zerg_Hydralisk_Den 260; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 192; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 659; Zerg_Opening speedlings; Zerg_Spawning_Pool 124; Zerg_Extractor 140; Zerg_Creep_Colony 307; Zerg_Evolution_Chamber 857; Zerg_Queens_Nest 520; Zerg_Sunken_Colony 324; Zerg_Spore_Colony -1; Zerg_Expansion 107; Zerg_Hydralisk_Den 375; Zerg_Greater_Spire -1; Zerg_Expansion2 190; Zerg_Lair 246; Zerg_Ultralisk_Cavern -1; Zerg_Spire 666; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 868; 
Zerg_Hive 802; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 129; Zerg_Extractor 104; Zerg_Creep_Colony 182; Zerg_Evolution_Chamber 755; Zerg_Queens_Nest 758; Zerg_Sunken_Colony 203; Zerg_Spore_Colony -1; Zerg_Expansion 102; Zerg_Hydralisk_Den 232; Zerg_Greater_Spire -1; Zerg_Expansion2 407; Zerg_Lair 185; Zerg_Ultralisk_Cavern 0; Zerg_Spire 252; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 894; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 102; Zerg_Extractor 63; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 355; Zerg_Hydralisk_Den 188; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 155; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 50; Zerg_Defiler_Mound -1; 
Zerg_Hive 879; Zerg_Opening lurkers; Zerg_Spawning_Pool 137; Zerg_Extractor 144; Zerg_Creep_Colony 209; Zerg_Evolution_Chamber 328; Zerg_Queens_Nest 523; Zerg_Sunken_Colony 227; Zerg_Spore_Colony 387; Zerg_Expansion 125; Zerg_Hydralisk_Den 248; Zerg_Greater_Spire -1; Zerg_Expansion2 465; Zerg_Lair 214; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 1013; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 70; Zerg_Extractor 83; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den 181; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 147; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 96; Zerg_Defiler_Mound -1; 
Zerg_Hive 998; Zerg_Opening speedlings; Zerg_Spawning_Pool 128; Zerg_Extractor 138; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 694; Zerg_Queens_Nest 949; Zerg_Sunken_Colony 0; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 245; Zerg_Greater_Spire 0; Zerg_Expansion2 681; Zerg_Lair 197; Zerg_Ultralisk_Cavern 0; Zerg_Spire 1067; Zerg_Building_Overlord 63; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 130; Zerg_Extractor 139; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber 792; Zerg_Queens_Nest 0; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 331; Zerg_Greater_Spire -1; Zerg_Expansion2 662; Zerg_Lair 191; Zerg_Ultralisk_Cavern -1; Zerg_Spire 521; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 96; Zerg_Extractor 218; Zerg_Creep_Colony 215; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 232; Zerg_Spore_Colony -1; Zerg_Expansion 131; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 176; Zerg_Lair 299; Zerg_Ultralisk_Cavern -1; Zerg_Spire 363; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive 1036; Zerg_Opening hydras; Zerg_Spawning_Pool 140; Zerg_Extractor 63; Zerg_Creep_Colony 204; Zerg_Evolution_Chamber 498; Zerg_Queens_Nest 995; Zerg_Sunken_Colony 293; Zerg_Spore_Colony -1; Zerg_Expansion 113; Zerg_Hydralisk_Den 198; Zerg_Greater_Spire 0; Zerg_Expansion2 559; Zerg_Lair 219; Zerg_Ultralisk_Cavern -1; Zerg_Spire 290; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
