Protoss_Pylon2 136; Protoss_Pylon 49; Protoss_Opening FastObs; Protoss_Assimilator 107; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 707; Protoss_Expansion 466; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 384; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 924; Protoss_Gateway2 221; Protoss_Forge 842; Protoss_Templar_Archives 1053; Protoss_Photon_Cannon 962; Protoss_Cybernetics_Core 124; 
Protoss_Pylon2 153; Protoss_Pylon 51; Protoss_Opening ReaverDrop; Protoss_Assimilator 107; Protoss_Gateway 89; Protoss_Robotics_Support_Bay 253; Protoss_Expansion 428; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 183; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 663; Protoss_Gateway2 369; Protoss_Forge 776; Protoss_Templar_Archives 731; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 138; 
Protoss_Pylon2 150; Protoss_Pylon 48; Protoss_Opening FastObs; Protoss_Assimilator 103; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 436; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 304; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 465; Protoss_Gateway2 122; Protoss_Forge 607; Protoss_Templar_Archives 708; Protoss_Photon_Cannon 691; Protoss_Cybernetics_Core 215; 
Protoss_Pylon2 125; Protoss_Pylon 48; Protoss_Opening FastDT; Protoss_Assimilator 98; Protoss_Gateway 73; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 376; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 291; Protoss_Gateway2 170; Protoss_Forge 0; Protoss_Templar_Archives 335; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 217; 
Protoss_Pylon2 130; Protoss_Pylon 52; Protoss_Opening FastExpand; Protoss_Assimilator 265; Protoss_Gateway 151; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 122; Protoss_Arbiter_Tribunal 988; Protoss_Robotics_Facility 411; Protoss_Fleet_Beacon 0; Protoss_Stargate 934; Protoss_Citadel_of_Adun 455; Protoss_Gateway2 325; Protoss_Forge 366; Protoss_Templar_Archives 506; Protoss_Photon_Cannon 396; Protoss_Cybernetics_Core 283; 
Protoss_Pylon2 176; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 221; Protoss_Gateway 135; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 121; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 552; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 359; Protoss_Gateway2 158; Protoss_Forge 381; Protoss_Templar_Archives 410; Protoss_Photon_Cannon 412; Protoss_Cybernetics_Core 245; 
Protoss_Pylon2 142; Protoss_Pylon 53; Protoss_Opening ReaverDrop; Protoss_Assimilator 103; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 245; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 183; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 317; Protoss_Forge 385; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 156; Protoss_Pylon 51; Protoss_Opening FastDT; Protoss_Assimilator 108; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 450; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 594; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 224; Protoss_Gateway2 193; Protoss_Forge 359; Protoss_Templar_Archives 298; Protoss_Photon_Cannon 391; Protoss_Cybernetics_Core 140; 
Protoss_Pylon2 145; Protoss_Pylon 54; Protoss_Opening FastObs; Protoss_Assimilator 161; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 439; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 283; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 324; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 212; 
Protoss_Pylon2 134; Protoss_Pylon 50; Protoss_Opening FastObs; Protoss_Assimilator 103; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 397; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 260; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 435; Protoss_Gateway2 175; Protoss_Forge 741; Protoss_Templar_Archives 480; Protoss_Photon_Cannon 833; Protoss_Cybernetics_Core 155; 
Protoss_Pylon2 144; Protoss_Pylon 52; Protoss_Opening Unknown; Protoss_Assimilator 97; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 274; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 127; Protoss_Pylon 56; Protoss_Opening ReaverDrop; Protoss_Assimilator 283; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 446; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 388; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 586; Protoss_Forge 241; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 272; Protoss_Cybernetics_Core 323; 
Protoss_Pylon2 127; Protoss_Pylon 47; Protoss_Opening FastObs; Protoss_Assimilator 159; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 425; Protoss_Expansion 391; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 292; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 604; Protoss_Gateway2 100; Protoss_Forge 640; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 190; 
Protoss_Pylon2 132; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 181; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 318; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 357; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 500; Protoss_Gateway2 103; Protoss_Forge 581; Protoss_Templar_Archives 549; Protoss_Photon_Cannon 630; Protoss_Cybernetics_Core 237; 
Protoss_Pylon2 125; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 341; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 267; Protoss_Arbiter_Tribunal 1025; Protoss_Robotics_Facility 647; Protoss_Fleet_Beacon 0; Protoss_Stargate 950; Protoss_Citadel_of_Adun 404; Protoss_Gateway2 101; Protoss_Forge 297; Protoss_Templar_Archives 446; Protoss_Photon_Cannon 334; Protoss_Cybernetics_Core 362; 
Protoss_Pylon2 111; Protoss_Pylon 48; Protoss_Opening FastDT; Protoss_Assimilator 93; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 300; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 487; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 185; Protoss_Gateway2 395; Protoss_Forge 210; Protoss_Templar_Archives 233; Protoss_Photon_Cannon 308; Protoss_Cybernetics_Core 140; 
Protoss_Pylon2 136; Protoss_Pylon 52; Protoss_Opening FastObs; Protoss_Assimilator 159; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 409; Protoss_Expansion 555; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 326; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 115; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 227; 
