Protoss_Pylon2 52; Protoss_Pylon 14; Protoss_Opening ; Protoss_Assimilator 32; Protoss_Gateway 42; Protoss_Robotics_Support_Bay 606; Protoss_Expansion 299; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 545; Protoss_Fleet_Beacon 678; Protoss_Stargate 617; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 55; Protoss_Forge 91; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 121; Protoss_Cybernetics_Core 90; 
Protoss_Pylon2 129; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 100; Protoss_Gateway 82; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 166; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 394; 
Protoss_Pylon2 133; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 156; Protoss_Gateway 82; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 353; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 379; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 109; Protoss_Forge 384; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 415; Protoss_Cybernetics_Core 222; 
Protoss_Pylon2 133; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 147; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 315; Protoss_Expansion 475; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 247; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 884; Protoss_Gateway2 100; Protoss_Forge 612; Protoss_Templar_Archives 984; Protoss_Photon_Cannon 670; Protoss_Cybernetics_Core 181; 
Protoss_Pylon2 118; Protoss_Pylon 51; Protoss_Opening nony; Protoss_Assimilator 114; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 309; Protoss_Expansion 360; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 252; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 434; Protoss_Forge 503; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 167; 
Protoss_Pylon2 129; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 105; Protoss_Gateway 82; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 283; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 478; Protoss_Gateway2 143; Protoss_Forge -1; Protoss_Templar_Archives 523; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 238; 
Protoss_Pylon2 144; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 297; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 557; Protoss_Expansion 476; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 482; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 104; Protoss_Forge 0; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 340; 
Protoss_Pylon2 117; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 109; Protoss_Gateway 80; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 197; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 169; 
Protoss_Pylon2 132; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 107; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 1066; Protoss_Expansion 552; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 406; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 258; Protoss_Gateway2 225; Protoss_Forge 362; Protoss_Templar_Archives 300; Protoss_Photon_Cannon 436; Protoss_Cybernetics_Core 212; 
Protoss_Pylon2 127; Protoss_Pylon 56; Protoss_Opening ; Protoss_Assimilator 283; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 446; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 388; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 586; Protoss_Forge 241; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 272; Protoss_Cybernetics_Core 323; 
Protoss_Pylon2 111; Protoss_Pylon 47; Protoss_Opening unknown; Protoss_Assimilator 153; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 477; Protoss_Expansion 291; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 260; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 563; Protoss_Gateway2 366; Protoss_Forge 569; Protoss_Templar_Archives 659; Protoss_Photon_Cannon 624; Protoss_Cybernetics_Core 164; 
