Protoss_Pylon2 143; Protoss_Pylon 48; Protoss_Opening FastObs; Protoss_Assimilator 99; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 631; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 193; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 574; Protoss_Gateway2 299; Protoss_Forge 761; Protoss_Templar_Archives 806; Protoss_Photon_Cannon 852; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 149; Protoss_Pylon 47; Protoss_Opening ReaverDrop; Protoss_Assimilator 102; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 281; Protoss_Expansion 399; Protoss_Arbiter_Tribunal 672; Protoss_Robotics_Facility 215; Protoss_Fleet_Beacon 0; Protoss_Stargate 584; Protoss_Citadel_of_Adun 480; Protoss_Gateway2 290; Protoss_Forge 619; Protoss_Templar_Archives 594; Protoss_Photon_Cannon 675; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 166; Protoss_Pylon 51; Protoss_Opening FastDT; Protoss_Assimilator 100; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 522; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 492; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 442; Protoss_Gateway2 179; Protoss_Forge 737; Protoss_Templar_Archives 495; Protoss_Photon_Cannon 770; Protoss_Cybernetics_Core 148; 
Protoss_Pylon2 139; Protoss_Pylon 49; Protoss_Opening FastObs; Protoss_Assimilator 90; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 790; Protoss_Expansion 380; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 165; Protoss_Fleet_Beacon 985; Protoss_Stargate 914; Protoss_Citadel_of_Adun 490; Protoss_Gateway2 290; Protoss_Forge 545; Protoss_Templar_Archives 615; Protoss_Photon_Cannon 726; Protoss_Cybernetics_Core 120; 
Protoss_Pylon2 152; Protoss_Pylon 53; Protoss_Opening FastObs; Protoss_Assimilator 101; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 297; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 234; Protoss_Fleet_Beacon 910; Protoss_Stargate 849; Protoss_Citadel_of_Adun 473; Protoss_Gateway2 346; Protoss_Forge 575; Protoss_Templar_Archives 539; Protoss_Photon_Cannon 619; Protoss_Cybernetics_Core 134; 
Protoss_Pylon2 158; Protoss_Pylon 54; Protoss_Opening FastObs; Protoss_Assimilator 110; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 371; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 248; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 435; Protoss_Gateway2 262; Protoss_Forge 438; Protoss_Templar_Archives 514; Protoss_Photon_Cannon 895; Protoss_Cybernetics_Core 137; 
Protoss_Pylon2 150; Protoss_Pylon 52; Protoss_Opening FastObs; Protoss_Assimilator 102; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 657; Protoss_Expansion 367; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 247; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 503; Protoss_Gateway2 297; Protoss_Forge 444; Protoss_Templar_Archives 561; Protoss_Photon_Cannon 539; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 143; Protoss_Pylon 50; Protoss_Opening FastObs; Protoss_Assimilator 96; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 367; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 209; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 372; Protoss_Gateway2 309; Protoss_Forge 539; Protoss_Templar_Archives 423; Protoss_Photon_Cannon 579; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 145; Protoss_Pylon 51; Protoss_Opening FastObs; Protoss_Assimilator 95; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 427; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 226; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 468; Protoss_Gateway2 265; Protoss_Forge 565; Protoss_Templar_Archives 838; Protoss_Photon_Cannon 681; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 144; Protoss_Pylon 50; Protoss_Opening FastObs; Protoss_Assimilator 103; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 194; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 281; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 129; 
Protoss_Pylon2 159; Protoss_Pylon 52; Protoss_Opening FastObs; Protoss_Assimilator 111; Protoss_Gateway 87; Protoss_Robotics_Support_Bay 365; Protoss_Expansion 334; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 225; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 241; Protoss_Gateway2 327; Protoss_Forge 501; Protoss_Templar_Archives 421; Protoss_Photon_Cannon 539; Protoss_Cybernetics_Core 138; 
Protoss_Pylon2 156; Protoss_Pylon 50; Protoss_Opening FastObs; Protoss_Assimilator 99; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 342; Protoss_Expansion 399; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 227; Protoss_Fleet_Beacon 0; Protoss_Stargate 951; Protoss_Citadel_of_Adun 586; Protoss_Gateway2 415; Protoss_Forge 707; Protoss_Templar_Archives 953; Protoss_Photon_Cannon 807; Protoss_Cybernetics_Core 129; 
Protoss_Pylon2 152; Protoss_Pylon 52; Protoss_Opening FastExpand; Protoss_Assimilator 110; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 321; Protoss_Arbiter_Tribunal 606; Protoss_Robotics_Facility 359; Protoss_Fleet_Beacon 0; Protoss_Stargate 552; Protoss_Citadel_of_Adun 438; Protoss_Gateway2 342; Protoss_Forge 733; Protoss_Templar_Archives 553; Protoss_Photon_Cannon 792; Protoss_Cybernetics_Core 132; 
