Protoss_Pylon2 141; Protoss_Pylon 47; Protoss_Opening reaver_drop; Protoss_Assimilator 99; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 286; Protoss_Expansion 650; Protoss_Arbiter_Tribunal 937; Protoss_Robotics_Facility 191; Protoss_Fleet_Beacon -1; Protoss_Stargate 846; Protoss_Citadel_of_Adun 302; Protoss_Gateway2 451; Protoss_Forge 737; Protoss_Templar_Archives 345; Protoss_Photon_Cannon 770; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 142; Protoss_Pylon 48; Protoss_Opening ; Protoss_Assimilator 100; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 416; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 194; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 474; Protoss_Gateway2 243; Protoss_Forge 907; Protoss_Templar_Archives 683; Protoss_Photon_Cannon 960; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 150; Protoss_Pylon 48; Protoss_Opening reaver_drop; Protoss_Assimilator 98; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 251; Protoss_Expansion 388; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 179; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 472; Protoss_Gateway2 495; Protoss_Forge 915; Protoss_Templar_Archives 818; Protoss_Photon_Cannon 981; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 147; Protoss_Pylon 49; Protoss_Opening speedzeal; Protoss_Assimilator 101; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 963; Protoss_Expansion 296; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 191; Protoss_Fleet_Beacon -1; Protoss_Stargate 0; Protoss_Citadel_of_Adun 454; Protoss_Gateway2 317; Protoss_Forge 594; Protoss_Templar_Archives 615; Protoss_Photon_Cannon 655; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 148; Protoss_Pylon 50; Protoss_Opening reaver_drop; Protoss_Assimilator 102; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 284; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 200; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 372; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 158; Protoss_Pylon 48; Protoss_Opening reaver_drop; Protoss_Assimilator 106; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 325; Protoss_Expansion 390; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 201; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 433; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 146; 
Protoss_Pylon2 143; Protoss_Pylon 48; Protoss_Opening ; Protoss_Assimilator 98; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 248; Protoss_Expansion 453; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 192; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 636; Protoss_Gateway2 373; Protoss_Forge 794; Protoss_Templar_Archives 885; Protoss_Photon_Cannon 848; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 143; Protoss_Pylon 50; Protoss_Opening reaver_drop; Protoss_Assimilator 102; Protoss_Gateway 89; Protoss_Robotics_Support_Bay 286; Protoss_Expansion 489; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 189; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 511; Protoss_Gateway2 333; Protoss_Forge -1; Protoss_Templar_Archives 579; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 151; Protoss_Pylon 51; Protoss_Opening speedzeal; Protoss_Assimilator 108; Protoss_Gateway 85; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 555; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 196; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 347; Protoss_Gateway2 275; Protoss_Forge 683; Protoss_Templar_Archives 582; Protoss_Photon_Cannon 772; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 132; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 205; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 524; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 296; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 592; Protoss_Gateway2 107; Protoss_Forge 658; Protoss_Templar_Archives 847; Protoss_Photon_Cannon 717; Protoss_Cybernetics_Core 219; 
Protoss_Pylon2 119; Protoss_Pylon 51; Protoss_Opening reaver_drop; Protoss_Assimilator 72; Protoss_Gateway 102; Protoss_Robotics_Support_Bay 280; Protoss_Expansion 397; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 193; Protoss_Fleet_Beacon 1054; Protoss_Stargate 642; Protoss_Citadel_of_Adun 661; Protoss_Gateway2 494; Protoss_Forge 574; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 636; Protoss_Cybernetics_Core 148; 
