Protoss_Pylon2 162; Protoss_Pylon 54; Protoss_Opening Unknown; Protoss_Assimilator 134; Protoss_Gateway 88; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 320; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 314; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 253; Protoss_Gateway2 347; Protoss_Forge 115; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 148; Protoss_Cybernetics_Core 188; 
Protoss_Pylon2 129; Protoss_Pylon 51; Protoss_Opening FastLegs; Protoss_Assimilator 228; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 494; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 371; Protoss_Gateway2 108; Protoss_Forge 198; Protoss_Templar_Archives 507; Protoss_Photon_Cannon 268; Protoss_Cybernetics_Core 312; 
Protoss_Pylon2 155; Protoss_Pylon 50; Protoss_Opening Carrier; Protoss_Assimilator 67; Protoss_Gateway 96; Protoss_Robotics_Support_Bay 358; Protoss_Expansion 909; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 293; Protoss_Fleet_Beacon 998; Protoss_Stargate 182; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 248; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 375; Protoss_Cybernetics_Core 140; 
Protoss_Pylon2 127; Protoss_Pylon 48; Protoss_Opening FastExpand; Protoss_Assimilator 249; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 462; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 673; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 516; Protoss_Gateway2 105; Protoss_Forge 300; Protoss_Templar_Archives 573; Protoss_Photon_Cannon 367; Protoss_Cybernetics_Core 267; 
Protoss_Pylon2 142; Protoss_Pylon 50; Protoss_Opening FastDT; Protoss_Assimilator 200; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 493; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 553; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 313; Protoss_Gateway2 114; Protoss_Forge 322; Protoss_Templar_Archives 359; Protoss_Photon_Cannon 376; Protoss_Cybernetics_Core 254; 
Protoss_Pylon2 131; Protoss_Pylon 48; Protoss_Opening Carrier; Protoss_Assimilator 213; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 492; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 281; Protoss_Citadel_of_Adun 315; Protoss_Gateway2 108; Protoss_Forge 408; Protoss_Templar_Archives 422; Protoss_Photon_Cannon 493; Protoss_Cybernetics_Core 228; 
Protoss_Pylon2 125; Protoss_Pylon 52; Protoss_Opening Carrier; Protoss_Assimilator 241; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 489; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 698; Protoss_Fleet_Beacon 0; Protoss_Stargate 360; Protoss_Citadel_of_Adun 382; Protoss_Gateway2 97; Protoss_Forge 444; Protoss_Templar_Archives 461; Protoss_Photon_Cannon 510; Protoss_Cybernetics_Core 306; 
Protoss_Pylon2 140; Protoss_Pylon 53; Protoss_Opening Carrier; Protoss_Assimilator 117; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 545; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 404; Protoss_Fleet_Beacon 0; Protoss_Stargate 261; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 314; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 186; 
Protoss_Pylon2 143; Protoss_Pylon 55; Protoss_Opening FastDT; Protoss_Assimilator 122; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 385; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 466; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 223; Protoss_Gateway2 264; Protoss_Forge 290; Protoss_Templar_Archives 272; Protoss_Photon_Cannon 328; Protoss_Cybernetics_Core 174; 
Protoss_Pylon2 133; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 335; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 313; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 514; Protoss_Fleet_Beacon 0; Protoss_Stargate 407; Protoss_Citadel_of_Adun 459; Protoss_Gateway2 110; Protoss_Forge 278; Protoss_Templar_Archives 504; Protoss_Photon_Cannon 311; Protoss_Cybernetics_Core 360; 
Protoss_Pylon2 223; Protoss_Pylon 54; Protoss_Opening FastExpand; Protoss_Assimilator 298; Protoss_Gateway 332; Protoss_Robotics_Support_Bay 600; Protoss_Expansion 185; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 501; Protoss_Fleet_Beacon 0; Protoss_Stargate 422; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 98; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 139; Protoss_Cybernetics_Core 374; 
