Protoss_Pylon2 131; Protoss_Pylon 55; Protoss_Opening two_gates; Protoss_Assimilator 216; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 336; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 398; Protoss_Fleet_Beacon 0; Protoss_Stargate 403; Protoss_Citadel_of_Adun 532; Protoss_Gateway2 104; Protoss_Forge 459; Protoss_Templar_Archives 685; Protoss_Photon_Cannon 489; Protoss_Cybernetics_Core 351; 
Protoss_Pylon2 169; Protoss_Pylon 61; Protoss_Opening corsair; Protoss_Assimilator 250; Protoss_Gateway 226; Protoss_Robotics_Support_Bay 499; Protoss_Expansion 155; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 431; Protoss_Fleet_Beacon 533; Protoss_Stargate 324; Protoss_Citadel_of_Adun 556; Protoss_Gateway2 -1; Protoss_Forge 94; Protoss_Templar_Archives 632; Protoss_Photon_Cannon 185; Protoss_Cybernetics_Core 278; 
Protoss_Pylon2 124; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 229; Protoss_Gateway 74; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 528; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 552; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 334; Protoss_Gateway2 97; Protoss_Forge 276; Protoss_Templar_Archives 378; Protoss_Photon_Cannon 311; Protoss_Cybernetics_Core 260; 
Protoss_Pylon2 151; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 105; Protoss_Gateway 82; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 458; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 584; Protoss_Fleet_Beacon -1; Protoss_Stargate 177; Protoss_Citadel_of_Adun 272; Protoss_Gateway2 307; Protoss_Forge 372; Protoss_Templar_Archives 323; Protoss_Photon_Cannon 418; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 129; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 268; Protoss_Gateway 76; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 550; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 680; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 331; Protoss_Gateway2 106; Protoss_Forge 426; Protoss_Templar_Archives 403; Protoss_Photon_Cannon 470; Protoss_Cybernetics_Core 277; 
Protoss_Pylon2 136; Protoss_Pylon 53; Protoss_Opening two_gates; Protoss_Assimilator 267; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 646; Protoss_Expansion 333; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 557; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 413; Protoss_Gateway2 110; Protoss_Forge 294; Protoss_Templar_Archives 461; Protoss_Photon_Cannon 377; Protoss_Cybernetics_Core 366; 
Protoss_Pylon2 159; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 253; Protoss_Gateway 127; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 113; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 593; Protoss_Fleet_Beacon -1; Protoss_Stargate 480; Protoss_Citadel_of_Adun 492; Protoss_Gateway2 690; Protoss_Forge 311; Protoss_Templar_Archives 735; Protoss_Photon_Cannon 344; Protoss_Cybernetics_Core 424; 
Protoss_Pylon2 123; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 106; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 431; Protoss_Expansion 582; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 293; Protoss_Fleet_Beacon -1; Protoss_Stargate 218; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 316; Protoss_Forge 271; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 508; Protoss_Cybernetics_Core 172; 
Protoss_Pylon2 239; Protoss_Pylon 61; Protoss_Opening corsair; Protoss_Assimilator 244; Protoss_Gateway 208; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 181; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 598; Protoss_Fleet_Beacon -1; Protoss_Stargate 329; Protoss_Citadel_of_Adun 393; Protoss_Gateway2 265; Protoss_Forge 85; Protoss_Templar_Archives 532; Protoss_Photon_Cannon 115; Protoss_Cybernetics_Core 281; 
Protoss_Pylon2 137; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 202; Protoss_Gateway 81; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 507; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 661; Protoss_Fleet_Beacon -1; Protoss_Stargate 0; Protoss_Citadel_of_Adun 322; Protoss_Gateway2 117; Protoss_Forge 352; Protoss_Templar_Archives 413; Protoss_Photon_Cannon 404; Protoss_Cybernetics_Core 266; 
Protoss_Pylon2 136; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 208; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 350; Protoss_Fleet_Beacon -1; Protoss_Stargate 320; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 100; Protoss_Forge 412; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 452; Protoss_Cybernetics_Core 257; 
