Terran_Control_Tower 430; Terran_Comsat_Station 530; Terran_Barracks 92; Terran_Expansion 294; Terran_Refinery 116; Terran_Barracks2 380; Terran_Missile_Turret 441; Terran_Supply_Depot 59; Terran_Engineering_Bay 340; Terran_Science_Facility 0; Terran_Machine_Shop 223; Terran_Armory 870; Terran_Starport 355; Terran_Opening TwoFactory; Terran_Academy 472; Terran_Bunker 0; Terran_Factory 168; 
Terran_Control_Tower 277; Terran_Comsat_Station 665; Terran_Barracks 86; Terran_Expansion 464; Terran_Refinery 111; Terran_Barracks2 0; Terran_Missile_Turret 393; Terran_Supply_Depot 60; Terran_Engineering_Bay 311; Terran_Science_Facility 0; Terran_Machine_Shop 230; Terran_Armory 0; Terran_Starport 229; Terran_Opening FastDropship; Terran_Academy 561; Terran_Bunker 420; Terran_Factory 175; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening VultureHarass; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 398; Terran_Comsat_Station 356; Terran_Barracks 103; Terran_Expansion 234; Terran_Refinery 99; Terran_Barracks2 0; Terran_Missile_Turret 376; Terran_Supply_Depot 60; Terran_Engineering_Bay 326; Terran_Science_Facility 0; Terran_Machine_Shop 215; Terran_Armory 499; Terran_Starport 329; Terran_Opening SiegeExpand; Terran_Academy 291; Terran_Bunker 0; Terran_Factory 161; 
Terran_Control_Tower 261; Terran_Comsat_Station 650; Terran_Barracks 90; Terran_Expansion 367; Terran_Refinery 109; Terran_Barracks2 146; Terran_Missile_Turret 319; Terran_Supply_Depot 62; Terran_Engineering_Bay 278; Terran_Science_Facility 0; Terran_Machine_Shop 212; Terran_Armory 0; Terran_Starport 213; Terran_Opening Bio; Terran_Academy 508; Terran_Bunker 0; Terran_Factory 160; 
Terran_Control_Tower 262; Terran_Comsat_Station 562; Terran_Barracks 90; Terran_Expansion 358; Terran_Refinery 107; Terran_Barracks2 395; Terran_Missile_Turret 389; Terran_Supply_Depot 60; Terran_Engineering_Bay 315; Terran_Science_Facility 0; Terran_Machine_Shop 211; Terran_Armory 686; Terran_Starport 213; Terran_Opening FastDropship; Terran_Academy 505; Terran_Bunker 364; Terran_Factory 156; 
Terran_Control_Tower 1001; Terran_Comsat_Station 852; Terran_Barracks 88; Terran_Expansion 274; Terran_Refinery 105; Terran_Barracks2 190; Terran_Missile_Turret 354; Terran_Supply_Depot 58; Terran_Engineering_Bay 314; Terran_Science_Facility 0; Terran_Machine_Shop 210; Terran_Armory 963; Terran_Starport 812; Terran_Opening SiegeExpand; Terran_Academy 701; Terran_Bunker 0; Terran_Factory 157; 
Terran_Control_Tower 367; Terran_Comsat_Station 0; Terran_Barracks 90; Terran_Expansion 0; Terran_Refinery 103; Terran_Barracks2 143; Terran_Missile_Turret 466; Terran_Supply_Depot 62; Terran_Engineering_Bay 381; Terran_Science_Facility 0; Terran_Machine_Shop 203; Terran_Armory 0; Terran_Starport 292; Terran_Opening Bio; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 152; 
Terran_Control_Tower 581; Terran_Comsat_Station 897; Terran_Barracks 89; Terran_Expansion 495; Terran_Refinery 104; Terran_Barracks2 285; Terran_Missile_Turret 395; Terran_Supply_Depot 57; Terran_Engineering_Bay 350; Terran_Science_Facility 0; Terran_Machine_Shop 207; Terran_Armory 568; Terran_Starport 484; Terran_Opening TwoFactory; Terran_Academy 826; Terran_Bunker 0; Terran_Factory 154; 
Terran_Control_Tower 255; Terran_Comsat_Station 650; Terran_Barracks 89; Terran_Expansion 402; Terran_Refinery 102; Terran_Barracks2 330; Terran_Missile_Turret 435; Terran_Supply_Depot 60; Terran_Engineering_Bay 341; Terran_Science_Facility 0; Terran_Machine_Shop 207; Terran_Armory 605; Terran_Starport 208; Terran_Opening FastDropship; Terran_Academy 590; Terran_Bunker 0; Terran_Factory 154; 
Terran_Control_Tower 262; Terran_Comsat_Station 907; Terran_Barracks 92; Terran_Expansion 312; Terran_Refinery 100; Terran_Barracks2 176; Terran_Missile_Turret 445; Terran_Supply_Depot 63; Terran_Engineering_Bay 382; Terran_Science_Facility 1015; Terran_Machine_Shop 217; Terran_Armory 604; Terran_Starport 216; Terran_Opening FastDropship; Terran_Academy 526; Terran_Bunker 0; Terran_Factory 158; 
Terran_Control_Tower 974; Terran_Comsat_Station 814; Terran_Barracks 93; Terran_Expansion 465; Terran_Refinery 107; Terran_Barracks2 201; Terran_Missile_Turret 398; Terran_Supply_Depot 58; Terran_Engineering_Bay 353; Terran_Science_Facility 0; Terran_Machine_Shop 210; Terran_Armory 846; Terran_Starport 850; Terran_Opening TwoFactory; Terran_Academy 722; Terran_Bunker 0; Terran_Factory 158; 
