Terran_Control_Tower 277; Terran_Comsat_Station 665; Terran_Barracks 86; Terran_Expansion 464; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 393; Terran_Supply_Depot 60; Terran_Engineering_Bay 311; Terran_Science_Facility -1; Terran_Machine_Shop 230; Terran_Armory -1; Terran_Starport 229; Terran_Opening drop; Terran_Academy 561; Terran_Bunker 420; Terran_Factory 175; 
Terran_Control_Tower 473; Terran_Comsat_Station 835; Terran_Barracks 82; Terran_Expansion 562; Terran_Refinery 103; Terran_Barracks2 715; Terran_Missile_Turret 952; Terran_Supply_Depot 57; Terran_Engineering_Bay 851; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory 859; Terran_Starport 425; Terran_Opening unknown; Terran_Academy 713; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 263; Terran_Comsat_Station 756; Terran_Barracks 90; Terran_Expansion 417; Terran_Refinery 101; Terran_Barracks2 363; Terran_Missile_Turret 388; Terran_Supply_Depot 60; Terran_Engineering_Bay 340; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 665; Terran_Starport 214; Terran_Opening drop; Terran_Academy 637; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 581; Terran_Comsat_Station 897; Terran_Barracks 89; Terran_Expansion 495; Terran_Refinery 104; Terran_Barracks2 285; Terran_Missile_Turret 395; Terran_Supply_Depot 57; Terran_Engineering_Bay 350; Terran_Science_Facility 0; Terran_Machine_Shop 207; Terran_Armory 568; Terran_Starport 484; Terran_Opening unknown; Terran_Academy 826; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 276; Terran_Comsat_Station 544; Terran_Barracks 90; Terran_Expansion 383; Terran_Refinery 120; Terran_Barracks2 147; Terran_Missile_Turret 321; Terran_Supply_Depot 69; Terran_Engineering_Bay 277; Terran_Science_Facility 861; Terran_Machine_Shop 230; Terran_Armory 676; Terran_Starport 228; Terran_Opening drop; Terran_Academy 474; Terran_Bunker -1; Terran_Factory 174; 
Terran_Control_Tower 758; Terran_Comsat_Station -1; Terran_Barracks 91; Terran_Expansion 680; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 721; Terran_Supply_Depot 60; Terran_Engineering_Bay 470; Terran_Science_Facility -1; Terran_Machine_Shop 306; Terran_Armory -1; Terran_Starport 681; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker 265; Terran_Factory 170; 
Terran_Control_Tower 259; Terran_Comsat_Station 776; Terran_Barracks 95; Terran_Expansion 409; Terran_Refinery 101; Terran_Barracks2 164; Terran_Missile_Turret 377; Terran_Supply_Depot 67; Terran_Engineering_Bay 324; Terran_Science_Facility 0; Terran_Machine_Shop 215; Terran_Armory 509; Terran_Starport 213; Terran_Opening drop; Terran_Academy 642; Terran_Bunker 354; Terran_Factory 159; 
Terran_Control_Tower -1; Terran_Comsat_Station 634; Terran_Barracks 90; Terran_Expansion 447; Terran_Refinery 100; Terran_Barracks2 181; Terran_Missile_Turret 397; Terran_Supply_Depot 62; Terran_Engineering_Bay 326; Terran_Science_Facility -1; Terran_Machine_Shop 221; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 568; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower -1; Terran_Comsat_Station 661; Terran_Barracks 94; Terran_Expansion 538; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 371; Terran_Supply_Depot 64; Terran_Engineering_Bay 326; Terran_Science_Facility -1; Terran_Machine_Shop 216; Terran_Armory 859; Terran_Starport 990; Terran_Opening two_facto; Terran_Academy 604; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 277; Terran_Comsat_Station 538; Terran_Barracks 96; Terran_Expansion 458; Terran_Refinery 117; Terran_Barracks2 335; Terran_Missile_Turret 386; Terran_Supply_Depot 60; Terran_Engineering_Bay 331; Terran_Science_Facility -1; Terran_Machine_Shop 225; Terran_Armory 290; Terran_Starport 230; Terran_Opening two_facto; Terran_Academy 470; Terran_Bunker -1; Terran_Factory 170; 
Terran_Control_Tower 0; Terran_Comsat_Station 695; Terran_Barracks 93; Terran_Expansion 294; Terran_Refinery 118; Terran_Barracks2 540; Terran_Missile_Turret 556; Terran_Supply_Depot 57; Terran_Engineering_Bay 369; Terran_Science_Facility 0; Terran_Machine_Shop 223; Terran_Armory 938; Terran_Starport 1036; Terran_Opening two_facto; Terran_Academy 608; Terran_Bunker 410; Terran_Factory 169; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion -1; Terran_Refinery 99; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 232; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 171; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 98; Terran_Expansion -1; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 213; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 273; Terran_Comsat_Station 569; Terran_Barracks 89; Terran_Expansion 362; Terran_Refinery 105; Terran_Barracks2 196; Terran_Missile_Turret 358; Terran_Supply_Depot 60; Terran_Engineering_Bay 314; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory 423; Terran_Starport 227; Terran_Opening two_facto; Terran_Academy 517; Terran_Bunker 489; Terran_Factory 154; 
Terran_Control_Tower 0; Terran_Comsat_Station 433; Terran_Barracks 91; Terran_Expansion 215; Terran_Refinery 112; Terran_Barracks2 188; Terran_Missile_Turret 430; Terran_Supply_Depot 60; Terran_Engineering_Bay 384; Terran_Science_Facility 946; Terran_Machine_Shop 220; Terran_Armory 649; Terran_Starport 878; Terran_Opening rax_fe; Terran_Academy 379; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 276; Terran_Comsat_Station 946; Terran_Barracks 94; Terran_Expansion 333; Terran_Refinery 115; Terran_Barracks2 183; Terran_Missile_Turret 448; Terran_Supply_Depot 60; Terran_Engineering_Bay 401; Terran_Science_Facility -1; Terran_Machine_Shop 227; Terran_Armory -1; Terran_Starport 230; Terran_Opening drop; Terran_Academy 849; Terran_Bunker -1; Terran_Factory 174; 
Terran_Control_Tower -1; Terran_Comsat_Station 602; Terran_Barracks 91; Terran_Expansion 367; Terran_Refinery 104; Terran_Barracks2 339; Terran_Missile_Turret 456; Terran_Supply_Depot 61; Terran_Engineering_Bay 414; Terran_Science_Facility -1; Terran_Machine_Shop 225; Terran_Armory 711; Terran_Starport 899; Terran_Opening two_facto; Terran_Academy 527; Terran_Bunker 491; Terran_Factory 167; 
Terran_Control_Tower 774; Terran_Comsat_Station 596; Terran_Barracks 91; Terran_Expansion 330; Terran_Refinery 103; Terran_Barracks2 695; Terran_Missile_Turret 277; Terran_Supply_Depot 60; Terran_Engineering_Bay 221; Terran_Science_Facility 776; Terran_Machine_Shop 216; Terran_Armory 598; Terran_Starport 686; Terran_Opening rax_fe; Terran_Academy 528; Terran_Bunker 195; Terran_Factory 156; 
Terran_Control_Tower 271; Terran_Comsat_Station 583; Terran_Barracks 92; Terran_Expansion 399; Terran_Refinery 109; Terran_Barracks2 307; Terran_Missile_Turret 370; Terran_Supply_Depot 61; Terran_Engineering_Bay 321; Terran_Science_Facility 918; Terran_Machine_Shop 221; Terran_Armory 607; Terran_Starport 221; Terran_Opening unknown; Terran_Academy 508; Terran_Bunker 444; Terran_Factory 167; 
Terran_Control_Tower -1; Terran_Comsat_Station 457; Terran_Barracks 92; Terran_Expansion 377; Terran_Refinery 108; Terran_Barracks2 240; Terran_Missile_Turret 527; Terran_Supply_Depot 61; Terran_Engineering_Bay 478; Terran_Science_Facility -1; Terran_Machine_Shop 238; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 382; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower 0; Terran_Comsat_Station 683; Terran_Barracks 89; Terran_Expansion 455; Terran_Refinery 107; Terran_Barracks2 174; Terran_Missile_Turret 405; Terran_Supply_Depot 54; Terran_Engineering_Bay 336; Terran_Science_Facility -1; Terran_Machine_Shop 231; Terran_Armory 0; Terran_Starport 0; Terran_Opening bio; Terran_Academy 581; Terran_Bunker -1; Terran_Factory 177; 
Terran_Control_Tower 419; Terran_Comsat_Station 581; Terran_Barracks 88; Terran_Expansion 299; Terran_Refinery 104; Terran_Barracks2 287; Terran_Missile_Turret 490; Terran_Supply_Depot 58; Terran_Engineering_Bay 444; Terran_Science_Facility -1; Terran_Machine_Shop 221; Terran_Armory 835; Terran_Starport 372; Terran_Opening rax_fe; Terran_Academy 526; Terran_Bunker -1; Terran_Factory 167; 
