Terran_Control_Tower 296; Terran_Comsat_Station 596; Terran_Barracks 89; Terran_Expansion 347; Terran_Refinery 107; Terran_Barracks2 459; Terran_Missile_Turret 446; Terran_Supply_Depot 58; Terran_Engineering_Bay 396; Terran_Science_Facility 0; Terran_Machine_Shop 339; Terran_Armory 223; Terran_Starport 242; Terran_Opening TwoFactory; Terran_Academy 531; Terran_Bunker 0; Terran_Factory 166; 
Terran_Control_Tower 275; Terran_Comsat_Station 373; Terran_Barracks 107; Terran_Expansion 674; Terran_Refinery 78; Terran_Barracks2 594; Terran_Missile_Turret 0; Terran_Supply_Depot 61; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 250; Terran_Armory 214; Terran_Starport 225; Terran_Opening TwoFactory; Terran_Academy 308; Terran_Bunker 0; Terran_Factory 160; 
Terran_Control_Tower 313; Terran_Comsat_Station 511; Terran_Barracks 86; Terran_Expansion 238; Terran_Refinery 105; Terran_Barracks2 318; Terran_Missile_Turret 550; Terran_Supply_Depot 54; Terran_Engineering_Bay 486; Terran_Science_Facility 774; Terran_Machine_Shop 624; Terran_Armory 466; Terran_Starport 257; Terran_Opening VultureHarass; Terran_Academy 454; Terran_Bunker 0; Terran_Factory 155; 
Terran_Control_Tower 526; Terran_Comsat_Station 537; Terran_Barracks 87; Terran_Expansion 509; Terran_Refinery 104; Terran_Barracks2 237; Terran_Missile_Turret 367; Terran_Supply_Depot 53; Terran_Engineering_Bay 310; Terran_Science_Facility 0; Terran_Machine_Shop 218; Terran_Armory 236; Terran_Starport 427; Terran_Opening TwoFactory; Terran_Academy 479; Terran_Bunker 0; Terran_Factory 158; 
Terran_Control_Tower 462; Terran_Comsat_Station 491; Terran_Barracks 101; Terran_Expansion 378; Terran_Refinery 106; Terran_Barracks2 0; Terran_Missile_Turret 520; Terran_Supply_Depot 60; Terran_Engineering_Bay 480; Terran_Science_Facility 647; Terran_Machine_Shop 209; Terran_Armory 427; Terran_Starport 406; Terran_Opening VultureHarass; Terran_Academy 426; Terran_Bunker 0; Terran_Factory 157; 
Terran_Control_Tower 433; Terran_Comsat_Station 524; Terran_Barracks 100; Terran_Expansion 231; Terran_Refinery 104; Terran_Barracks2 191; Terran_Missile_Turret 432; Terran_Supply_Depot 60; Terran_Engineering_Bay 383; Terran_Science_Facility 780; Terran_Machine_Shop 230; Terran_Armory 781; Terran_Starport 382; Terran_Opening SiegeExpand; Terran_Academy 468; Terran_Bunker 0; Terran_Factory 170; 
Terran_Control_Tower 284; Terran_Comsat_Station 505; Terran_Barracks 91; Terran_Expansion 420; Terran_Refinery 107; Terran_Barracks2 95; Terran_Missile_Turret 346; Terran_Supply_Depot 58; Terran_Engineering_Bay 302; Terran_Science_Facility 741; Terran_Machine_Shop 236; Terran_Armory 272; Terran_Starport 235; Terran_Opening Bio; Terran_Academy 439; Terran_Bunker 0; Terran_Factory 181; 
Terran_Control_Tower 473; Terran_Comsat_Station 671; Terran_Barracks 100; Terran_Expansion 400; Terran_Refinery 80; Terran_Barracks2 233; Terran_Missile_Turret 420; Terran_Supply_Depot 62; Terran_Engineering_Bay 326; Terran_Science_Facility 1064; Terran_Machine_Shop 364; Terran_Armory 540; Terran_Starport 211; Terran_Opening FastDropship; Terran_Academy 611; Terran_Bunker 0; Terran_Factory 158; 
Terran_Control_Tower 0; Terran_Comsat_Station 673; Terran_Barracks 85; Terran_Expansion 412; Terran_Refinery 116; Terran_Barracks2 543; Terran_Missile_Turret 485; Terran_Supply_Depot 58; Terran_Engineering_Bay 414; Terran_Science_Facility 0; Terran_Machine_Shop 248; Terran_Armory 420; Terran_Starport 612; Terran_Opening TwoFactory; Terran_Academy 597; Terran_Bunker 0; Terran_Factory 175; 
Terran_Control_Tower 250; Terran_Comsat_Station 701; Terran_Barracks 88; Terran_Expansion 457; Terran_Refinery 98; Terran_Barracks2 195; Terran_Missile_Turret 437; Terran_Supply_Depot 60; Terran_Engineering_Bay 365; Terran_Science_Facility 0; Terran_Machine_Shop 346; Terran_Armory 683; Terran_Starport 203; Terran_Opening FastDropship; Terran_Academy 603; Terran_Bunker 0; Terran_Factory 148; 
Terran_Control_Tower 256; Terran_Comsat_Station 728; Terran_Barracks 101; Terran_Expansion 433; Terran_Refinery 86; Terran_Barracks2 458; Terran_Missile_Turret 479; Terran_Supply_Depot 59; Terran_Engineering_Bay 435; Terran_Science_Facility 0; Terran_Machine_Shop 263; Terran_Armory 0; Terran_Starport 205; Terran_Opening FastDropship; Terran_Academy 607; Terran_Bunker 0; Terran_Factory 153; 
Terran_Control_Tower 386; Terran_Comsat_Station 436; Terran_Barracks 86; Terran_Expansion 347; Terran_Refinery 109; Terran_Barracks2 384; Terran_Missile_Turret 498; Terran_Supply_Depot 59; Terran_Engineering_Bay 425; Terran_Science_Facility 0; Terran_Machine_Shop 217; Terran_Armory 261; Terran_Starport 331; Terran_Opening TwoFactory; Terran_Academy 375; Terran_Bunker 0; Terran_Factory 163; 
Terran_Control_Tower 617; Terran_Comsat_Station 450; Terran_Barracks 92; Terran_Expansion 601; Terran_Refinery 108; Terran_Barracks2 319; Terran_Missile_Turret 518; Terran_Supply_Depot 60; Terran_Engineering_Bay 451; Terran_Science_Facility 0; Terran_Machine_Shop 242; Terran_Armory 302; Terran_Starport 554; Terran_Opening TwoFactory; Terran_Academy 376; Terran_Bunker 0; Terran_Factory 164; 
Terran_Control_Tower 681; Terran_Comsat_Station 944; Terran_Barracks 88; Terran_Expansion 391; Terran_Refinery 105; Terran_Barracks2 461; Terran_Missile_Turret 836; Terran_Supply_Depot 58; Terran_Engineering_Bay 637; Terran_Science_Facility 0; Terran_Machine_Shop 255; Terran_Armory 217; Terran_Starport 531; Terran_Opening TwoFactory; Terran_Academy 856; Terran_Bunker 0; Terran_Factory 163; 
Terran_Control_Tower 465; Terran_Comsat_Station 637; Terran_Barracks 97; Terran_Expansion 635; Terran_Refinery 113; Terran_Barracks2 321; Terran_Missile_Turret 384; Terran_Supply_Depot 62; Terran_Engineering_Bay 326; Terran_Science_Facility 0; Terran_Machine_Shop 247; Terran_Armory 299; Terran_Starport 414; Terran_Opening TwoFactory; Terran_Academy 575; Terran_Bunker 0; Terran_Factory 170; 
Terran_Control_Tower 352; Terran_Comsat_Station 631; Terran_Barracks 94; Terran_Expansion 424; Terran_Refinery 110; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 58; Terran_Engineering_Bay 651; Terran_Science_Facility 0; Terran_Machine_Shop 279; Terran_Armory 0; Terran_Starport 222; Terran_Opening VultureHarass; Terran_Academy 573; Terran_Bunker 0; Terran_Factory 169; 
Terran_Control_Tower 459; Terran_Comsat_Station 639; Terran_Barracks 92; Terran_Expansion 227; Terran_Refinery 109; Terran_Barracks2 0; Terran_Missile_Turret 368; Terran_Supply_Depot 59; Terran_Engineering_Bay 325; Terran_Science_Facility 605; Terran_Machine_Shop 211; Terran_Armory 381; Terran_Starport 362; Terran_Opening SiegeExpand; Terran_Academy 585; Terran_Bunker 0; Terran_Factory 159; 
Terran_Control_Tower 613; Terran_Comsat_Station 548; Terran_Barracks 89; Terran_Expansion 323; Terran_Refinery 105; Terran_Barracks2 812; Terran_Missile_Turret 466; Terran_Supply_Depot 58; Terran_Engineering_Bay 423; Terran_Science_Facility 0; Terran_Machine_Shop 270; Terran_Armory 361; Terran_Starport 543; Terran_Opening TwoFactory; Terran_Academy 482; Terran_Bunker 0; Terran_Factory 155; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 91; Terran_Expansion 0; Terran_Refinery 107; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 60; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 211; Terran_Armory 298; Terran_Starport 357; Terran_Opening TwoFactory; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 156; 
Terran_Control_Tower 0; Terran_Comsat_Station 741; Terran_Barracks 94; Terran_Expansion 487; Terran_Refinery 110; Terran_Barracks2 153; Terran_Missile_Turret 320; Terran_Supply_Depot 61; Terran_Engineering_Bay 264; Terran_Science_Facility 0; Terran_Machine_Shop 262; Terran_Armory 509; Terran_Starport 249; Terran_Opening Bio; Terran_Academy 661; Terran_Bunker 0; Terran_Factory 176; 
Terran_Control_Tower 282; Terran_Comsat_Station 658; Terran_Barracks 92; Terran_Expansion 274; Terran_Refinery 114; Terran_Barracks2 223; Terran_Missile_Turret 497; Terran_Supply_Depot 60; Terran_Engineering_Bay 353; Terran_Science_Facility 921; Terran_Machine_Shop 227; Terran_Armory 551; Terran_Starport 230; Terran_Opening FastDropship; Terran_Academy 586; Terran_Bunker 0; Terran_Factory 175; 
Terran_Control_Tower 280; Terran_Comsat_Station 411; Terran_Barracks 118; Terran_Expansion 472; Terran_Refinery 85; Terran_Barracks2 422; Terran_Missile_Turret 388; Terran_Supply_Depot 59; Terran_Engineering_Bay 338; Terran_Science_Facility 1061; Terran_Machine_Shop 237; Terran_Armory 237; Terran_Starport 234; Terran_Opening FastDropship; Terran_Academy 340; Terran_Bunker 0; Terran_Factory 177; 
Terran_Control_Tower 255; Terran_Comsat_Station 430; Terran_Barracks 86; Terran_Expansion 348; Terran_Refinery 102; Terran_Barracks2 389; Terran_Missile_Turret 471; Terran_Supply_Depot 60; Terran_Engineering_Bay 423; Terran_Science_Facility 0; Terran_Machine_Shop 247; Terran_Armory 990; Terran_Starport 207; Terran_Opening FastDropship; Terran_Academy 369; Terran_Bunker 0; Terran_Factory 154; 
Terran_Control_Tower 274; Terran_Comsat_Station 920; Terran_Barracks 89; Terran_Expansion 209; Terran_Refinery 106; Terran_Barracks2 0; Terran_Missile_Turret 335; Terran_Supply_Depot 59; Terran_Engineering_Bay 295; Terran_Science_Facility 900; Terran_Machine_Shop 229; Terran_Armory 673; Terran_Starport 225; Terran_Opening FastDropship; Terran_Academy 863; Terran_Bunker 0; Terran_Factory 157; 
Terran_Control_Tower 335; Terran_Comsat_Station 799; Terran_Barracks 93; Terran_Expansion 325; Terran_Refinery 110; Terran_Barracks2 196; Terran_Missile_Turret 587; Terran_Supply_Depot 60; Terran_Engineering_Bay 547; Terran_Science_Facility 0; Terran_Machine_Shop 253; Terran_Armory 1064; Terran_Starport 230; Terran_Opening FastDropship; Terran_Academy 744; Terran_Bunker 0; Terran_Factory 173; 
Terran_Control_Tower 283; Terran_Comsat_Station 600; Terran_Barracks 90; Terran_Expansion 350; Terran_Refinery 113; Terran_Barracks2 179; Terran_Missile_Turret 491; Terran_Supply_Depot 59; Terran_Engineering_Bay 448; Terran_Science_Facility 940; Terran_Machine_Shop 260; Terran_Armory 684; Terran_Starport 225; Terran_Opening FastDropship; Terran_Academy 544; Terran_Bunker 0; Terran_Factory 170; 
Terran_Control_Tower 489; Terran_Comsat_Station 286; Terran_Barracks 88; Terran_Expansion 405; Terran_Refinery 101; Terran_Barracks2 0; Terran_Missile_Turret 377; Terran_Supply_Depot 54; Terran_Engineering_Bay 308; Terran_Science_Facility 0; Terran_Machine_Shop 215; Terran_Armory 218; Terran_Starport 431; Terran_Opening SiegeExpand; Terran_Academy 228; Terran_Bunker 0; Terran_Factory 153; 
