Terran_Control_Tower 274; Terran_Comsat_Station 1043; Terran_Barracks 108; Terran_Expansion 596; Terran_Refinery 80; Terran_Barracks2 170; Terran_Missile_Turret 388; Terran_Supply_Depot 59; Terran_Engineering_Bay 331; Terran_Science_Facility -1; Terran_Machine_Shop 220; Terran_Armory 818; Terran_Starport 220; Terran_Opening two_facto; Terran_Academy 910; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 289; Terran_Comsat_Station -1; Terran_Barracks 102; Terran_Expansion -1; Terran_Refinery 115; Terran_Barracks2 252; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 224; Terran_Armory 261; Terran_Starport 239; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 170; 
Terran_Control_Tower 402; Terran_Comsat_Station 799; Terran_Barracks 84; Terran_Expansion 345; Terran_Refinery 109; Terran_Barracks2 -1; Terran_Missile_Turret 785; Terran_Supply_Depot 60; Terran_Engineering_Bay 311; Terran_Science_Facility 0; Terran_Machine_Shop 217; Terran_Armory 746; Terran_Starport 354; Terran_Opening rax_fe; Terran_Academy 734; Terran_Bunker -1; Terran_Factory 164; 
Terran_Control_Tower 358; Terran_Comsat_Station 470; Terran_Barracks 83; Terran_Expansion 372; Terran_Refinery 100; Terran_Barracks2 561; Terran_Missile_Turret 570; Terran_Supply_Depot 59; Terran_Engineering_Bay 475; Terran_Science_Facility 718; Terran_Machine_Shop 259; Terran_Armory 243; Terran_Starport 277; Terran_Opening two_facto; Terran_Academy 415; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 507; Terran_Comsat_Station 315; Terran_Barracks 96; Terran_Expansion 553; Terran_Refinery 135; Terran_Barracks2 394; Terran_Missile_Turret 1035; Terran_Supply_Depot 70; Terran_Engineering_Bay 987; Terran_Science_Facility -1; Terran_Machine_Shop 384; Terran_Armory 398; Terran_Starport 344; Terran_Opening bio; Terran_Academy 207; Terran_Bunker 912; Terran_Factory 269; 
Terran_Control_Tower 273; Terran_Comsat_Station 625; Terran_Barracks 91; Terran_Expansion 448; Terran_Refinery 109; Terran_Barracks2 186; Terran_Missile_Turret 950; Terran_Supply_Depot 61; Terran_Engineering_Bay 890; Terran_Science_Facility 915; Terran_Machine_Shop 364; Terran_Armory 228; Terran_Starport 224; Terran_Opening rax_fe; Terran_Academy 537; Terran_Bunker -1; Terran_Factory 169; 
Terran_Control_Tower 265; Terran_Comsat_Station 448; Terran_Barracks 86; Terran_Expansion 454; Terran_Refinery 101; Terran_Barracks2 140; Terran_Missile_Turret 379; Terran_Supply_Depot 50; Terran_Engineering_Bay 337; Terran_Science_Facility -1; Terran_Machine_Shop 215; Terran_Armory 220; Terran_Starport 213; Terran_Opening unknown; Terran_Academy 393; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower 328; Terran_Comsat_Station -1; Terran_Barracks 91; Terran_Expansion 396; Terran_Refinery 108; Terran_Barracks2 275; Terran_Missile_Turret 520; Terran_Supply_Depot 58; Terran_Engineering_Bay 334; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory -1; Terran_Starport 280; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 964; Terran_Comsat_Station 1061; Terran_Barracks 100; Terran_Expansion 544; Terran_Refinery 405; Terran_Barracks2 562; Terran_Missile_Turret 802; Terran_Supply_Depot 53; Terran_Engineering_Bay 752; Terran_Science_Facility -1; Terran_Machine_Shop 844; Terran_Armory 946; Terran_Starport 869; Terran_Opening bio; Terran_Academy 891; Terran_Bunker 299; Terran_Factory 780; 
Terran_Control_Tower 261; Terran_Comsat_Station 629; Terran_Barracks 86; Terran_Expansion 535; Terran_Refinery 98; Terran_Barracks2 157; Terran_Missile_Turret 446; Terran_Supply_Depot 66; Terran_Engineering_Bay 363; Terran_Science_Facility -1; Terran_Machine_Shop 246; Terran_Armory 426; Terran_Starport 204; Terran_Opening bio; Terran_Academy 552; Terran_Bunker -1; Terran_Factory 150; 
Terran_Control_Tower 564; Terran_Comsat_Station 614; Terran_Barracks 106; Terran_Expansion 289; Terran_Refinery 104; Terran_Barracks2 164; Terran_Missile_Turret 402; Terran_Supply_Depot 72; Terran_Engineering_Bay 320; Terran_Science_Facility 567; Terran_Machine_Shop 235; Terran_Armory 215; Terran_Starport 516; Terran_Opening rax_fe; Terran_Academy 522; Terran_Bunker -1; Terran_Factory 163; 
Terran_Control_Tower 391; Terran_Comsat_Station 623; Terran_Barracks 92; Terran_Expansion 310; Terran_Refinery 115; Terran_Barracks2 301; Terran_Missile_Turret 594; Terran_Supply_Depot 61; Terran_Engineering_Bay 392; Terran_Science_Facility -1; Terran_Machine_Shop 390; Terran_Armory 230; Terran_Starport 333; Terran_Opening rax_fe; Terran_Academy 554; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 809; Terran_Comsat_Station 528; Terran_Barracks 91; Terran_Expansion 371; Terran_Refinery 124; Terran_Barracks2 -1; Terran_Missile_Turret 422; Terran_Supply_Depot 58; Terran_Engineering_Bay 380; Terran_Science_Facility -1; Terran_Machine_Shop 373; Terran_Armory 372; Terran_Starport 577; Terran_Opening rax_fe; Terran_Academy 472; Terran_Bunker -1; Terran_Factory 175; 
Terran_Control_Tower 557; Terran_Comsat_Station 870; Terran_Barracks 97; Terran_Expansion 534; Terran_Refinery 102; Terran_Barracks2 484; Terran_Missile_Turret 814; Terran_Supply_Depot 60; Terran_Engineering_Bay 756; Terran_Science_Facility -1; Terran_Machine_Shop 340; Terran_Armory 373; Terran_Starport 253; Terran_Opening two_facto; Terran_Academy 812; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 459; Terran_Comsat_Station 639; Terran_Barracks 92; Terran_Expansion 227; Terran_Refinery 109; Terran_Barracks2 -1; Terran_Missile_Turret 368; Terran_Supply_Depot 59; Terran_Engineering_Bay 325; Terran_Science_Facility 605; Terran_Machine_Shop 211; Terran_Armory 381; Terran_Starport 362; Terran_Opening rax_fe; Terran_Academy 585; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower 613; Terran_Comsat_Station 548; Terran_Barracks 89; Terran_Expansion 323; Terran_Refinery 105; Terran_Barracks2 812; Terran_Missile_Turret 466; Terran_Supply_Depot 58; Terran_Engineering_Bay 423; Terran_Science_Facility -1; Terran_Machine_Shop 270; Terran_Armory 361; Terran_Starport 543; Terran_Opening rax_fe; Terran_Academy 482; Terran_Bunker -1; Terran_Factory 155; 
