Terran_Control_Tower 0; Terran_Comsat_Station 303; Terran_Barracks 78; Terran_Expansion 0; Terran_Refinery 229; Terran_Barracks2 560; Terran_Missile_Turret 504; Terran_Supply_Depot 101; Terran_Engineering_Bay 449; Terran_Science_Facility 0; Terran_Machine_Shop 354; Terran_Armory 0; Terran_Starport 0; Terran_Opening Standard; Terran_Academy 249; Terran_Bunker 551; Terran_Factory 299; 
Terran_Control_Tower 522; Terran_Comsat_Station 279; Terran_Barracks 86; Terran_Expansion 425; Terran_Refinery 183; Terran_Barracks2 111; Terran_Missile_Turret 666; Terran_Supply_Depot 58; Terran_Engineering_Bay 349; Terran_Science_Facility 501; Terran_Machine_Shop 349; Terran_Armory 693; Terran_Starport 450; Terran_Opening Bio; Terran_Academy 223; Terran_Bunker 540; Terran_Factory 295; 
Terran_Control_Tower 270; Terran_Comsat_Station 443; Terran_Barracks 93; Terran_Expansion 581; Terran_Refinery 107; Terran_Barracks2 153; Terran_Missile_Turret 748; Terran_Supply_Depot 63; Terran_Engineering_Bay 658; Terran_Science_Facility 425; Terran_Machine_Shop 423; Terran_Armory 0; Terran_Starport 222; Terran_Opening Bio; Terran_Academy 391; Terran_Bunker 1002; Terran_Factory 164; 
Terran_Control_Tower 0; Terran_Comsat_Station 287; Terran_Barracks 83; Terran_Expansion 523; Terran_Refinery 165; Terran_Barracks2 110; Terran_Missile_Turret 427; Terran_Supply_Depot 57; Terran_Engineering_Bay 360; Terran_Science_Facility 0; Terran_Machine_Shop 318; Terran_Armory 0; Terran_Starport 526; Terran_Opening Bio; Terran_Academy 231; Terran_Bunker 0; Terran_Factory 265; 
Terran_Control_Tower 0; Terran_Comsat_Station 350; Terran_Barracks 83; Terran_Expansion 557; Terran_Refinery 164; Terran_Barracks2 111; Terran_Missile_Turret 476; Terran_Supply_Depot 57; Terran_Engineering_Bay 402; Terran_Science_Facility 0; Terran_Machine_Shop 307; Terran_Armory 0; Terran_Starport 575; Terran_Opening Bio; Terran_Academy 280; Terran_Bunker 0; Terran_Factory 241; 
Terran_Control_Tower 319; Terran_Comsat_Station 316; Terran_Barracks 81; Terran_Expansion 447; Terran_Refinery 154; Terran_Barracks2 110; Terran_Missile_Turret 458; Terran_Supply_Depot 56; Terran_Engineering_Bay 389; Terran_Science_Facility 494; Terran_Machine_Shop 623; Terran_Armory 0; Terran_Starport 273; Terran_Opening Bio; Terran_Academy 247; Terran_Bunker 665; Terran_Factory 214; 
Terran_Control_Tower 348; Terran_Comsat_Station 380; Terran_Barracks 87; Terran_Expansion 583; Terran_Refinery 111; Terran_Barracks2 142; Terran_Missile_Turret 335; Terran_Supply_Depot 60; Terran_Engineering_Bay 294; Terran_Science_Facility 282; Terran_Machine_Shop 601; Terran_Armory 0; Terran_Starport 216; Terran_Opening Bio; Terran_Academy 322; Terran_Bunker 605; Terran_Factory 161; 
Terran_Control_Tower 466; Terran_Comsat_Station 299; Terran_Barracks 86; Terran_Expansion 635; Terran_Refinery 136; Terran_Barracks2 115; Terran_Missile_Turret 0; Terran_Supply_Depot 60; Terran_Engineering_Bay 506; Terran_Science_Facility 464; Terran_Machine_Shop 522; Terran_Armory 0; Terran_Starport 413; Terran_Opening Bio; Terran_Academy 226; Terran_Bunker 867; Terran_Factory 328; 
Terran_Control_Tower 401; Terran_Comsat_Station 322; Terran_Barracks 83; Terran_Expansion 769; Terran_Refinery 227; Terran_Barracks2 112; Terran_Missile_Turret 538; Terran_Supply_Depot 61; Terran_Engineering_Bay 492; Terran_Science_Facility 549; Terran_Machine_Shop 466; Terran_Armory 0; Terran_Starport 353; Terran_Opening Bio; Terran_Academy 269; Terran_Bunker 178; Terran_Factory 295; 
Terran_Control_Tower 375; Terran_Comsat_Station 308; Terran_Barracks 92; Terran_Expansion 0; Terran_Refinery 108; Terran_Barracks2 198; Terran_Missile_Turret 324; Terran_Supply_Depot 60; Terran_Engineering_Bay 166; Terran_Science_Facility 349; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 291; Terran_Opening Bio; Terran_Academy 254; Terran_Bunker 360; Terran_Factory 228; 
Terran_Control_Tower 394; Terran_Comsat_Station 356; Terran_Barracks 82; Terran_Expansion 415; Terran_Refinery 170; Terran_Barracks2 108; Terran_Missile_Turret 419; Terran_Supply_Depot 58; Terran_Engineering_Bay 319; Terran_Science_Facility 343; Terran_Machine_Shop 472; Terran_Armory 0; Terran_Starport 286; Terran_Opening Bio; Terran_Academy 268; Terran_Bunker 610; Terran_Factory 224; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 82; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 117; Terran_Missile_Turret 0; Terran_Supply_Depot 54; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 544; Terran_Comsat_Station 300; Terran_Barracks 84; Terran_Expansion 975; Terran_Refinery 190; Terran_Barracks2 107; Terran_Missile_Turret 403; Terran_Supply_Depot 58; Terran_Engineering_Bay 335; Terran_Science_Facility 534; Terran_Machine_Shop 488; Terran_Armory 0; Terran_Starport 485; Terran_Opening Bio; Terran_Academy 241; Terran_Bunker 353; Terran_Factory 431; 
Terran_Control_Tower 401; Terran_Comsat_Station 275; Terran_Barracks 90; Terran_Expansion 504; Terran_Refinery 188; Terran_Barracks2 118; Terran_Missile_Turret 567; Terran_Supply_Depot 58; Terran_Engineering_Bay 335; Terran_Science_Facility 411; Terran_Machine_Shop 506; Terran_Armory 0; Terran_Starport 353; Terran_Opening Bio; Terran_Academy 215; Terran_Bunker 404; Terran_Factory 291; 
Terran_Control_Tower 600; Terran_Comsat_Station 283; Terran_Barracks 86; Terran_Expansion 591; Terran_Refinery 164; Terran_Barracks2 113; Terran_Missile_Turret 395; Terran_Supply_Depot 59; Terran_Engineering_Bay 356; Terran_Science_Facility 599; Terran_Machine_Shop 271; Terran_Armory 0; Terran_Starport 530; Terran_Opening Bio; Terran_Academy 231; Terran_Bunker 185; Terran_Factory 218; 
Terran_Control_Tower 344; Terran_Comsat_Station 0; Terran_Barracks 93; Terran_Expansion 0; Terran_Refinery 108; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 61; Terran_Engineering_Bay 0; Terran_Science_Facility 310; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 257; Terran_Opening FastDropship; Terran_Academy 348; Terran_Bunker 407; Terran_Factory 203; 
Terran_Control_Tower 0; Terran_Comsat_Station 249; Terran_Barracks 88; Terran_Expansion 0; Terran_Refinery 122; Terran_Barracks2 129; Terran_Missile_Turret 0; Terran_Supply_Depot 59; Terran_Engineering_Bay 313; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 188; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 394; Terran_Comsat_Station 356; Terran_Barracks 82; Terran_Expansion 415; Terran_Refinery 170; Terran_Barracks2 108; Terran_Missile_Turret 419; Terran_Supply_Depot 58; Terran_Engineering_Bay 319; Terran_Science_Facility 343; Terran_Machine_Shop 472; Terran_Armory 0; Terran_Starport 286; Terran_Opening Bio; Terran_Academy 268; Terran_Bunker 610; Terran_Factory 224; 
Terran_Control_Tower 366; Terran_Comsat_Station 350; Terran_Barracks 88; Terran_Expansion 728; Terran_Refinery 195; Terran_Barracks2 104; Terran_Missile_Turret 582; Terran_Supply_Depot 58; Terran_Engineering_Bay 498; Terran_Science_Facility 386; Terran_Machine_Shop 533; Terran_Armory 0; Terran_Starport 319; Terran_Opening Bio; Terran_Academy 292; Terran_Bunker 460; Terran_Factory 253; 
