Terran_Control_Tower 353; Terran_Comsat_Station 465; Terran_Barracks 93; Terran_Expansion 637; Terran_Refinery 115; Terran_Barracks2 261; Terran_Missile_Turret 472; Terran_Supply_Depot 53; Terran_Engineering_Bay 427; Terran_Science_Facility 877; Terran_Machine_Shop 355; Terran_Armory -1; Terran_Starport 224; Terran_Opening bio; Terran_Academy 403; Terran_Bunker 662; Terran_Factory 171; 
Terran_Control_Tower 522; Terran_Comsat_Station 279; Terran_Barracks 86; Terran_Expansion 425; Terran_Refinery 183; Terran_Barracks2 111; Terran_Missile_Turret 666; Terran_Supply_Depot 58; Terran_Engineering_Bay 349; Terran_Science_Facility 501; Terran_Machine_Shop 349; Terran_Armory 693; Terran_Starport 450; Terran_Opening two_facto; Terran_Academy 223; Terran_Bunker 540; Terran_Factory 295; 
Terran_Control_Tower 337; Terran_Comsat_Station 333; Terran_Barracks 85; Terran_Expansion 576; Terran_Refinery 108; Terran_Barracks2 318; Terran_Missile_Turret 357; Terran_Supply_Depot 58; Terran_Engineering_Bay 163; Terran_Science_Facility 329; Terran_Machine_Shop 476; Terran_Armory 0; Terran_Starport 249; Terran_Opening bio; Terran_Academy 275; Terran_Bunker 584; Terran_Factory 194; 
Terran_Control_Tower 514; Terran_Comsat_Station 254; Terran_Barracks 85; Terran_Expansion 691; Terran_Refinery 158; Terran_Barracks2 113; Terran_Missile_Turret 387; Terran_Supply_Depot 60; Terran_Engineering_Bay 346; Terran_Science_Facility 516; Terran_Machine_Shop 378; Terran_Armory -1; Terran_Starport 465; Terran_Opening ; Terran_Academy 193; Terran_Bunker 302; Terran_Factory 318; 
Terran_Control_Tower 375; Terran_Comsat_Station 308; Terran_Barracks 92; Terran_Expansion -1; Terran_Refinery 108; Terran_Barracks2 198; Terran_Missile_Turret 324; Terran_Supply_Depot 60; Terran_Engineering_Bay 166; Terran_Science_Facility 349; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 291; Terran_Opening bio; Terran_Academy 254; Terran_Bunker 360; Terran_Factory 228; 
Terran_Control_Tower 305; Terran_Comsat_Station 384; Terran_Barracks 92; Terran_Expansion 562; Terran_Refinery 109; Terran_Barracks2 157; Terran_Missile_Turret 539; Terran_Supply_Depot 59; Terran_Engineering_Bay 487; Terran_Science_Facility 495; Terran_Machine_Shop 346; Terran_Armory -1; Terran_Starport 221; Terran_Opening bio; Terran_Academy 325; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower -1; Terran_Comsat_Station 249; Terran_Barracks 88; Terran_Expansion -1; Terran_Refinery 122; Terran_Barracks2 129; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay 313; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 188; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 776; Terran_Comsat_Station 290; Terran_Barracks 85; Terran_Expansion 958; Terran_Refinery 222; Terran_Barracks2 120; Terran_Missile_Turret -1; Terran_Supply_Depot 63; Terran_Engineering_Bay 873; Terran_Science_Facility 843; Terran_Machine_Shop 356; Terran_Armory -1; Terran_Starport 707; Terran_Opening ; Terran_Academy 231; Terran_Bunker 672; Terran_Factory 287; 
Terran_Control_Tower 471; Terran_Comsat_Station 354; Terran_Barracks 60; Terran_Expansion -1; Terran_Refinery 172; Terran_Barracks2 341; Terran_Missile_Turret -1; Terran_Supply_Depot 76; Terran_Engineering_Bay -1; Terran_Science_Facility 470; Terran_Machine_Shop 410; Terran_Armory -1; Terran_Starport 372; Terran_Opening bio; Terran_Academy 293; Terran_Bunker 208; Terran_Factory 240; 
Terran_Control_Tower 510; Terran_Comsat_Station 318; Terran_Barracks 91; Terran_Expansion 233; Terran_Refinery 135; Terran_Barracks2 272; Terran_Missile_Turret 445; Terran_Supply_Depot 60; Terran_Engineering_Bay 373; Terran_Science_Facility 593; Terran_Machine_Shop 454; Terran_Armory -1; Terran_Starport 453; Terran_Opening bio; Terran_Academy 262; Terran_Bunker 526; Terran_Factory 340; 
Terran_Control_Tower 284; Terran_Comsat_Station 429; Terran_Barracks 91; Terran_Expansion 696; Terran_Refinery 118; Terran_Barracks2 305; Terran_Missile_Turret 562; Terran_Supply_Depot 52; Terran_Engineering_Bay 492; Terran_Science_Facility 505; Terran_Machine_Shop 240; Terran_Armory -1; Terran_Starport 236; Terran_Opening bio; Terran_Academy 337; Terran_Bunker 421; Terran_Factory 183; 
