Zerg_Hive 1077; Zerg_Opening HydraMass; Zerg_Spawning_Pool 126; Zerg_Extractor 195; Zerg_Creep_Colony 453; Zerg_Evolution_Chamber 938; Zerg_Queens_Nest 1025; Zerg_Sunken_Colony 499; Zerg_Spore_Colony 0; Zerg_Expansion 106; Zerg_Hydralisk_Den 425; Zerg_Greater_Spire 0; Zerg_Expansion2 183; Zerg_Lair 372; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 990; Zerg_Opening Standard; Zerg_Spawning_Pool 155; Zerg_Extractor 92; Zerg_Creep_Colony 637; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 948; Zerg_Sunken_Colony 653; Zerg_Spore_Colony 0; Zerg_Expansion 126; Zerg_Hydralisk_Den 234; Zerg_Greater_Spire 1072; Zerg_Expansion2 464; Zerg_Lair 207; Zerg_Ultralisk_Cavern 0; Zerg_Spire 647; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 130; Zerg_Extractor 150; Zerg_Creep_Colony 316; Zerg_Evolution_Chamber 718; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 357; Zerg_Spore_Colony 0; Zerg_Expansion 110; Zerg_Hydralisk_Den 390; Zerg_Greater_Spire 0; Zerg_Expansion2 224; Zerg_Lair 576; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 114; Zerg_Extractor 58; Zerg_Creep_Colony 187; Zerg_Evolution_Chamber 279; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 368; Zerg_Spore_Colony 315; Zerg_Expansion 94; Zerg_Hydralisk_Den 483; Zerg_Greater_Spire 0; Zerg_Expansion2 221; Zerg_Lair 410; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 128; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 125; Zerg_Extractor 140; Zerg_Creep_Colony 356; Zerg_Evolution_Chamber 675; Zerg_Queens_Nest 1045; Zerg_Sunken_Colony 389; Zerg_Spore_Colony 0; Zerg_Expansion 106; Zerg_Hydralisk_Den 366; Zerg_Greater_Spire 0; Zerg_Expansion2 211; Zerg_Lair 486; Zerg_Ultralisk_Cavern 0; Zerg_Spire 714; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 131; Zerg_Extractor 312; Zerg_Creep_Colony 205; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 230; Zerg_Spore_Colony 0; Zerg_Expansion 112; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 201; Zerg_Lair 513; Zerg_Ultralisk_Cavern 0; Zerg_Spire 577; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 127; Zerg_Extractor 64; Zerg_Creep_Colony 928; Zerg_Evolution_Chamber 620; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 953; Zerg_Spore_Colony 0; Zerg_Expansion 108; Zerg_Hydralisk_Den 284; Zerg_Greater_Spire 0; Zerg_Expansion2 462; Zerg_Lair 248; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Standard; Zerg_Spawning_Pool 126; Zerg_Extractor 143; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 107; Zerg_Hydralisk_Den 237; Zerg_Greater_Spire 0; Zerg_Expansion2 494; Zerg_Lair 205; Zerg_Ultralisk_Cavern 0; Zerg_Spire 410; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 127; Zerg_Extractor 145; Zerg_Creep_Colony 194; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 213; Zerg_Spore_Colony 0; Zerg_Expansion 105; Zerg_Hydralisk_Den 314; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 278; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 92; Zerg_Extractor 280; Zerg_Creep_Colony 395; Zerg_Evolution_Chamber 861; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 412; Zerg_Spore_Colony 0; Zerg_Expansion 128; Zerg_Hydralisk_Den 330; Zerg_Greater_Spire 0; Zerg_Expansion2 179; Zerg_Lair 442; Zerg_Ultralisk_Cavern 0; Zerg_Spire 545; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 652; Zerg_Opening HydraMass; Zerg_Spawning_Pool 125; Zerg_Extractor 194; Zerg_Creep_Colony 215; Zerg_Evolution_Chamber 525; Zerg_Queens_Nest 593; Zerg_Sunken_Colony 234; Zerg_Spore_Colony 0; Zerg_Expansion 109; Zerg_Hydralisk_Den 333; Zerg_Greater_Spire 858; Zerg_Expansion2 183; Zerg_Lair 290; Zerg_Ultralisk_Cavern 0; Zerg_Spire 753; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
