Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 68; Zerg_Extractor 91; Zerg_Creep_Colony 451; Zerg_Evolution_Chamber 776; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 480; Zerg_Spore_Colony -1; Zerg_Expansion 195; Zerg_Hydralisk_Den 308; Zerg_Greater_Spire -1; Zerg_Expansion2 993; Zerg_Lair 373; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 85; Zerg_Defiler_Mound -1; 
Zerg_Hive 890; Zerg_Opening hydras; Zerg_Spawning_Pool 90; Zerg_Extractor 101; Zerg_Creep_Colony 264; Zerg_Evolution_Chamber 334; Zerg_Queens_Nest 831; Zerg_Sunken_Colony 380; Zerg_Spore_Colony -1; Zerg_Expansion 173; Zerg_Hydralisk_Den 418; Zerg_Greater_Spire 967; Zerg_Expansion2 256; Zerg_Lair 387; Zerg_Ultralisk_Cavern -1; Zerg_Spire 576; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 69; Zerg_Extractor 85; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 221; Zerg_Hydralisk_Den 396; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 174; Zerg_Ultralisk_Cavern -1; Zerg_Spire 241; Zerg_Building_Overlord 92; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 152; Zerg_Extractor 126; Zerg_Creep_Colony 335; Zerg_Evolution_Chamber 301; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 1012; Zerg_Spore_Colony 354; Zerg_Expansion 111; Zerg_Hydralisk_Den 255; Zerg_Greater_Spire -1; Zerg_Expansion2 240; Zerg_Lair 208; Zerg_Ultralisk_Cavern -1; Zerg_Spire 0; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 68; Zerg_Extractor 86; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 237; Zerg_Hydralisk_Den 555; Zerg_Greater_Spire -1; Zerg_Expansion2 294; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 103; Zerg_Defiler_Mound -1; 
Zerg_Hive 666; Zerg_Opening hydras; Zerg_Spawning_Pool 129; Zerg_Extractor 163; Zerg_Creep_Colony 314; Zerg_Evolution_Chamber 417; Zerg_Queens_Nest 604; Zerg_Sunken_Colony 341; Zerg_Spore_Colony 557; Zerg_Expansion 109; Zerg_Hydralisk_Den 307; Zerg_Greater_Spire -1; Zerg_Expansion2 218; Zerg_Lair 255; Zerg_Ultralisk_Cavern -1; Zerg_Spire 440; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 133; Zerg_Extractor 58; Zerg_Creep_Colony 436; Zerg_Evolution_Chamber 973; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 471; Zerg_Spore_Colony -1; Zerg_Expansion 112; Zerg_Hydralisk_Den 315; Zerg_Greater_Spire -1; Zerg_Expansion2 205; Zerg_Lair 254; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 69; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 133; Zerg_Extractor 166; Zerg_Creep_Colony 183; Zerg_Evolution_Chamber 573; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 200; Zerg_Spore_Colony -1; Zerg_Expansion 113; Zerg_Hydralisk_Den 397; Zerg_Greater_Spire -1; Zerg_Expansion2 386; Zerg_Lair 546; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 62; Zerg_Defiler_Mound -1; 
Zerg_Hive 771; Zerg_Opening lurkers; Zerg_Spawning_Pool 125; Zerg_Extractor 137; Zerg_Creep_Colony 562; Zerg_Evolution_Chamber 600; Zerg_Queens_Nest 725; Zerg_Sunken_Colony 589; Zerg_Spore_Colony 0; Zerg_Expansion 107; Zerg_Hydralisk_Den 234; Zerg_Greater_Spire 0; Zerg_Expansion2 394; Zerg_Lair 188; Zerg_Ultralisk_Cavern 934; Zerg_Spire 695; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 1063; Zerg_Opening lurkers; Zerg_Spawning_Pool 71; Zerg_Extractor 83; Zerg_Creep_Colony 551; Zerg_Evolution_Chamber 636; Zerg_Queens_Nest 992; Zerg_Sunken_Colony 570; Zerg_Spore_Colony -1; Zerg_Expansion 156; Zerg_Hydralisk_Den 366; Zerg_Greater_Spire 0; Zerg_Expansion2 197; Zerg_Lair 542; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 99; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 126; Zerg_Extractor 145; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 368; Zerg_Greater_Spire -1; Zerg_Expansion2 267; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 736; Zerg_Opening lurkers; Zerg_Spawning_Pool 123; Zerg_Extractor 304; Zerg_Creep_Colony 187; Zerg_Evolution_Chamber 620; Zerg_Queens_Nest 619; Zerg_Sunken_Colony 203; Zerg_Spore_Colony -1; Zerg_Expansion 104; Zerg_Hydralisk_Den 435; Zerg_Greater_Spire -1; Zerg_Expansion2 241; Zerg_Lair 458; Zerg_Ultralisk_Cavern 826; Zerg_Spire 695; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 118; Zerg_Extractor 139; Zerg_Creep_Colony 181; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 196; Zerg_Spore_Colony -1; Zerg_Expansion 101; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 243; Zerg_Ultralisk_Cavern -1; Zerg_Spire 309; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 128; Zerg_Extractor 182; Zerg_Creep_Colony 575; Zerg_Evolution_Chamber 1071; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 596; Zerg_Spore_Colony -1; Zerg_Expansion 113; Zerg_Hydralisk_Den 560; Zerg_Greater_Spire -1; Zerg_Expansion2 174; Zerg_Lair 240; Zerg_Ultralisk_Cavern -1; Zerg_Spire 310; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 130; Zerg_Extractor 183; Zerg_Creep_Colony 379; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 396; Zerg_Spore_Colony -1; Zerg_Expansion 113; Zerg_Hydralisk_Den 230; Zerg_Greater_Spire -1; Zerg_Expansion2 175; Zerg_Lair 284; Zerg_Ultralisk_Cavern -1; Zerg_Spire 348; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening mutas; Zerg_Spawning_Pool 123; Zerg_Extractor 62; Zerg_Creep_Colony 172; Zerg_Evolution_Chamber 1001; Zerg_Queens_Nest 1000; Zerg_Sunken_Colony 190; Zerg_Spore_Colony -1; Zerg_Expansion 92; Zerg_Hydralisk_Den 311; Zerg_Greater_Spire -1; Zerg_Expansion2 217; Zerg_Lair 348; Zerg_Ultralisk_Cavern 0; Zerg_Spire 413; Zerg_Building_Overlord 99; Zerg_Defiler_Mound -1; 
Zerg_Hive 705; Zerg_Opening mutas; Zerg_Spawning_Pool 131; Zerg_Extractor 68; Zerg_Creep_Colony 186; Zerg_Evolution_Chamber 272; Zerg_Queens_Nest 623; Zerg_Sunken_Colony 205; Zerg_Spore_Colony 304; Zerg_Expansion 105; Zerg_Hydralisk_Den 311; Zerg_Greater_Spire 1072; Zerg_Expansion2 246; Zerg_Lair 327; Zerg_Ultralisk_Cavern 0; Zerg_Spire 402; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening hydras; Zerg_Spawning_Pool 126; Zerg_Extractor 207; Zerg_Creep_Colony 308; Zerg_Evolution_Chamber 651; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 447; Zerg_Spore_Colony 0; Zerg_Expansion 105; Zerg_Hydralisk_Den 275; Zerg_Greater_Spire 0; Zerg_Expansion2 176; Zerg_Lair 267; Zerg_Ultralisk_Cavern 0; Zerg_Spire 847; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 961; Zerg_Opening mutas; Zerg_Spawning_Pool 127; Zerg_Extractor 217; Zerg_Creep_Colony 264; Zerg_Evolution_Chamber 275; Zerg_Queens_Nest 853; Zerg_Sunken_Colony 293; Zerg_Spore_Colony 302; Zerg_Expansion 104; Zerg_Hydralisk_Den 443; Zerg_Greater_Spire 0; Zerg_Expansion2 214; Zerg_Lair 272; Zerg_Ultralisk_Cavern 0; Zerg_Spire 385; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 0; 
