Zerg_Hive 802; Zerg_Opening Standard; Zerg_Spawning_Pool 129; Zerg_Extractor 104; Zerg_Creep_Colony 182; Zerg_Evolution_Chamber 755; Zerg_Queens_Nest 758; Zerg_Sunken_Colony 203; Zerg_Spore_Colony 0; Zerg_Expansion 102; Zerg_Hydralisk_Den 232; Zerg_Greater_Spire 0; Zerg_Expansion2 407; Zerg_Lair 185; Zerg_Ultralisk_Cavern 0; Zerg_Spire 252; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 894; 
Zerg_Hive 998; Zerg_Opening Lurker; Zerg_Spawning_Pool 128; Zerg_Extractor 138; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 694; Zerg_Queens_Nest 949; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 110; Zerg_Hydralisk_Den 245; Zerg_Greater_Spire 0; Zerg_Expansion2 681; Zerg_Lair 197; Zerg_Ultralisk_Cavern 0; Zerg_Spire 1067; Zerg_Building_Overlord 63; Zerg_Defiler_Mound 0; 
Zerg_Hive 780; Zerg_Opening Standard; Zerg_Spawning_Pool 131; Zerg_Extractor 150; Zerg_Creep_Colony 219; Zerg_Evolution_Chamber 492; Zerg_Queens_Nest 732; Zerg_Sunken_Colony 238; Zerg_Spore_Colony 0; Zerg_Expansion 91; Zerg_Hydralisk_Den 246; Zerg_Greater_Spire 911; Zerg_Expansion2 324; Zerg_Lair 213; Zerg_Ultralisk_Cavern 0; Zerg_Spire 582; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 860; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 116; Zerg_Extractor 68; Zerg_Creep_Colony 303; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 363; Zerg_Spore_Colony 0; Zerg_Expansion 103; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 115; Zerg_Lair 253; Zerg_Ultralisk_Cavern 0; Zerg_Spire 318; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 134; Zerg_Extractor 223; Zerg_Creep_Colony 217; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 233; Zerg_Spore_Colony 0; Zerg_Expansion 114; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 196; Zerg_Lair 277; Zerg_Ultralisk_Cavern 0; Zerg_Spire 342; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 129; Zerg_Extractor 149; Zerg_Creep_Colony 214; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 236; Zerg_Spore_Colony 0; Zerg_Expansion 110; Zerg_Hydralisk_Den 386; Zerg_Greater_Spire 0; Zerg_Expansion2 656; Zerg_Lair 203; Zerg_Ultralisk_Cavern 0; Zerg_Spire 281; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 99; Zerg_Extractor 66; Zerg_Creep_Colony 229; Zerg_Evolution_Chamber 868; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 248; Zerg_Spore_Colony 0; Zerg_Expansion 136; Zerg_Hydralisk_Den 683; Zerg_Greater_Spire 0; Zerg_Expansion2 189; Zerg_Lair 321; Zerg_Ultralisk_Cavern 0; Zerg_Spire 385; Zerg_Building_Overlord 61; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 133; Zerg_Extractor 220; Zerg_Creep_Colony 197; Zerg_Evolution_Chamber 550; Zerg_Queens_Nest 1028; Zerg_Sunken_Colony 213; Zerg_Spore_Colony 0; Zerg_Expansion 114; Zerg_Hydralisk_Den 402; Zerg_Greater_Spire 0; Zerg_Expansion2 208; Zerg_Lair 293; Zerg_Ultralisk_Cavern 0; Zerg_Spire 425; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 906; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 128; Zerg_Extractor 169; Zerg_Creep_Colony 198; Zerg_Evolution_Chamber 460; Zerg_Queens_Nest 856; Zerg_Sunken_Colony 214; Zerg_Spore_Colony 0; Zerg_Expansion 109; Zerg_Hydralisk_Den 391; Zerg_Greater_Spire 0; Zerg_Expansion2 378; Zerg_Lair 226; Zerg_Ultralisk_Cavern 0; Zerg_Spire 291; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 983; 
Zerg_Hive 923; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 128; Zerg_Extractor 68; Zerg_Creep_Colony 182; Zerg_Evolution_Chamber 316; Zerg_Queens_Nest 832; Zerg_Sunken_Colony 415; Zerg_Spore_Colony 361; Zerg_Expansion 104; Zerg_Hydralisk_Den 712; Zerg_Greater_Spire 1024; Zerg_Expansion2 241; Zerg_Lair 312; Zerg_Ultralisk_Cavern 0; Zerg_Spire 377; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 123; Zerg_Extractor 60; Zerg_Creep_Colony 178; Zerg_Evolution_Chamber 478; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 192; Zerg_Spore_Colony 0; Zerg_Expansion 93; Zerg_Hydralisk_Den 307; Zerg_Greater_Spire 0; Zerg_Expansion2 600; Zerg_Lair 215; Zerg_Ultralisk_Cavern 0; Zerg_Spire 836; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
