Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 130; Zerg_Extractor 139; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber 792; Zerg_Queens_Nest 0; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 331; Zerg_Greater_Spire -1; Zerg_Expansion2 662; Zerg_Lair 191; Zerg_Ultralisk_Cavern -1; Zerg_Spire 521; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 139; Zerg_Extractor 195; Zerg_Creep_Colony 213; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 228; Zerg_Spore_Colony -1; Zerg_Expansion 114; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 175; Zerg_Lair 250; Zerg_Ultralisk_Cavern -1; Zerg_Spire 315; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 982; Zerg_Opening hydras; Zerg_Spawning_Pool 128; Zerg_Extractor 172; Zerg_Creep_Colony 173; Zerg_Evolution_Chamber 541; Zerg_Queens_Nest 887; Zerg_Sunken_Colony 188; Zerg_Spore_Colony -1; Zerg_Expansion 90; Zerg_Hydralisk_Den 257; Zerg_Greater_Spire 1071; Zerg_Expansion2 290; Zerg_Lair 226; Zerg_Ultralisk_Cavern 0; Zerg_Spire 378; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 1073; 
Zerg_Hive 744; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 128; Zerg_Extractor 154; Zerg_Creep_Colony 239; Zerg_Evolution_Chamber 617; Zerg_Queens_Nest 698; Zerg_Sunken_Colony 255; Zerg_Spore_Colony -1; Zerg_Expansion 109; Zerg_Hydralisk_Den 399; Zerg_Greater_Spire -1; Zerg_Expansion2 296; Zerg_Lair 212; Zerg_Ultralisk_Cavern 0; Zerg_Spire 275; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 821; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 129; Zerg_Extractor 198; Zerg_Creep_Colony 232; Zerg_Evolution_Chamber 387; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 252; Zerg_Spore_Colony 457; Zerg_Expansion 110; Zerg_Hydralisk_Den 284; Zerg_Greater_Spire -1; Zerg_Expansion2 205; Zerg_Lair 254; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive 679; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 130; Zerg_Extractor 151; Zerg_Creep_Colony 193; Zerg_Evolution_Chamber 1061; Zerg_Queens_Nest 636; Zerg_Sunken_Colony 215; Zerg_Spore_Colony -1; Zerg_Expansion 114; Zerg_Hydralisk_Den 389; Zerg_Greater_Spire 755; Zerg_Expansion2 634; Zerg_Lair 229; Zerg_Ultralisk_Cavern 933; Zerg_Spire 295; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening hydras; Zerg_Spawning_Pool 134; Zerg_Extractor 286; Zerg_Creep_Colony 193; Zerg_Evolution_Chamber 645; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 242; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 631; Zerg_Greater_Spire 0; Zerg_Expansion2 270; Zerg_Lair 407; Zerg_Ultralisk_Cavern 0; Zerg_Spire 474; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 1068; Zerg_Opening ; Zerg_Spawning_Pool 69; Zerg_Extractor 99; Zerg_Creep_Colony 263; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest 991; Zerg_Sunken_Colony 282; Zerg_Spore_Colony -1; Zerg_Expansion 236; Zerg_Hydralisk_Den 515; Zerg_Greater_Spire -1; Zerg_Expansion2 502; Zerg_Lair 207; Zerg_Ultralisk_Cavern -1; Zerg_Spire 292; Zerg_Building_Overlord 88; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening hydras; Zerg_Spawning_Pool 133; Zerg_Extractor 220; Zerg_Creep_Colony 197; Zerg_Evolution_Chamber 550; Zerg_Queens_Nest 1028; Zerg_Sunken_Colony 213; Zerg_Spore_Colony -1; Zerg_Expansion 114; Zerg_Hydralisk_Den 402; Zerg_Greater_Spire -1; Zerg_Expansion2 208; Zerg_Lair 293; Zerg_Ultralisk_Cavern -1; Zerg_Spire 425; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 585; Zerg_Opening hydras; Zerg_Spawning_Pool 139; Zerg_Extractor 150; Zerg_Creep_Colony 291; Zerg_Evolution_Chamber 625; Zerg_Queens_Nest 524; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 120; Zerg_Hydralisk_Den 241; Zerg_Greater_Spire 662; Zerg_Expansion2 370; Zerg_Lair 205; Zerg_Ultralisk_Cavern -1; Zerg_Spire 312; Zerg_Building_Overlord 43; Zerg_Defiler_Mound -1; 
Zerg_Hive 1018; Zerg_Opening hydras; Zerg_Spawning_Pool 123; Zerg_Extractor 185; Zerg_Creep_Colony 219; Zerg_Evolution_Chamber 428; Zerg_Queens_Nest 956; Zerg_Sunken_Colony 234; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 343; Zerg_Greater_Spire 0; Zerg_Expansion2 171; Zerg_Lair 268; Zerg_Ultralisk_Cavern -1; Zerg_Spire 333; Zerg_Building_Overlord 50; Zerg_Defiler_Mound -1; 
