Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 147; Zerg_Extractor 124; Zerg_Creep_Colony 413; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 429; Zerg_Spore_Colony 0; Zerg_Expansion 113; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 288; Zerg_Lair 201; Zerg_Ultralisk_Cavern 0; Zerg_Spire 265; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 68; Zerg_Extractor 85; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 488; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 150; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 353; Zerg_Lair 210; Zerg_Ultralisk_Cavern 0; Zerg_Spire 285; Zerg_Building_Overlord 96; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 133; Zerg_Extractor 71; Zerg_Creep_Colony 314; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 333; Zerg_Spore_Colony 0; Zerg_Expansion 117; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 299; Zerg_Lair 209; Zerg_Ultralisk_Cavern 0; Zerg_Spire 278; Zerg_Building_Overlord 63; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 129; Zerg_Extractor 146; Zerg_Creep_Colony 162; Zerg_Evolution_Chamber 297; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 181; Zerg_Spore_Colony 676; Zerg_Expansion 110; Zerg_Hydralisk_Den 711; Zerg_Greater_Spire 0; Zerg_Expansion2 232; Zerg_Lair 899; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 105; Zerg_Extractor 107; Zerg_Creep_Colony 570; Zerg_Evolution_Chamber 548; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 607; Zerg_Expansion 144; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 437; Zerg_Lair 166; Zerg_Ultralisk_Cavern 0; Zerg_Spire 230; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 95; Zerg_Extractor 93; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 178; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 388; Zerg_Lair 193; Zerg_Ultralisk_Cavern 0; Zerg_Spire 262; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 106; Zerg_Extractor 128; Zerg_Creep_Colony 383; Zerg_Evolution_Chamber 356; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 404; Zerg_Expansion 79; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 328; Zerg_Ultralisk_Cavern 0; Zerg_Spire 446; Zerg_Building_Overlord 123; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 150; Zerg_Extractor 106; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 127; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 305; Zerg_Lair 203; Zerg_Ultralisk_Cavern 0; Zerg_Spire 270; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 95; Zerg_Extractor 101; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 141; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 379; Zerg_Lair 176; Zerg_Ultralisk_Cavern 0; Zerg_Spire 240; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 140; Zerg_Extractor 120; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 115; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 356; Zerg_Lair 192; Zerg_Ultralisk_Cavern 0; Zerg_Spire 291; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 68; Zerg_Extractor 80; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 168; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 193; Zerg_Ultralisk_Cavern 0; Zerg_Spire 264; Zerg_Building_Overlord 93; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 135; Zerg_Extractor 114; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 103; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 340; Zerg_Lair 188; Zerg_Ultralisk_Cavern 0; Zerg_Spire 253; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 65; Zerg_Extractor 81; Zerg_Creep_Colony 179; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 198; Zerg_Spore_Colony 0; Zerg_Expansion 689; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 148; Zerg_Ultralisk_Cavern 0; Zerg_Spire 236; Zerg_Building_Overlord 88; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 107; Zerg_Extractor 102; Zerg_Creep_Colony 650; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 674; Zerg_Spore_Colony 0; Zerg_Expansion 152; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 172; Zerg_Ultralisk_Cavern 0; Zerg_Spire 241; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 128; Zerg_Extractor 150; Zerg_Creep_Colony 322; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 338; Zerg_Spore_Colony 0; Zerg_Expansion 110; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 212; Zerg_Ultralisk_Cavern 0; Zerg_Spire 277; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
