Protoss_Pylon2 3100; Protoss_Pylon 1260; Protoss_Opening FastObs; Protoss_Assimilator 3330; Protoss_Gateway 1955; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 22740; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 15315; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 23120; Protoss_Gateway2 2555; Protoss_Forge 9305; Protoss_Templar_Archives 27370; Protoss_Photon_Cannon 15035; Protoss_Cybernetics_Core 6185; 
Protoss_Pylon2 3175; Protoss_Pylon 1190; Protoss_Opening FastExpand; Protoss_Assimilator 5235; Protoss_Gateway 1875; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 8205; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 18130; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 11705; Protoss_Gateway2 2520; Protoss_Forge 8260; Protoss_Templar_Archives 13180; Protoss_Photon_Cannon 9110; Protoss_Cybernetics_Core 5730; 
Protoss_Pylon2 3425; Protoss_Pylon 1175; Protoss_Opening ReaverDrop; Protoss_Assimilator 2410; Protoss_Gateway 2040; Protoss_Robotics_Support_Bay 5775; Protoss_Expansion 9700; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4465; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 10100; Protoss_Gateway2 12235; Protoss_Forge 10890; Protoss_Templar_Archives 11545; Protoss_Photon_Cannon 15330; Protoss_Cybernetics_Core 3080; 
Protoss_Pylon2 3355; Protoss_Pylon 1225; Protoss_Opening FastExpand; Protoss_Assimilator 2480; Protoss_Gateway 1915; Protoss_Robotics_Support_Bay 12880; Protoss_Expansion 6560; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6830; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 15990; Protoss_Gateway2 3750; Protoss_Forge 14970; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 18830; Protoss_Cybernetics_Core 2950; 
Protoss_Pylon2 3160; Protoss_Pylon 1195; Protoss_Opening Carrier; Protoss_Assimilator 1785; Protoss_Gateway 2385; Protoss_Robotics_Support_Bay 24825; Protoss_Expansion 8740; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5235; Protoss_Fleet_Beacon 0; Protoss_Stargate 4425; Protoss_Citadel_of_Adun 4670; Protoss_Gateway2 6170; Protoss_Forge 6465; Protoss_Templar_Archives 6360; Protoss_Photon_Cannon 15720; Protoss_Cybernetics_Core 3425; 
Protoss_Pylon2 3235; Protoss_Pylon 1185; Protoss_Opening FastObs; Protoss_Assimilator 2335; Protoss_Gateway 1840; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 10140; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4040; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 15690; Protoss_Gateway2 7000; Protoss_Forge 15265; Protoss_Templar_Archives 19775; Protoss_Photon_Cannon 16165; Protoss_Cybernetics_Core 2840; 
Protoss_Pylon2 3884; Protoss_Pylon 1200; Protoss_Opening FastExpand; Protoss_Assimilator 3762; Protoss_Gateway 3444; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 2928; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 22884; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 14976; Protoss_Gateway2 4800; Protoss_Forge 20904; Protoss_Templar_Archives 19952; Protoss_Photon_Cannon 21850; Protoss_Cybernetics_Core 4456; 
Protoss_Pylon2 3286; Protoss_Pylon 1192; Protoss_Opening FastObs; Protoss_Assimilator 2580; Protoss_Gateway 1876; Protoss_Robotics_Support_Bay 16974; Protoss_Expansion 11202; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 9226; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 22194; Protoss_Gateway2 5316; Protoss_Forge 20224; Protoss_Templar_Archives 25292; Protoss_Photon_Cannon 23090; Protoss_Cybernetics_Core 2982; 
Protoss_Pylon2 1920; Protoss_Pylon 710; Protoss_Opening FastExpand; Protoss_Assimilator 1375; Protoss_Gateway 1480; Protoss_Robotics_Support_Bay 9735; Protoss_Expansion 7540; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 8310; Protoss_Fleet_Beacon 0; Protoss_Stargate 19405; Protoss_Citadel_of_Adun 15810; Protoss_Gateway2 19295; Protoss_Forge 1705; Protoss_Templar_Archives 18280; Protoss_Photon_Cannon 2475; Protoss_Cybernetics_Core 7025; 
Protoss_Pylon2 1265; Protoss_Pylon 355; Protoss_Opening FastExpand; Protoss_Assimilator 775; Protoss_Gateway 1020; Protoss_Robotics_Support_Bay 14550; Protoss_Expansion 7195; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 13100; Protoss_Fleet_Beacon 16295; Protoss_Stargate 14810; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 1335; Protoss_Forge 2190; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 2910; Protoss_Cybernetics_Core 2160; 
Protoss_Pylon2 3515; Protoss_Pylon 1265; Protoss_Opening FastObs; Protoss_Assimilator 2470; Protoss_Gateway 2065; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 11830; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4290; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 5390; Protoss_Gateway2 6825; Protoss_Forge 23810; Protoss_Templar_Archives 16430; Protoss_Photon_Cannon 24775; Protoss_Cybernetics_Core 3100; 
Protoss_Pylon2 3835; Protoss_Pylon 1230; Protoss_Opening FastDT; Protoss_Assimilator 2195; Protoss_Gateway 1950; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 17615; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4625; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 4010; Protoss_Gateway2 5600; Protoss_Forge 21425; Protoss_Templar_Archives 5330; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 2975; 
